[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 1] Now these are the last words of David. David the son of Jesse saith, And the man who was raised on high saith, The anointed of the God of Jacob, And the sweet psalmist of Israel:
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 2] The Spirit of Jehovah spake by me, And his word was upon my tongue.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 3] The God of Israel said, The Rock of Israel spake to me: One that ruleth over men righteously, That ruleth in the fear of God,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 4] He shall be as the light of the morning, when the sun riseth, A morning without clouds, When the tender grass springeth out of the earth, Through clear shining after rain.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 5] Verily my house is not so with God; Yet he hath made with me an everlasting covenant, Ordered in all things, and sure: For it is all my salvation, and all my desire, Although he maketh it not to grow.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 6] But the ungodly shall be all of them as thorns to be thrust away, Because they cannot be taken with the hand;
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 7] But the man that toucheth them Must be armed with iron and the staff of a spear: And they shall be utterly burned with fire in their place.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 8] These are the names of the mighty men whom David had: Josheb-basshebeth a Tahchemonite, chief of the captains; the same was Adino the Eznite, against eight hundred slain at one time.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 9] And after him was Eleazar the son of Dodai the son of an Ahohite, one of the three mighty men with David, when they defied the Philistines that were there gathered together to battle, and the men of Israel were gone away.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 10] He arose, and smote the Philistines until his hand was weary, and his hand clave unto the sword; and Jehovah wrought a great victory that day; and the people returned after him only to take spoil.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 11] And after him was Shammah the son of Agee a Hararite. And the Philistines were gathered together into a troop, where was a plot of ground full of lentils; and the people fled from the Philistines.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 12] But he stood in the midst of the plot, and defended it, and slew the Philistines; and Jehovah wrought a great victory.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 13] And three of the thirty chief men went down, and came to David in the harvest time unto the cave of Adullam; and the troop of the Philistines was encamped in the valley of Rephaim.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 14] And David was then in the stronghold; and the garrison of the Philistines was then in Beth-lehem.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 15] And David longed, and said, Oh that one would give me water to drink of the well of Beth-lehem, which is by the gate!
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 16] And the three mighty men brake through the host of the Philistines, and drew water out of the well of Beth-lehem, that was by the gate, and took it, and brought it to David: but he would not drink thereof, but poured it out unto Jehovah.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 17] And he said, Be it far from me, O Jehovah, that I should do this: shall I drink the blood of the men that went in jeopardy of their lives? therefore he would not drink it. These things did the three mighty men.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 18] And Abishai, the brother of Joab, the son of Zeruiah, was chief of the three. And he lifted up his spear against three hundred and slew them, and had a name among the three.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 19] Was he not most honorable of the three? therefore he was made their captain: howbeit he attained not unto the first three.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 20] And Benaiah the son of Jehoiada, the son of a valiant man of Kabzeel, who had done mighty deeds, he slew the two sons of Ariel of Moab: he went down also and slew a lion in the midst of a pit in time of snow.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 21] And he slew an Egyptian, a goodly man: and the Egyptian had a spear in his hand; but he went down to him with a staff, and plucked the spear out of the Egyptian’s hand, and slew him with his own spear.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 22] These things did Benaiah the son of Jehoiada, and had a name among the three mighty men.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 23] He was more honorable than the thirty, but he attained not to the first three. And David set him over his guard.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 24] Asahel the brother of Joab was one of the thirty; Elhanan the son of Dodo of Beth-lehem,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 25] Shammah the Harodite, Elika the Harodite,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 26] Helez the Paltite, Ira the son of Ikkesh the Tekoite,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 27] Abiezer the Anathothite, Mebunnai the Hushathite,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 28] Zalmon the Ahohite, Maharai the Netophathite,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 29] Heleb the son of Baanah the Netophathite, Ittai the son of Ribai of Gibeah of the children of Benjamin,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 30] Benaiah a Pirathonite, Hiddai of the brooks of Gaash.
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 31] Abi-albon the Arbathite, Azmaveth the Barhumite,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 32] Eliahba the Shaalbonite, the sons of Jashen, Jonathan,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 33] Shammah the Hararite, Ahiam the son of Sharar the Hararite,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 34] Eliphelet the son of Ahasbai, the son of the Maacathite, Eliam the son of Ahithophel the Gilonite,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 35] Hezro the Carmelite, Paarai the Arbite,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 36] Igal the son of Nathan of Zobah, Bani the Gadite,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 37] Zelek the Ammonite, Naharai the Beerothite, armor-bearers to Joab the son of Zeruiah,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 38] Ira the Ithrite, Gareb the Ithrite,
[ASV | EN | OT | 2 Samuel | Chapter 23 | Verse 39] Uriah the Hittite: thirty and seven in all.
