[KJV | EN | NT | Revelation | Chapter 18 | Verse 1] And after these things I saw another angel come down from heaven, having great power; and the earth was lightened with his glory.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 2] And he cried mightily with a strong voice, saying, Babylon the great is fallen, is fallen, And is become the habitation of devils, And the hold of every foul spirit, And a cage of every unclean and hateful bird.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 3] For all nations have drunk of the wine of the wrath of her fornication, And the kings of the earth have committed fornication with her, And the merchants of the earth are waxed rich through the abundance of her delicacies.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 4] And I heard another voice from heaven, saying, Come out of her, my people, That ye be not partakers of her sins, And that ye receive not of her plagues.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 5] For her sins have reached unto heaven, And God hath remembered her iniquities.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 6] Reward her even as she rewarded you, And double unto her double according to her works: In the cup which she hath filled fill to her double.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 7] How much she hath glorified herself, and lived deliciously, So much torment and sorrow give her: For she saith in her heart, I sit a queen, And am no widow, and shall see no sorrow.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 8] Therefore shall her plagues come in one day, Death, and mourning, and famine; And she shall be utterly burnt with fire: For strong is the Lord God who judgeth her.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 9] And the kings of the earth, who have committed fornication and lived deliciously with her, Shall bewail her, and lament for her, When they shall see the smoke of her burning,
[KJV | EN | NT | Revelation | Chapter 18 | Verse 10] Standing afar off for the fear of her torment, Saying, Alas, alas, that great city Babylon, that mighty city! For in one hour is thy judgment come.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 11] And the merchants of the earth shall weep and mourn over her; For no man buyeth their merchandise any more:
[KJV | EN | NT | Revelation | Chapter 18 | Verse 12] The merchandise of gold, and silver, And precious stones, and of pearls, And fine linen, and purple, and silk, and scarlet, And all thyine wood, and all manner vessels of ivory, And all manner vessels of most precious wood, And of brass, and iron, and marble,
[KJV | EN | NT | Revelation | Chapter 18 | Verse 13] And cinnamon, and odours, And ointments, and frankincense, And wine, and oil, And fine flour, and wheat, And beasts, and sheep, and horses, and chariots, And slaves, and souls of men.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 14] And the fruits that thy soul lusted after are departed from thee, And all things which were dainty and goodly are departed from thee, And thou shalt find them no more at all.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 15] The merchants of these things, which were made rich by her, Shall stand afar off for the fear of her torment, Weeping and wailing,
[KJV | EN | NT | Revelation | Chapter 18 | Verse 16] and saying, Alas, alas, that great city, That was clothed in fine linen, and purple, and scarlet, And decked with gold, and precious stones, and pearls:
[KJV | EN | NT | Revelation | Chapter 18 | Verse 17] For in one hour so great riches is come to nought. And every shipmaster, and all the company in ships, And sailers, and as many as trade by sea, Stood afar off,
[KJV | EN | NT | Revelation | Chapter 18 | Verse 18] and cried When they saw the smoke of her burning, saying, What city is like unto this great city?
[KJV | EN | NT | Revelation | Chapter 18 | Verse 19] And they cast dust on their heads, And cried, weeping and wailing, saying, Alas, alas, that great city, Wherein were made rich all that had ships in the sea by reason of her costliness: For in one hour is she made desolate.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 20] Rejoice over her, thou heaven, And ye holy apostles and prophets; For God hath avenged you on her.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 21] And a mighty angel took up a stone like a great millstone, and cast it into the sea, saying, Thus with violence shall that great city Babylon be thrown down, and shall be found no more at all.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 22] And the voice of harpers, and musicians, and of pipers, and trumpeters, shall be heard no more at all in thee; And no craftsman, of whatsoever craft he be, shall be found any more in thee; And the sound of a millstone shall be heard no more at all in thee;
[KJV | EN | NT | Revelation | Chapter 18 | Verse 23] And the light of a candle shall shine no more at all in thee; And the voice of the bridegroom and of the bride shall be heard no more at all in thee: For thy merchants were the great men of the earth; For by thy sorceries were all nations deceived.
[KJV | EN | NT | Revelation | Chapter 18 | Verse 24] And in her was found the blood of prophets, and of saints, And of all that were slain upon the earth.
