[LXX | EL | OT | Numbers | Chapter 8 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων, λάλησον τῷ Ἀαρὼν,
[LXX | EL | OT | Numbers | Chapter 8 | Verse 2] καὶ ἐρεῖς πρὸς αὐτὸν, ὅταν ἐπιτιθῇς τοὺς λύχνους ἐκ μέρους, κατὰ πρόσωπον τῆς λυχνίας φωτιοῦσιν οἱ ἑπτὰ λύχνοι.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 3] Καὶ ἐποίησεν οὕτως Ἀαρών· ἐκ τοῦ ἑνὸς μέρους κατὰ πρόσωπον τῆς λυχνίας ἐξῆψε τοὺς λύχνους αὐτῆς, καθὰ συνέταξε Κύριος τῷ Μωυσῇ·
[LXX | EL | OT | Numbers | Chapter 8 | Verse 4] Καὶ αὕτη ἡ κατασκευὴ τῆς λυχνίας· στερεὰ, χρυσῆ, ὁ καυλὸς αὐτῆς, καὶ τὰ κρίνα αὐτῆς, στερεὰ ὅλη· κατὰ τὸ εἶδος ὃ ἔδειξε Κύριος τῷ Μωυσῇ, οὕτως ἐποίησε τὴν λυχνίαν.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 5] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν λέγων,
[LXX | EL | OT | Numbers | Chapter 8 | Verse 6] λάβε τοὺς Λευίτας ἐκ μέσου υἱῶν Ἰσραὴλ, καὶ ἀφαγνιεῖς αὐτούς.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 7] Καὶ οὕτω ποιήσεις αὐτοῖς τὸν ἁγνισμὸν αὐτῶν· περιῤῥανεῖς αὐτοὺς ὕδωρ ἁγνισμοῦ· καὶ ἐπελεύσεται ξυρὸν ἐπὶ πᾶν τὸ σῶμα αὐτῶν, καὶ πλυνοῦσι τὰ ἱμάτια αὐτῶν, καὶ καθαροὶ ἔσονται.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 8] Καὶ λήμψονται μόσχον ἕνα ἐκ βοῶν, καὶ τούτου θυσίαν σεμίδαλιν ἀναπεποιημένην ἐν ἐλαίῳ· καὶ μόσχον ἐνιαύσιον ἐκ βοῶν λήψῃ περὶ ἁμαρτίας.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 9] Καὶ προσάξεις τοὺς Λευίτας ἔναντι τῆς σκηνῆς τοῦ μαρτυρίου· καὶ συνάξεις πᾶσαν συναγωγὴν υἱῶν Ἰσραήλ·
[LXX | EL | OT | Numbers | Chapter 8 | Verse 10] Καὶ προσάξεις τοὺς Λευίτας ἔναντι Κυρίου, καὶ ἐπιθήσουσιν οἱ υἱοὶ Ἰσραὴλ τὰς χεῖρας αὐτῶν ἐπὶ τοὺς Λευίτας·
[LXX | EL | OT | Numbers | Chapter 8 | Verse 11] Καὶ ἀφοριεῖ Ἀαρὼν τοὺς Λευίτας ἀπόδομα ἔναντι Κυρίου παρὰ τῶν υἱῶν Ἰσραήλ· καὶ ἔσονται ὥστε ἐργάζεσθαι τὰ ἔργα Κυρίου.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 12] Οἱ δὲ Λευῖται ἐπιθήσονσι τὰς χεῖρας ἐπὶ τὰς κεφαλὰς τῶν μόσχων· καὶ ποιήσεις τὸν ἕνα περὶ ἁμαρτίας, καὶ τὸν ἕνα εἰς ὁλοκαύτωμα Κυρίῳ, ἐξιλάσασθαι περὶ αὐτῶν.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 13] Καὶ στήσεις τοὺς Λευίτας ἔναντι Κυρίου, καὶ ἔναντι Ἀαρὼν, καὶ ἔναντι τῶν υἱῶν αὐτοῦ, καὶ ἀποδώσεις αὐτοὺς ἀπόδομα ἔναντι Κυρίου·
[LXX | EL | OT | Numbers | Chapter 8 | Verse 14] Καὶ διαστελεῖς τοὺς Λευίτας ἐκ μέσου υἱῶν Ἰσραήλ· καὶ ἔσονταί μοι.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 15] Καὶ μετὰ ταῦτα εἰσελεύσονται οἱ Λευῖται ἐργάζεσθαι τὰ ἔργα τῆς σκηνῆς τοῦ μαρτυρίον· καὶ καθαριεῖς αὐτοὺς, καὶ ἀποδώσεις αὐτοὺς ἔναντι Κυρίου.
[LXX | EL | OT | Numbers | Chapter 8 | Verse 16] ὅτι ἀπόδομα ἀποδεδομένοι οὗτοί μοι εἰσὶν ἐκ μέσου υἱῶν Ἰσραήλ· ἀντὶ τῶν διανοιγόντων πᾶσαν μήτραν πρωτοτόκων πάντων ἐκ τῶν υἱῶν Ἰσραὴλ εἴληφα αὐτοὺς ἐμοί.
