[LXX | EL | OT | Numbers | Chapter 24 | Verse 1] Καὶ ἰδὼν Βαλαὰμ ὅτι καλόν ἐστιν ἐναντίον Κυρίου εὐλογεῖν τὸν Ἰσραὴλ, οὐκ ἐπορεύθη κατὰ τὸ εἰωθὸς αὐτῷ εἰς συνάντησιν τοῖς οἰωνοῖς, καὶ ἀπέστρεψε τὸ πρόσωπον αὐτοῦ εἰς τὴν ἔρημον.
[LXX | EL | OT | Numbers | Chapter 24 | Verse 2] Καὶ ἐξάρας Βαλαὰμ τοὺς ὀφθαλμοὺς αὐτοῦ, καθορᾷ τὸν Ἰσραὴλ ἐστρατοπεδευκότα κατὰ φυλάς· καὶ ἐγένετο ἐπʼ αὐτῷ πνεῦμα Θεου.
[LXX | EL | OT | Numbers | Chapter 24 | Verse 3] Καὶ ἀναλαβὼν τὴν παραβολὴν αὐτοῦ, εἶπε, φησὶ Βαλαὰμ υἱοῖς Βεὼρ, φησὶν ὁ ἄνθρωπος ὁ ἀληθινῶς ὁρῶν,
[LXX | EL | OT | Numbers | Chapter 24 | Verse 4] φησὶν ἀκούων λόγια ἰσχυροῦ, ὅστις ὅρασιν Θεοῦ εἶδεν ἐν ὕπνῳ· ἀποκεκαλυμμένοι οἱ ὀφθαλμοὶ αὐτοῦ.
[LXX | EL | OT | Numbers | Chapter 24 | Verse 5] Ὡς καλοὶ οἱ οἶκοί σου Ἰακὼβ, αἱ σκηναί σου Ἰσραήλ·
[LXX | EL | OT | Numbers | Chapter 24 | Verse 6] Ὡσεὶ νάπαι σκιάζουσαι, καὶ ὡσεὶ παράδεισοι ἐπὶ ποταμῷ, καὶ ὡσεὶ, σκηναὶ, ἃς ἔπηξε Κύριος, καί ὡσεὶ κέδροι παρʼ ὕδατα.
[LXX | EL | OT | Numbers | Chapter 24 | Verse 7] Ἐξελεύσεται ἄνθρωπος ἐκ τοῦ σπέρματος αὐτοῦ, καὶ κυριεύσει ἐθνῶν πολλῶν· καὶ ὑψωθήσεται ἡ Γὼγ βασιλεία, καὶ αὐξηθήσεται βασιλεία αὐτοῦ.
[LXX | EL | OT | Numbers | Chapter 24 | Verse 8] Θεὸς ὡδήγησεν αὐτὸν ἐξ Αἰγύπτου· ὡς δόξα μονοκέρωτος αὐτῷ· ἔδεται ἔθνη ἐχθρῶν αὐτοῦ, καὶ τὰ πάχη αὐτῶν ἐκμυελιεῖ, καὶ ταῖς βολίσιν αὐτοῦ κατατοξεύσει ἐχθρόν.
[LXX | EL | OT | Numbers | Chapter 24 | Verse 9] Κατακλιθεὶς ἀνεπαύσατο ὡς λέων, καὶ ὡς σκύμνος· τίς ἀναστήσει αὐτόν· οἱ εὐλογοῦντές σε, εὐλόγηνται· καὶ οἱ καταρώμενοί σε, κεκατήρανται.
[LXX | EL | OT | Numbers | Chapter 24 | Verse 10] Καὶ ἐθυμώθη Βαλὰκ ἐπὶ Βαλαὰμ, καὶ συνεκρότησε ταῖς χερσὶν αὐτοῦ, καὶ εἶπε Βαλὰκ πρὸς Βαλαὰμ, καταρᾶσθαι τὸν ἐχθρόν μου κέκληκά σε, καὶ ἰδοὺ εὐλογῶν εὐλόγησας τρίτον τοῦτο.
[LXX | EL | OT | Numbers | Chapter 24 | Verse 11] Νῦν οὖν φεῦγε εἰς τὸν τόπον σου· εἶπα, τιμήσω σε, καὶ νῦν ἐστέρησέ σε Κύριος τῆς δόξης.
