[LXX | EL | OT | Numbers | Chapter 25 | Verse 1] Καὶ κατέλυσεν Ἰσραὴλ ἐν Σαττεὶν, καὶ ἐβεβηλώθη ὁ λαὸς ἐκπορνεῦσαι εἰς τὰς θυγατέρας Μωάβ.
[LXX | EL | OT | Numbers | Chapter 25 | Verse 2] Καὶ ἐκάλεσαν αὐτοὺς εἰς τὰς θυσίας τῶν εἰδώλων αὐτῶν· καὶ ἔφαγεν ὁ λαὸς τῶν θυσιῶν αὐτῶν, καὶ προσεκύνησαν τοῖς εἰδώλοις αὐτῶν·
[LXX | EL | OT | Numbers | Chapter 25 | Verse 3] Καὶ ἐτελέσθη Ἰσραὴλ τῷ Βεελφεγώρ· καὶ ὠργίσθη θυμῷ Κύριος τῷ Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 25 | Verse 4] Καὶ εἶπε Κύριος τῷ Μωυσῇ, λάβε πάντας τοὺς ἀρχηγοὺς τοῦ λαοῦ, καὶ παραδειγμάτισον αὐτοὺς Κυρίῳ κατέναντι τοῦ ἡλίου, καὶ ἀποστραφήσεται ὀργὴ θυμοῦ Κυρίου ἀπὸ Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 25 | Verse 5] Καὶ εἶπε Μωυσῆς ταῖς φυλαῖς Ἰσραήλ, ἀποκτείνατε ἕκαστος τὸν οἰκεῖον αὐτοῦ τὸν τετελεσμένον τῷ Βεελφεγώρ.
[LXX | EL | OT | Numbers | Chapter 25 | Verse 6] Καὶ ἰδοὺ ἄνθρωπος τῶν υἱῶν Ἰσραὴλ ἐλθὼν προσήγαγε τὸν ἀδελφὸν αὐτοῦ πρὸς τὴν Μαδιανίτιν ἐναντίον Μωυσῆ, καὶ ἐναντίον πάσης συναγωγῆς υἱῶν Ἰσραήλ· αὐτοὶ δὲ ἔκλαιον παρὰ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου.
[LXX | EL | OT | Numbers | Chapter 25 | Verse 7] Καὶ ἰδὼν Φινεὲς υἱὸς Ἐλεάζαρ υἱοῦ Ἀαρὼν τοῦ ἱερέως, ἐξανέστη ἐκ μέσου τῆς συναγωγῆς, καὶ λαβὼν σειρομάστην ἐν τῇ χειρὶ,
[LXX | EL | OT | Numbers | Chapter 25 | Verse 8] εἰσῆλθεν ὀπίσω τοῦ ἀνθρώπου τοῦ Ἰσραηλίτου εἰς τὴν κάμινον, καὶ ἀπεκέντησεν ἀμφοτέρους, τόν τε ἄνθρωπον τὸν Ἰσραηλίτην, καὶ τὴν γυναῖκα διὰ τῆς μήτρας αὐτῆς· καὶ ἐπαύσατο ἡ πληγὴ ἀπὸ υἱῶν Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 25 | Verse 9] Καὶ ἐγένοντο οἱ τεθνηκότες ἐν τῇ πληγῇ, τέσσαρες καὶ εἴκοσι χιλιάδες.
[LXX | EL | OT | Numbers | Chapter 25 | Verse 10] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Numbers | Chapter 25 | Verse 11] Φινεὲς υἱὸς Ἐλεάζαρ υἱοῦ Ἀαρὼν τοῦ ἱερέως κατέπαυσε τὸν θυμόν μου ἀπὸ υἱῶν Ἰσραὴλ, ἐν τῷ ζηλῶσαί μου τὸν ζῆλον ἐν αὐτοῖς, καὶ οὐκ ἐξανήλωσα τοὺς υἱοὺς Ἰσραὴλ ἐν τῷ ζήλῳ μου.
[LXX | EL | OT | Numbers | Chapter 25 | Verse 12] Οὕτως εἰπον, ἰδοὺ ἐγὼ δίδωμι αὐτῷ διαθήκην εἰρήνης,
[LXX | EL | OT | Numbers | Chapter 25 | Verse 13] καὶ ἔσται αὐτῷ καὶ τῷ σπέρματι αὐτοῦ μετʼ αὐτὸν διαθήκη ἱερατείας αἰωνία, ἀνθʼ ὧν ἐζήλωσεν τῷ Θεῷ αὐτοῦ, καὶ ἐξιλάσατο περὶ τῶν υἱῶν Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 25 | Verse 14] Τὸ δὲ ὄνομα τοῦ ἀνθρώπου τοῦ Ἰσραηλείτου τοῦ πεπληγότος, ὃς ἐπλήγη μετὰ τῆς Μαδιανίτιδος, Ζαμβρὶ, υἱὸς Σαλμὼν, ἄρχων οἴκου πατριᾶς τῶν Συμεών.
[LXX | EL | OT | Numbers | Chapter 25 | Verse 15] Καὶ ὄνομα τῇ γυναικὶ τῇ Μαδιανίτιδι τῇ πεπληγυίᾳ, Χασβὶ, θυγάτηρ Σοὺρ, ἄρχοντος ἔθνους Ὀμμὼθ· οἴκου πατριᾶς ἐστι τῶν Μαδιάμ.
[LXX | EL | OT | Numbers | Chapter 25 | Verse 16] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων, λάλησον τοῖς υἱοῖς Ἰσραὴλ, λέγων,
[LXX | EL | OT | Numbers | Chapter 25 | Verse 17] ἐχθραίνετε τοῖς Μαδιηναίοις καὶ πατάξατε αὐτοὺς,
[LXX | EL | OT | Numbers | Chapter 25 | Verse 18] ὅτι ἐχθραίνουσιν αὐτοὶ ὑμῖν ἐν δολιότητι, ὅσα δολιοῦσιν ὑμᾶς διὰ Φογὼρ, καὶ διὰ Χασβὶ θυγατέρα ἄρχοντος Μαδιὰμ ἀδελφὴν αὐτῶν, τὴν πεπληγυῖαν ἐν τῇ ἡμέρᾳ τῆς πληγῆς διὰ Φογώρ.
