[LXX | EL | OT | Numbers | Chapter 10 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων, ποίησον σεαυτῷ δύο σάλπιγγας ἀγυρᾶς·
[LXX | EL | OT | Numbers | Chapter 10 | Verse 2] ἐλατὰς ποιήσεις αὐτάς· καὶ ἔσονταί σοι ἀνακαλεῖν τὴν συναγωγὴν, καὶ ἐξαίρειν τὰς παρεμβολάς.
[LXX | EL | OT | Numbers | Chapter 10 | Verse 3] Καὶ σαλπιεῖς ἐν αὐταῖς, καὶ συναχθήσεται πᾶσα ἡ συναγωγὴ ἐπὶ τὴν θύραν τῆς σκηνῆς τοῦ μαρτυρίου·
[LXX | EL | OT | Numbers | Chapter 10 | Verse 4] Ἐὰν δὲ ἐν μιᾷ σαλπίσωσι, προσελεύσονται πρὸς σὲ πάντες οἱ ἄρχοντες ἀρχηγοὶ Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 10 | Verse 5] καὶ σαλπιεῖτε σημασίαν, καὶ ἐξαροῦσιν αἱ παρεμβάλλουσαι αἱ παρεμβαλοῦσαι ἀνατολάς·
[LXX | EL | OT | Numbers | Chapter 10 | Verse 6] καὶ σαλπιεῖτε σημασίαν δευτέραν, καὶ ἐξαροῦσιν αἱ παρεμβολαὶ αἱ παρεμβάλλουσαι Λίβα· καὶ σαλπιεῖτε σημασίαν τρίτην, καὶ ἐξαροῦσιν αἱ παρεμβολαὶ αἱ παρεμβάλλουσαι παρὰ θάλασσαν· καὶ σαλπιεῖτε σημασίαν τετάρτην, καὶ ἐξαροῦσιν αἱ παρεμβολαὶ αἱ παρεμβάλλουσαι πρὸς Βοῤῥᾶν· σημασίᾳ σαλπιοῦσιν ἐν τῇ ἐξάρσει αὐτῶν.
[LXX | EL | OT | Numbers | Chapter 10 | Verse 7] καὶ ὅταν συναγάγητε τὴν συναγωγὴν, σαλπιεῖτε, καὶ οὐ σημασίᾳ.
[LXX | EL | OT | Numbers | Chapter 10 | Verse 8] Καὶ οἱ υἱοὶ Ἀαρὼν οἱ ἱερεῖς σαλπιοῦσι ταῖς σάλπιγξι· καὶ ἔσται ὑμῖν νόμιμον αἰώνιον εἰς τὰς γενεὰς ὑμῶν.
[LXX | EL | OT | Numbers | Chapter 10 | Verse 9] Ἐὰν δὲ ἐξέλθητε εἰς πόλεμον ἐν τῇ γῇ ὑμῶν πρὸς τοὺς ὑπεναντίους τοὺς ἀνθεστηκότας ὑμῖ, καὶ σημανεῖτε ταῖς σάλπιγξιν, καὶ ἀναμνησθήσεσθε ἔναντι Κυρίου, καὶ διασωθήσεσθε ἀπὸ τῶν ἐχθρῶν ὑμῶν.
[LXX | EL | OT | Numbers | Chapter 10 | Verse 10] Καὶ ἐν ταῖς ἡμέραις τῆς εὐφροσύνης ὑμῶν, καὶ ἐν ταῖς ἑορταῖς ὑμῶν, καὶ ἐν ταῖς νουμηνίαις ὑμῶν, σαλπιεῖτε ταῖς σάλπιγξιν ἐπὶ τοῖς ὁλοκαυτώμασι, καὶ ἐπὶ ταῖς θυσίαις τῶν σωτηρίων ὑμῶν· καὶ ἔσται ὑμῖν ἀνάμνησις ἔναντι τοῦ Θεοῦ ὑμῶν· ἐγὼ Κύριος ὁ Θεὸς ὑμῶν.
[LXX | EL | OT | Numbers | Chapter 10 | Verse 11] Καὶ ἐγένετο ἐν τῷ ἐνιαυτῷ τῷ δευτέρῳ ἐν τῷ μηνὶ τῷ δευτέρῳ εἰκάδι τοῦ μηνὸς, ἀνέβη ἡ νεφέλη ἀπὸ τῆς σκηνῆς τοῦ μαρτυρίου.
