[LXX | EL | OT | Numbers | Chapter 4 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν καὶ Ἀαρὼν, λέγεν,
[LXX | EL | OT | Numbers | Chapter 4 | Verse 2] λάβε τὸ κεφάλαιον τῶν υἱῶν Καὰθ ἐκ μέσου υἱῶν Λευὶ, κατὰ δήμους αὐτῶν, κατʼ οἴκους πατριῶν αὐτῶν,
[LXX | EL | OT | Numbers | Chapter 4 | Verse 3] ἀπὸ εἴκοσι καὶ πέντε ἐτῶν καὶ ἐπάνω ἕως πεντήκοντα ἐτῶν, πᾶς ὁ εἰσπορευόμενος λειτουργεῖν, ποιῆσαι πάντα τὰ ἔργα ἐν τῇ σκηνῇ τοῦ μαρτυρίου.
[LXX | EL | OT | Numbers | Chapter 4 | Verse 4] Καὶ ταῦτα τὰ ἔργα τῶν υἱῶν Καὰθ ἐν τῇ σκηνῇ τοῦ μαρτυρίου· ἅγιον τῶν ἁγίων.
[LXX | EL | OT | Numbers | Chapter 4 | Verse 5] Καὶ εἰσελεύσεται Ἀαρὼν καὶ υἱοὶ αὐτοῦ, ὅταν ἐξαίρῃ ἡ παρεμβολὴ, καὶ καθελοῦσι τὸ καταπέτασμα τὸ συσκιάζον, καὶ κατακαλύψουσιν ἐν αὐτῷ τὴν κιβωτὸν τοῦ μαρτυρίου,
[LXX | EL | OT | Numbers | Chapter 4 | Verse 6] καὶ ἐπιθήσουσιν ἐπʼ αὐτὸ κατακάλυμμα δέρμα ὑακίνθινον, καὶ ἐπιβαλοῦσιν ἐπʼ αὐτὴν ἱμάτιον ὅλον ὑακίνθινον ἄνωθεν, καὶ διεμβαλοῦσι τοὺς ἀναφορεῖς.
[LXX | EL | OT | Numbers | Chapter 4 | Verse 7] Καὶ ἐπί τὴν τράπεζαν τὴν προκειμένην ἐπιβαλοῦσιν ἐπʼ αὐτὴν ἱμάτιον ὁλοπόρφυρον, καὶ τὰ τρυβλία, καὶ τὰς θυΐσκας, καὶ τοὺς κυάθους, καὶ τὰ σπονδεῖα ἐν οἷς σπένδει, καὶ οἱ ἄρτοι οἳ διαπαντὸς ἐπʼ αὐτῆς ἔσονται.
[LXX | EL | OT | Numbers | Chapter 4 | Verse 8] Καὶ ἐπιβαλοῦσιν ἐπʼ αὐτὴν ἱμάτιον κόκκινον, καὶ καλύψουσιν αὐτὴν καλύμματι δερματίνῳ ὑακινθίνῳ, καὶ διεμβαλοῦσι διʼ αὐτῆς τοὺς ἀναφορεῖς.
[LXX | EL | OT | Numbers | Chapter 4 | Verse 9] Καὶ λήψονται ἱμάτιον ὑακίνθινον, καὶ καλύψουσι τὴν λυχνίαν τὴν φωτίζουσαν, καὶ τοὺς λύχνους αὐτῆς, καὶ τὰς λαβίδας αὐτῆς, καὶ τὰς ἐπαρυστρίδας αὐτῆς, καὶ πάντα τὰ ἀγγεῖα τοῦ ἐλαίου οἷς λειτουργοῦσιν ἐν αὐτοῖς.
[LXX | EL | OT | Numbers | Chapter 4 | Verse 10] Καὶ ἐμβαλοῦσιν αὐτὴν, καὶ πάντα τὰ σκεύη αὐτῆς, εἰς κάλυμμα δερμάτινον ὑακίνθινον, καὶ ἐπιθήσουσιν αὐτὴν ἐπʼ ἀναφορέων.
[LXX | EL | OT | Numbers | Chapter 4 | Verse 11] Καὶ ἐπὶ τὸ θυσιαστήριον τὸ χρυσοῦν ἐπικαλύψουσιν ἱμάτιον ὑακίνθινον, καὶ καλύψουσιν αὐτὸ καλύμματι δερματίνῳ ὑακινθίνῳ, καὶ διεμβαλοῦσι τοὺς ἀναφορεῖς αὐτοῦ.
