[LXX | EL | OT | Numbers | Chapter 23 | Verse 1] Καὶ εἶπε Βαλαὰμ τῷ Βαλὰκ οἰκοδόμησόν μοι ἐνταῦθα ἑπτὰ βωμοὺς, καὶ ἐτοίμασόν μοι ἐνταῦθα ἑπτὰ μόσχους, καὶ ἑπτὰ κριούς.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 2] Καὶ ἐποίησε Βαλὰκ ὃν τρόπον εἶπεν αὐτῷ Βαλαάμ· καὶ ἀνήνεγκε μόσχον καὶ κριὸν ἐπὶ τὸν βωμόν.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 3] Καὶ εἶπε Βαλαὰμ πρὸς Βαλὰκ, παράστηθι ἐπὶ τῆς θυσίας σου, καὶ πορεύσομαι εἴ μοι φανεῖται ὁ Θεὸς ἐν συναντήσει, καὶ ῥῆμα ὃ ἐάν μοι δείξῃ, ἀναγγελῶ σοι· καὶ παρέστη Βαλὰκ ἐπὶ τῆς θυσίας αὐτοῦ.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 4] Καὶ Βαλαὰμ ἐπορεύθη ἐπερωτῆσαι τὸν Θεόν· καὶ ἐπορεύθη εὐθεῖαν· καὶ ἐφάνη ὁ Θεὸς τῷ Βαλαὰμ· καὶ εἶπε πρὸς αὐτὸν Βαλαάμ, τοὺς ἑπτὰ βωμοὺς ἡτοίμασα, καὶ ἀνεβίβασα μόσχον καὶ κριὸν ἐπὶ τὸν βωμόν.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 5] Καὶ ἐνέβαλεν ὁ Θεὸς ῥῆμα εἰς τὸ στόμα Βαλαὰμ, καὶ εἶπεν, ἐπιστραφεὶς πρὸς Βαλὰκ, οὕτω λαλήσεις.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 6] Καὶ ἀπεστράφη πρὸς αὐτόν· καὶ ὁ δὲ ἐφιστήκει ἐπὶ τῶν ὁλοκαυτωμάτων αὐτοῦ, καὶ πάντες οἱ ἄρχοντες Μωὰβ μετʼ αὐτοῦ· καὶ ἐγενήθη πνεῦμα Θεοῦ ἐπʼ αὐτῷ.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 7] Καὶ ἀναλαβὼν τὴν παραβολὴν αὐτοῦ, εἶπεν ἐκ Μεσοποταμίας μετεπέμψατό με Βαλὰκ βασιλεὺς Μωὰβ ἐξ ὀρέων ἀπʼ ἀνατολῶν, λέγων, δεῦρο ἄρασαί μοι τὸν Ἰακώβ, καὶ δεῦρο ἐπικατάρασαί μοι τὸν Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 8] Τί ἀράσωμαι ὃν μὴ ἀρᾶται Κύριος; ἢ τί καταράσωμαι ὃν μὴ καταρᾶται ὁ Θεός;
[LXX | EL | OT | Numbers | Chapter 23 | Verse 9] Ὅτι ἀπὸ κορυφῆς ὀρέων ὄψομαι αὐτὸν, καὶ ἀπὸ βουνῶν προσνοήσω αὐτόν· ἰδοὺ λαὸς μόνος κατοικήσει, καὶ ἐν ἔθνεσιν οὐ συλλογισθήσεται.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 10] Τίς ἐξηκριβάσατο τὸ σπέρμα Ἰακὼβ, καὶ τίς ἐξαριθμήσεται δήμους Ἰσραήλ; ἀποθάνοι ἡ ψυχή μου ἐν ψυχαῖς δικαίων, καὶ γένοιτο τὸ σπέρμα μου ὡς τὸ σπέρμα τούτων.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 11] Καὶ εἶπε Βαλὰκ πρὸς Βαλαὰμ, τί πεποίηκάς μοι; εἰς κατάρασιν ἐχθρῶν μου κέκληκά σε, καὶ ἰδοὺ εὐλόγηκας εὐλογίαν.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 12] Καὶ εἶπε Βαλαὰμ πρὸς Βαλὰκ, οὐχὶ ὅσα ἂν ἐμβάλῃ ὁ Θεὸς εἰς τὸ στόμα μου, τοῦτο φυλάξω λαλῆσαι;
[LXX | EL | OT | Numbers | Chapter 23 | Verse 13] Καὶ εἶπε πρὸς αὐτὸν Βαλὰκ, δεῦρο ἔτι μετʼ ἐμοῦ εἰς τόπον ἄλλον ἐξ οὗ οὐκ ὄψει αὐτὸν ἐκεῖθεν, ἀλλʼ ἢ μέρος τι αὐτοῦ ὄψει, πάντας δὲ οὐ μὴ ἴδῃς, καὶ κατάρασαί μοι αὐτὸν ἐκεῖθεν.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 14] Καὶ παρέλαβεν αὐτὸν εἰς ἀγροῦ σκοπιὰν ἐπὶ κορυφὴν λελαξευμένου· καὶ ᾠκοδόμησεν ἐκεῖ ἑπτὰ βωμοὺς, καὶ ἀνεβίβασε μόσχον καὶ κριὸν ἐπὶ τὸν βωμόν.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 15] Καὶ εἶπε Βαλαὰμ πρὸς Βαλὰκ, παράστηθι ἐπὶ τῆς θυσίας σου, ἐγὼ δὲ πορεύσομαι ἐπερωτῆσαι τὸν Θεόν.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 16] Καὶ συνήντησεν ὁ Θεὸς τῷ Βαλαὰμ, καὶ ἐνέβαλε ῥῆμα εἰς τὸ στόμα αὐτοῦ, καὶ εἶπεν, ἀποστράφηθι πρὸς Βαλὰκ, καὶ τάδε λαλήσεις.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 17] Καὶ ἀπεστράφη πρὸς αὐτόν· καὶ ὁ δὲ ἐφειστήκει ἐπὶ τῆς ὁλοκαυτώσεως αὐτοῦ, καὶ πάντες οἱ ἄρχοντες Μωὰβ μετʼ αὐτοῦ· καὶ εἶπεν αὐτῷ Βαλὰκ, τί ἐλάλησε Κύριος;
[LXX | EL | OT | Numbers | Chapter 23 | Verse 18] Καὶ ἀναλαβὼν τὴν παραβολὴν αὐτοῦ, εἶπεν, ἀνάστηθι Βαλὰκ, καὶ ἄκουε, ἐνώτισαι μάρτυς υἱὸς Σεπφώρ.
[LXX | EL | OT | Numbers | Chapter 23 | Verse 19] Οὐχ ὡς ἄνθρωπος ὁ Θεὸς διαρτηθῆναι, οὐδʼ ὡς υἱὸς ἀνθρώπου ἀπειληθῆναι, αὐτὸς εἴπας, οὐχὶ ποιήσει; λαλήσει, καὶ οὐχὶ ἐμμενεῖ;
[LXX | EL | OT | Numbers | Chapter 23 | Verse 20] Ἰδοὺ εὐλογεῖν παρείλημμαι· εὐλογήσω, καὶ οὐ μὴ ἀποστρέψω.
