[LXX | EL | OT | Numbers | Chapter 27 | Verse 1] Καὶ προσελθοῦσαι αἱ θυγατέρες Σαλπαὰδ υἱοῦ Ὀφὲρ, υἱοῦ Γαλαὰδ, υἱοῦ Μαχιρ, τοῦ δήμου Μανασσῆ, τῶν υἱῶν Ἰωσὴφ, καὶ ταῦτα τὰ ὀνόματα αὐτῶν, Μααλὰ, καὶ Νουὰ, καὶ Ἐγλὰ, καὶ Μελχὰ, καὶ Θερσὰ,
[LXX | EL | OT | Numbers | Chapter 27 | Verse 2] καὶ στᾶσαι ἔναντι Μωυσῆ, καὶ ἔναντι Ἐλεάζαρ τοῦ ἱερέως, καὶ ἔναντι τῶν ἀρχόντων, καὶ ἔναντι πάσης συναγωγῆς ἐπὶ τῆς θύρας τῆς σκηνῆς τοῦ μαρτυρίου, λέγουσιν,
[LXX | EL | OT | Numbers | Chapter 27 | Verse 3] ὁ πατὴρ ἡμῶν ἀπέθανεν ἐν τῇ ἐρήμῳ, καὶ αὐτὸς οὐκ ἦν ἐν μέσῳ τῆς συναγωγῆς τῆς ἐπισυστάσης ἔναντι Κυρίου ἐν τῇ συναγωγῇ Κορὲ, ὅτι διʼ ἁμαρτίαν αὐτοῦ ἀπέθανε, καὶ υἱοὶ οὐκ ἐγένοντο αὐτῷ· μὴ ἐξαλειφθήτω τὸ ὄνομα τοῦ πατρὸς ἡμῶν ἐκ μέσου τοῦ δήμου αὐτοῦ, ὅτι οὐκ ἔστιν αὐτῷ υἱός· δότε ἡμῖν κατάσχεσιν ἐν μέσῳ ἀδελφῶν πατρὸς ἡμῶν.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 4] Καὶ προσήγαγε Μωυσῆν τὴν κρίσιν αὐτῶν ἔναντι Κυρίου.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 5] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν,
[LXX | EL | OT | Numbers | Chapter 27 | Verse 6] λέγεν, ὀρθῶς θυγατέρες Σαλπαὰδ λελαλήκασι· δόμα δώσεις αὐταῖς κατάσχεσιν κληρονομίας ἐν μέσῳ ἀδελφῶν πατρὸς αὐτῶν, καὶ περιθήσεις τὸν κλῆρον τοῦ πατρὸς αὐτῶν αὐταῖς.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 7] Καὶ τοῖς υἱοῖς Ἰσραὴλ λαλήσεις,
[LXX | EL | OT | Numbers | Chapter 27 | Verse 8] λέγων, ἄνθρωπος ἐὰν ἀποθάνῃ, καὶ υἱὸς μὴ ᾖ αὐτῷ, περιθήσετε τὴν κληρονομίαν αὐτοῦ τῇ θυγατρὶ αὐτοῦ·
[LXX | EL | OT | Numbers | Chapter 27 | Verse 9] Ἐὰν δὲ μὴ ᾖ θυγάτηρ αὐτῷ, δώσετε τὴν κληρονομίαν τῷ ἀδελφῷ αὐτοῦ.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 10] Ἐὰν δὲ μὴ ὦσιν αὐτῷ ἀδελφοὶ, δώσετε τὴν κληρονομίαν τῷ ἀδελφῷ τοῦ πατρὸς αὐτοῦ.
[LXX | EL | OT | Numbers | Chapter 27 | Verse 11] Ἐὰν δὲ μὴ ὦσιν ἀδελφοὶ τοῦ πατρὸς αὐτοῦ, δώσετε τὴν κληρονομίαν τῷ οἰκείῳ τῷ ἔγγιστα αὐτοῦ ἐκ τῆς φυλῆς αὐτοῦ, κληρονομῆσαι τὰ αὐτοῦ· καὶ ἔσται τοῦτο τοῖς υἱοῖς Ἰσραὴλ δικαίωμα κρίσεως, καθὰ συνέταξε Κύριος τῷ Μωυσῇ.
