[LXX | EL | OT | Numbers | Chapter 12 | Verse 1] Καὶ ἐλάλησε Μαριὰμ καὶ Ἀαρὼν κατὰ Μωυσῆ, ἕνεκεν τῆς γυναικὸς τῆς Αἰθιοπίσσης ἣν ἔλαβε Μωυσῆς, ὅτι γυναῖκα Αἰθιόπισσαν ἔλαβε,
[LXX | EL | OT | Numbers | Chapter 12 | Verse 2] καὶ εἶπαν, μὴ Μωυσῇ μόνῳ λελάληκε Κύριος; οὐχὶ καὶ ἡμῖν ἐλάλησε; καὶ ἤκουσε Κύριος.
[LXX | EL | OT | Numbers | Chapter 12 | Verse 3] Καὶ ὁ ἄνθρωπος Μωυσῆς πραῢς σφόδρα παρὰ πάντας τοὺς ἀνθρώπους τοὺς ὄντας ἐπὶ τῆς γῆς.
[LXX | EL | OT | Numbers | Chapter 12 | Verse 4] Καὶ εἶπε Κύριος παραχρῆμα πρὸς Μωυσῆν καὶ Ἀαρὼν καὶ Μαριὰμ, ἐξέλθετε ὑμεῖς οἱ τρεῖς εἰς τὴν σκηνὴν τοῦ μαρτυρίου.
[LXX | EL | OT | Numbers | Chapter 12 | Verse 5] Καὶ ἐξῆλθον οἱ τρεῖν εἰν τὴν σκηνὴν τοῦ μαρτυρίου· καὶ κατέβη Κύριος ἐν στύλῳ νεφέλης, καὶ ἔστη ἐπὶ τῆς θύρας τῆς σκηνῆς τοῦ μαρτυρίου· καὶ ἐκλήθησαν Ἀαρὼν καὶ Μαριάμ· καὶ ἐξήλθοσαν ἀμφότεροι.
[LXX | EL | OT | Numbers | Chapter 12 | Verse 6] Καὶ εἶπε πρὸς αὐτοὺς, ἀκούσατε τῶν λόγων μου· ἐὰν γένηται προφήτης ὑμῶν Κυρίῳ, ἐν ὁράματι αὐτῷ γυωσθήσομαι, καὶ ἐν ὕπνῳ λαλήσω αὐτῷ.
[LXX | EL | OT | Numbers | Chapter 12 | Verse 7] Οὐχ οὕτως ὁ θεράπων μου Μωυσῆς, ἐν ὅλῳ τῷ οἴκῳ μου πιστός ἐστι·
[LXX | EL | OT | Numbers | Chapter 12 | Verse 8] Στόμα κατὰ στόμα λαλήσω αὐτῶ, ἐν εἴδει, καὶ οὐ διʼ αἰνιγμάτων, καὶ τὴν δόξαν Κυρίου εἶδε· καὶ διατί οὐκ ἐφοβήθητε καταλαλῆσαι κατὰ τοῦ θεράποντός μου Μωυσῆ;
[LXX | EL | OT | Numbers | Chapter 12 | Verse 9] Καὶ ὀργὴ θυμοῦ Κυρίου ἐπʼ αὐτοῖς, καὶ ἀπῆλθε.
[LXX | EL | OT | Numbers | Chapter 12 | Verse 10] Καὶ ἡ νεφέλη ἀπέστη ἀπὸ τῆς σκηνῆς· καὶ ἰδοὺ Μαριὰμ λεπρῶσα ὡσεὶ χιών· καὶ ἐπέβλεψεν Ἀαρὼν ἐπὶ Μαριὰμ, καὶ ἰδοὺ λεπρῶσα.
[LXX | EL | OT | Numbers | Chapter 12 | Verse 11] Καὶ εἶπεν Ἀαρὼν πρὸς Μωυσῆν, δέομαι κύριε, μὴ συνεπιθῇ ἡμῖν ἁμαρτίαν, διότι ἠγνοήσαμεν καθʼ ὅτι ἡμάρτομεν·
[LXX | EL | OT | Numbers | Chapter 12 | Verse 12] Μὴ γένηται ὡσεὶ ἶσον θανάτῳ, ὡσεὶ ἔκτρωμα ἐκπορευόμενον ἐκ μήτρας μητρὸς, καὶ κατεσθίει τὸ ἥμισυ τῶν σαρκῶν αὐτῆς.
[LXX | EL | OT | Numbers | Chapter 12 | Verse 13] Καὶ ἐβόησε Μωυσῆς πρὸς Κύριον, λέγων, ὁ Θεὸς δέομαί σου, ἴασαι αὐτήν.
[LXX | EL | OT | Numbers | Chapter 12 | Verse 14] Καὶ εἶπε Κύριος πρὸς Μωυσῆν, εἰ ὁ πατὴρ αὐτῆς πτύων ἐνέπτυσεν εἰς τὸ πρόσωπον αὐτῆς οὐκ ἐντραπήσεται ἑπτὰ ἡμέρας; ἀφορισθήτω ἑπτὰ ἡμέρας ἔξω τῆς παρεμβολῆς, καὶ μετὰ ταῦτα εἰσελεύσεται.
[LXX | EL | OT | Numbers | Chapter 12 | Verse 15] Καὶ ἀφωρίσθη Μαριὰμ ἔξω τῆς παρεμβολῆς ἑπτὰ ἡμέρας· καὶ ὁ λαὸς οὐκ ἐξῇρεν, ἕως ἐκαθαρίσθη Μαριάμ.
[LXX | EL | OT | Numbers | Chapter 12 | Verse 16] Καὶ μετὰ ταῦτα ἐξῇρεν ὁ λαὸς ἐξ Ἀσηρὼθ, καὶ παρενέβαλον ἐν τῇ ἐρήμῳ τοῦ Φαράν.
