[LXX | EL | OT | Numbers | Chapter 35 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν ἐπὶ δυσμῶν Μωὰβ παρὰ τὸν Ἰορδάνην κατὰ Ἱεριχὼ, λέγων,
[LXX | EL | OT | Numbers | Chapter 35 | Verse 2] σύνταξον τοῖς υἱοῖς Ἰσραὴλ, καὶ δώσουσι τοῖς Λευίταις ἀπὸ τῶν κλήρων κατασχέσεως αὐτῶν πόλεις κατοικεῖν· καὶ τὰ προάστεια τῶν πόλεων κύκλῳ αὐτῶν δώσουσι τοῖς Λευίταις.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 3] Καὶ ἔσονται αὐτοῖς αἱ πόλεις κατοικεῖν, καὶ τὰ ἀφορίσματα αὐτῶν ἔσται τοῖς κτήνεσιν αὐτῶν, καὶ πᾶσι τοῖς τετράποσιν αὐτῶν.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 4] Καὶ τὰ συνκυροῦντα τῶν πόλεων, ἃς δώσετε τοῖς Λευίταις, ἀπὸ τείχους τῆς πόλεως καὶ ἔξω δισχιλίους πήχεις κύκλῳ.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 5] Καὶ μετρήσεις ἔξω τῆς πόλεως τὸ κλίτος τὸ πρὸς ἀνατολὰς δισχιλίους πήχεις, καὶ τὸ κλίτος τὸ πρὸς Λίβα δισχιλίους πήχεις, καὶ τὸ κλίτος τὸ πρὸς θάλασσαν διαχιλίους πήχεις, καὶ τὸ κλίτος τὸ πρὸς Βοῤῥᾶν δισχιλίους πήχεις· καὶ ἡ πόλις μέσον τούτου ἔσται ὑμῖν, καὶ τὰ ὅμορα τῶν πόλεων.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 6] Καὶ τὰς πόλεις δώσετε τοῖς Λευίταις, τὰς ἓξ πόλεις τῶν φυγαδευτηρίων ἃς δώσετε φυγεῖν ἐκεῖ τῷ φονεύσαντι, καὶ πρὸς ταύταις τεσσαράκοντα καὶ δύο πόλεις.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 7] Πάσας τὰς πόλεις δώσετε τοῖς Λευίταις τεσσαράκοντα καὶ ὀκτὼ πόλεις· ταύτας, καὶ τὰ προάστεια αὐτῶν.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 8] Καὶ τὰς πόλεις ἃς δώσετε ἀπὸ τῆς κατασχέσεως υἱῶν Ἰσραὴλ, ἀπὸ τῶν τὰ πολλὰ, πολλά· καὶ ἀπὸ τῶν ἐλαττόνων, ἐλάττω· ἕκαστος κατὰ τὴν κληρονομίαν αὐτοῦ ἣν κατακληρονομήσουσι, δώσουσιν ἀπὸ τῶν πόλεων τοῖς Λευίταις.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 9] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Numbers | Chapter 35 | Verse 10] λάλησον τοῖς υἱοῖς Ἰσραὴλ, καὶ ἐρεῖς πρὸς αὐτοὺς, ὑμεῖς διαβαίνετε τὸν Ἰορδάνην εἰς γῆν Χαναάν.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 11] Καὶ διαστελεῖτε ὑμῖν αὐτοῖς πόλεις· φυγαδευτήρια ἔσται ὑμῖν φυγεῖν ἐκεῖ τὸν φονευτὴν, πᾶς ὁ πατάξας ψυχὴν ἀκουσίως.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 12] Καὶ ἔσονται αἱ πόλεις ὑμῖν φυγαδευτήρια ἀπὸ τοῦ ἀγχιστεύοντος τὸ αἷμα, καὶ οὐ μὴ ἀποθάνῃ ὁ φονεύων ἕως ἂν στῇ ἔναντι τῆς συναγωγῆς εἰς κρίσιν.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 13] Καὶ αἱ πόλεις ἃς δώσετε τὰς ἓξ πόλεις, φυγαδευτήρια ἔσονται ὑμῖν.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 14] Τὰς τρεῖς πόλεις δώσετε πέραν τοῦ Ἰορδάνου, καὶ τὰς τρεῖς πόλεις δώσετε ἐν γῇ Χαναάν.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 15] Φυγαδεῖον ἔσται τοῖς υἱοῖς Ἰσραήλ, καὶ τῷ προσηλύτῳ, καὶ τῷ παροίκῳ τῷ ἐν ὑμῖν· ἔσονται αἱ πόλεις αὗται εἰς φυγαδευτήριον, φυγεῖν ἐκεῖ παντὶ πατάξαντι ψυχὴν ἀκουσίως.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 16] Ἐὰν δὲ ἐν σκεύει σιδήρου πατάξῃ αὐτὸν, καὶ τελευτήσῃ, φονευτής ἐστι· θανάτῳ θανατούσθω ὁ φονευτής.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 17] Ἐὰν δὲ ἐν λίθῳ ἐκ χειρὸς ἐν ᾧ ἀποθανεῖται ἐν αὐτῷ, πατάξῃ αὐτὸν, καὶ ἀποθάνῃ, φονευτής ἐστι· θανάτῳ θανατούσθω ὁ φονευτής.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 18] Ἐὰν δὲ ἐν σκεύει ξυλίνῳ ἐκ χειρὸς ἐξ οὗ ἀποθανεῖται ἐν αὐτῷ, πατάξῃ αὐτόν, καὶ ἀποθάνῃ, φονευτής ἐστι· θανάτῳ θανατούσθω ὁ φονευτής.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 19] Ὁ ἀγχιστεύων τὸ αἷμα, οὗτος ἀποκτενεῖ τὸν φονεύσαντα· ὅταν συναντήσῃ αὐτῷ οὗτος, ἀποκτενεῖ αὐτόν.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 20] Ἐὰν δὲ διʼ ἔχθραν ὤσῃ αὐτὸν, καὶ ἐπιῤῥίψῃ ἐπʼ αὐτὸν πᾶν σκεῦος ἐξ ἐνέδρου, καὶ ἀποθάνῃ,
[LXX | EL | OT | Numbers | Chapter 35 | Verse 21] ἢ διὰ μῆνιν ἐπάταξεν αὐτὸν τῇ χειρί, καὶ ἀποθάνῃ, θανάτῳ θανατούσθω ὁ πατάξας, φονευτής ἐστι· θανάτῳ θανατούσθω ὁ φονεύων· ὁ ἀγχιστεύων τὸ αἷμα ἀποκτενεῖ τὸν φονεύσαντα ἐν τῷ συναντῆσαι αὐτῷ.
[LXX | EL | OT | Numbers | Chapter 35 | Verse 22] Ἐὰν δὲ ἐξάπινα, οὐ διʼ ἔχθραν ὤσῃ αὐτὸν, ἢ ἐπιῤῥίψῃ ἐπʼ αὐτὸν πᾶν σκεῦος, οὐκ ἐξ ἐνέδρου,
[LXX | EL | OT | Numbers | Chapter 35 | Verse 23] ἢ παντὶ λίθῳ, ἐν ᾧ ἀποθανεῖται ἐν αὐτῷ, οὐκ εἰδὼς, καὶ ἐπιπέσῃ ἐπʼ αὐτὸν, καὶ ἀποθάνῃ, αὐτὸς δὲ οὐκ ἐχθρὸς αὐτοῦ ἦν, οὐδὲ ζητῶν κακοποιῆσαι αὐτόν·
[LXX | EL | OT | Numbers | Chapter 35 | Verse 24] καὶ κρινεῖ ἡ συναγωγὴ ἀναμέσον τοῦ πατάξαντος καὶ ἀναμέσον τοῦ ἀγχιστεύοντος τὸ αἷμα, κατὰ τὰ κρίματα ταῦτα.
