[LXX | EL | OT | Numbers | Chapter 3 | Verse 1] Καὶ αὗται αἱ γενέσεις Ἀαρὼν καὶ Μωυσῆ, ἐν ᾗ ἡμέρᾳ ἐλάλησε Κύριος τῷ Μωυσῇ ἐν ὄρει Σινᾷ.
[LXX | EL | OT | Numbers | Chapter 3 | Verse 2] Καὶ ταῦτα τὰ ὀνόματα τῶν υἱῶν Ἀαρών· πρωτότοκος Ναδάβ, καὶ Ἀβιοὺδ, Ἐλεάζαρ, καὶ Ἰθάμαρ.
[LXX | EL | OT | Numbers | Chapter 3 | Verse 3] Ταῦτα τὰ ὀνόματα τῶν υἱῶν Ἀαρὼν, οἱ ἱερεῖς οἱ ἠλειμμένοι, οὓς ἐτελείωσαν τὰς χεῖρας αὐτῶν ἱερατεύειν.
[LXX | EL | OT | Numbers | Chapter 3 | Verse 4] Καὶ ἐτελεύτησε Ναδὰβ καὶ Ἀβιοὺδ ἔναντι Κυρίου, προσφερόντων αὐτῶν πῦρ ἀλλότριον ἔναντι Κυρίου, ἐν τῇ ἐρήμῳ Σινᾷ, καὶ παιδία οὐκ ἦν αὐτοῖς· καὶ ἱεράτευσεν Ἐλεάζαρ καὶ Ἰθάμαρ μετὰ Ἀαρὼν τοῦ πατρὸς αὐτῶν.
[LXX | EL | OT | Numbers | Chapter 3 | Verse 5] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Numbers | Chapter 3 | Verse 6] λάβε τὴν φυλὴν Λευὶ, καὶ στήσεις αὐτοὺς ἐναντίον Ἀαρὼν τοῦ ἱερέως, καὶ λειτουργήσουσιν αὐτῷ,
[LXX | EL | OT | Numbers | Chapter 3 | Verse 7] καὶ φυλάξουσι τὰς φυλακὰς αὐτοῦ, καὶ τὰς φυλακὰς τῶν υἱῶν Ἰσραὴλ ἔναντι τῆς σκηνῆς τοῦ μαρτυρίου, ἐργάζεσθαι τὰ ἔργα τῆς σκηνῆς.
[LXX | EL | OT | Numbers | Chapter 3 | Verse 8] Καὶ φυλάξουσι πάντα τὰ σκεύη τῆς σκηνῆς τοῦ μαρτυρίου, καὶ τὰς φυλακὰς τῶν υἱῶν Ἰσραὴλ κατὰ πάντα τὰ ἔργα τῆς σκηνῆς.
[LXX | EL | OT | Numbers | Chapter 3 | Verse 9] Καὶ δώσεις τοὺς Λευίτας Ἀαρὼν, καὶ τοῖς υἱοῖς αὐτοῦ τοῖς ἱερεῦσι· δεδομένοι δόμα οὗτοί μοι εἰσὶν ἀπὸ τῶν υἱῶν Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 3 | Verse 10] Καὶ Ἀαρὼν καὶ τοὺς υἱοὺς αὐτοῦ καταστήσεις ἐπὶ τῆς σκηνῆς τοῦ μαρτυρίου· καὶ φυλάξουσι τὴν ἱερατείαν αὐτῶν, καὶ πάντα τὰ κατὰ τὸν βωμὸν, καὶ ἔσω τοῦ καταπετάσματος· καὶ ὁ ἀλλογενὴς ὁ ἁπτόμενος ἀποθανεῖται.
[LXX | EL | OT | Numbers | Chapter 3 | Verse 11] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
