[LXX | EL | OT | Numbers | Chapter 6 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων, λάλησον τοῖς υἱοῖς Ἰσραὴλ,
[LXX | EL | OT | Numbers | Chapter 6 | Verse 2] καὶ ἐρεῖς πρὸς αὐτοὺς, ἀνὴρ ἢ γυνὴ, ὃς ἂν μεγάλως εὔξηται εὐχὴν ἀφαγνίσασθαι ἁγνείαν Κυρίῳ,
[LXX | EL | OT | Numbers | Chapter 6 | Verse 3] ἀπὸ οἴνου καὶ σίκερα ἁγνισθήσεται· καὶ ὄξος ἐξ οἴνου καὶ ὄξος ἐκ σίκερα οὐ πίεται· καὶ ὅσα κατεργάζεται ἐκ σταφυλῆς οὐ πίεται· καὶ σταφυλὴν πρόσφατον καὶ σταφίδα οὐ φάγεται πάσας τὰς ἡμέρας τῆς εὐχῆς αὐτοῦ·
[LXX | EL | OT | Numbers | Chapter 6 | Verse 4] ἀπὸ πάντων ὅσα γίνεται ἐξ ἀμπέλου, οἶνον ἀπὸ στεμφύλων ἕως γιγάρτου οὐ φάγεται πάσας τὰς ἡμέρας τοῦ ἁγνισμοῦ·
[LXX | EL | OT | Numbers | Chapter 6 | Verse 5] ξυρὸν οὐκ ἐπελεύσεται ἐπὶ τὴν κεφαλὴν αὐτοῦ, ἓως ἄν πληρωθῶσιν αἱ ἡμέραι, ὅσας ηὐξατο Κυρίῳ· ἅγιος ἔσται τρέφων κόμην τρίχα κεφαλῆς πάσας τὰς ἡμέρας τῆς εὐχῆς Κυρίῳ·
[LXX | EL | OT | Numbers | Chapter 6 | Verse 6] ἐπὶ πάσῃ ψυχῇ τετελευτηκυίᾳ οὐκ εἰσελεύσεται ἐπὶ πατρὶ καὶ μητρὶ,
[LXX | EL | OT | Numbers | Chapter 6 | Verse 7] καὶ ἐπʼ ἀδελφῷ καὶ ἐπʼ ἀδελφῇ, οὐ μιανφήσεται ἐπʼ αὐτοὶς ἀποφανόντων αὐτῶν, ὅτι εὐχὴ Θεοῦ αὐτοῦ ἐπʼ αὐτῷ ἐπὶ κεφαλῆς αὐτοῦ·
[LXX | EL | OT | Numbers | Chapter 6 | Verse 8] Πάσας τὰς ἡμέρας τῆς εὐχῆς αὐτοῦ ἅγιος ἔσται Κυρίῳ.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 9] Ἐὰν δέ τις ἀποθάνῃ ἐπʼ αὐτῷ ἐξάπινα, παραχρῆμα μιανθήσεται ἡ κεφαλὴ εὐχῆς αὐτοῦ· καὶ ξυρήσεται τὴν κεφαλὴν αὐτοῦ ᾗ ἂν ἡμέρᾳ καθαρισθῇ· τῇ ἡμέρᾳ τῇ ἑβδόμῃ ξυρηθήσεται.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 10] Καὶ τῇ ἡμέρᾳ τῇ ὀγδόῃ οἴσει δύο τρυγόνας, ἢ δύο νοσσοὺς περιστερῶν πρὸς τὸν ἱερέα, ἐπὶ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 11] Καὶ ποιήσει ὁ ἱερεὺς μίαν περὶ ἁμαρτίας, καὶ μίαν εἰς ὁλοκαύτωμα· καὶ ἐξιλάσεται περὶ αὐτοῦ ὁ ἱερεὺς περὶ ὧν ἥμαρτε περὶ τῆς ψυχῆς· καὶ ἁγιάσει τὴν κεφαλὴν αὐτοῦ ἐν ἐκείνῃ τῇ ἡμέρᾳ, ᾗ ἡγιάσθη Κυρίῳ, τὰς ἡμέρας τῆς εὐχῆς·
[LXX | EL | OT | Numbers | Chapter 6 | Verse 12] καὶ προσάξει ἀμνὸν ἐνιαύσιον εἰς πλημμέλειαν· καὶ αἱ ἡμέραι αἱ πρότεραι ἄλογοι ἔσονται, ὅτι ἐμιάνθη ἡ κεφαλὴ εὐχῆς αὐτοῦ.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 13] Καὶ οὗτος ὁ νόμος τοῦ εὐξαμένου· ᾗ ἂν ἡμέρᾳ πληρώσῃ ἡμέρας εὐχῆς αὐτοῦ, προσοίσει αὐτὸς παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 14] Καὶ προσάξει τὸ δῶρον αὐτοῦ Κυρίῳ ἀμνὸν ἐνιαύσιον ἄμωμον ἕνα εἰς ὁλοκαύτωσιν, καὶ ἀμνάδα ἐνιαυσίαν μίαν ἄμωμον εἰς ἁμαρτίαν, καὶ κριὸν ἕνα ἄμωμον εἰς σωτήριον,
[LXX | EL | OT | Numbers | Chapter 6 | Verse 15] καὶ κανοῦν ἀζύμων σεμιδάλεως ἄρτους ἀναπεποιημένους ἐν ἐλαίῳ, καὶ λάγανα ἄζυμα κεχρισμένα ἐν ἐλαίῳ, καὶ θυσίαν αὐτῶν, καὶ σπονδὴν αὐτῶν.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 16] Καὶ προσοίσει ὁ ἱερεὺς ἔναντι Κυρίου, καὶ ποιήσει τὸ περὶ ἁμαρτίας αὐτοῦ, καὶ τὸ ὁλοκαύτωμα αὐτοῦ.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 17] Καὶ τὸν κριὸν ποιήσει θυσίαν σωτηρίου τῷ Κυρίῳ ἐπὶ τῷ κανῷ τῶν ἀζύμων· καὶ ποιήσει ὁ ἱερεὺς τὴν θυσίαν αὐτοῦ, καὶ τὴν σπονδὴν αὐτοῦ.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 18] Καὶ ξυρήσεται ὁ ηὐγμένος παρὰ τὰς θύρας τῆς σκηνῆς τοῦ μαρτυρίου τὴν κεφαλὴν τῆς εὐχῆς αὐτοῦ, καὶ ἐπιθήσει τὰς τρίχας ἐπὶ τὸ πῦρ, ὅ ἐστιν ὑπὸ τὴν θυσίαν τοῦ σωτηρίου.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 19] Καὶ λήψεται ὁ ἱερεὺς τὸν βραχίονα ἐφθὸν ἀπὸ τοῦ κριοῦ, καὶ ἄρτον ἕνα ἄζυμον ἀπὸ τοῦ κανοῦ, καὶ λάγανον ἄζυμον ἕν, καὶ ἐπιθήσει ἐπὶ τὰς χεῖρας τοῦ ηὐγμένου μετὰ τὸ ξυρήσασθαι αὐτὸν τὴν εὐχὴν αὐτοῦ,
[LXX | EL | OT | Numbers | Chapter 6 | Verse 20] καὶ προσοίσει αὐτὰ ὁ ἱερεὺς ἐπίθεμα ἔναντι Κυρίου· ἅγιον ἔσται τῷ ἱερεῖ ἐπὶ τοῦ στηθηνίου τοῦ ἐπιθέματος, καὶ ἐπὶ τοῦ βραχίονος τοῦ ἀφαιρέματος· καὶ μετὰ ταῦτα πίεται ὁ ηὐγμένος οἶνον.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 21] Οὗτος ὁ νόμος τοῦ εὐξαμένου, ὃς ἂν εὔξηται Κυρίῳ δῶρον αὐτοῦ Κυρίῳ περὶ τῆς εὐχῆς, χωρὶς ὧν ἂν εὕρῃ ἡ χεὶρ αὐτοῦ, κατὰ δύναμιν τῆς εὐχῆς αὐτοῦ, ἣν ἂν εὔξηται κατὰ νόμον ἁγνείας.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 22] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Numbers | Chapter 6 | Verse 23] λάλησον Ἀαρὼν καὶ τοῖς υἱοῖς αὐτοῦ, λέγων, οὕτως εὐλογήσετε τοὺς υἱοὺς Ἰσραὴλ, λέγοντες αὐτοῖς,
[LXX | EL | OT | Numbers | Chapter 6 | Verse 24] εὐλογήσαι σε Κύριος, καὶ φυλάξαι, σε.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 25] Ἐπιφάναι Κύριος τὸ πρόσωπον αὐτοῦ ἐπὶ σὲ, καὶ ἐλεήσαι σε.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 26] Ἐπάραι Κύριος τὸ πρόσωπον αὐτοῦ ἐπὶ σὲ, καὶ δῴη σοι εἰρήνην.
[LXX | EL | OT | Numbers | Chapter 6 | Verse 27] Καὶ ἐπιθήσουσι τὸ ὄνομά μου ἐπὶ τοὺς υἱοὺς Ἰσραὴλ, καὶ ἐγὼ Κύριος εὐλογήσω αὐτούς.
