[LXX | EL | OT | Numbers | Chapter 7 | Verse 1] Καὶ ἐγένετο ᾗ ἡμέρᾳ συνετέλεσε Μωυσῆς, ὥστε ἀναστῆσαι τὴν σκηνήν, καὶ ἔχρισεν αὐτὴν, καὶ ἡγίασεν αὐτὴν, καὶ πάντα τὰ σκεύη αὐτῆς, καὶ τὸ θυσιαστήριον, καὶ πάντα τὰ σκεύη αὐτοῦ, καὶ ἔχρισεν αὐτὰ, καὶ ἡγίασεν αὐτά.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 2] Καὶ προσήνεγκαν οἱ ἄρχοντες Ἰσραὴλ, δώδεκα ἄρχοντες οἴκων πατριῶν αὐτῶν· οὗτοι οἱ ἄρχοντες φυλῶν, οὗτοι οἱ παρεστηκότες ἐπὶ τῆς ἐπισκοπῆς.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 3] Καὶ ἤνεγκαν τὸ δῶρον αὐτῶν ἔναντι Κυρίου, ἓξ ἁμάξας λαμπηνίκας, καὶ δώδεκα βόας· ἅμαξαν παρὰ δύο ἀρχόντων, καὶ μόσχον παρὰ ἑκάστου· καὶ προσήγαγον ἐναντίον τῆς σκηνῆς.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 4] Καὶ εἶπε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Numbers | Chapter 7 | Verse 5] λάβε παρʼ αὐτῶν, καὶ ἔσονται πρὸς τὰ ἔργα τὰ λειτουργικὰ τῆς σκηνῆς τοῦ μαρτυρίου· καὶ δώσεις αὐτὰ τοῖς Λευίταις, ἑκάστῳ κατὰ τὴν αὐτοῦ λειτουργίαν.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 6] Καὶ λαβὼν Μωυσῆς τὰς ἁμάξας καὶ τοὺς βόας, ἔδωκεν αὐτὰ τοῖς Λευίταις.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 7] Καὶ τὰς δύο ἁμάξας καὶ τοὺς τέσσαρας βόας ἔδωκε τοῖς υἱοῖς Γεδσὼν κατὰ τὰς λειτουργίας αὐτῶν.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 8] Καὶ τὰς τέσσαρας ἁμάξας καὶ τοὺς ὀκτὼ βόας ἔδωκε τοῖς υἱοῖς Μεραρὶ κατὰ τὰς λειτουργίας αὐτῶν, διὰ Ἰθάμαρ υἱοῦ Ἀαρὼν τοῦ ἱερέως.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 9] Καὶ τοῖς υἱοῖς Καὰθ οὐ δέδωκεν, ὅτι τὰ λειτουργήματα τοῦ ἁγίου ἔχουσιν· ἐπʼ ὤμων ἀροῦσι.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 10] Καὶ προσήνεγκαν οἱ ἄρχοντες εἰς τὸν ἐγκαινισμὸν τοῦ θυσιαστηρίου, ἐν τῇ ἡμέρᾳ ᾗ ἔχρισεν αὐτὸ, καὶ προσήνεγκαν οἱ ἄρχοντες τὰ δῶρα αὐτῶν ἀπέναντι τοῦ θυσιαστηρίου.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 11] Καὶ εἶπε Κύριος πρὸς Μωυσῆν, ἄρχων εἷς καθʼ ἡμέραν, ἄρχων καθʼ ἡμέραν προσοίσουσι τὰ δῶρα αὐτῶν εἰς τὸν ἐγκαινισμὸν τοῦ θυσιαστηρίου.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 12] Καὶ ἦν ὁ προσφέρων ἐν τῇ ἡμέρᾳ τῇ πρώτῃ τὸ δῶρον αὐτοῦ, Ναασσὼν υἱὸς Ἀμιναδὰβ, ἄρχων τῆς φυλῆς Ἰούδα.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 13] Καὶ προσήνεγκε τὸ δῶρον αὐτοῦ, τρυβλίον ἀργυροῦν ἕν, τριάκοντα καὶ ἑκατὸν ὁλκὴ αὐτοῦ· φιάλην μίαν ἀργυρᾶν, ἑβδομήκοντα σίκλων κατὰ τὸν σίκλον τὸν ἅγιον· ἀμφοτέρα πλήρη σεμιδάλεως ἀναπεποιημένης ἐν ἐλαίῳ εἰς θυσίαν.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 14] Θυΐσκην μίαν δέκα χρυσῶν, πλήρη θυμιάματος.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 15] Μόσχον ἕνα ἐκ βοῶν, κριὸν ἕνα, ἀμνὸν ἕνα ἐνιαύσιον εἰς ὁλοκαύτωμα,
[LXX | EL | OT | Numbers | Chapter 7 | Verse 16] καὶ χίμαρον ἐξ αἰγῶν ἕνα περὶ ἁμαρτίας.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 17] Καὶ εἰς θυσίαν σωτηρίου δαμάλεις δύο, κριοὺς πέντε, τράγους πέντε, ἀμνάδας ἐνιαυσίας πέντε· τοῦτο δῶρον Ναασσὼν υἱοῦ Ἀμιναδάβ.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 18] Τῇ ἡμέρᾳ τῇ δευτέρᾳ προσήνεγκε Ναθαναὴλ υἱὸς Σωγὰρ, ὅ ἄρχων τῆς φυλῆς Ἰσσάχαρ.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 19] Καὶ προσήνεγκε τὸ δῶρον αὐτοῦ, τρυβλίον ἀργυροῦν ἓν, τριάκοντα καὶ ἑκατὸν ὁλκὴ αὐτοῦ· φιάλην μίαν ἀργυρᾶν, ἑβδομήκοντα σίκλων κατὰ τὸν σίκλον τὸν ἅγιον· ἀμφότερα πλήρη σεμιδάλεως ἀναπεποιημένης ἐν ἐλαίῳ εἰς θυσίαν.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 20] Θυΐσκην μίαν δέκα χρυσῶν, πλήρη θυμιάματος.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 21] Μόσχον ἔνα ἐκ βοῶν, κριὸν ἕνα, ἀμνὸν ἕνα ἐνιαύσιον εἰς ὁλοκαύτωμα,
[LXX | EL | OT | Numbers | Chapter 7 | Verse 22] καὶ χίμαρον ἐξ αἰγῶν ἕνα περὶ ἁμαρτίας.
[LXX | EL | OT | Numbers | Chapter 7 | Verse 23] Καὶ εἰς θυσίαν σωτηρίου δαμάλεις δύο, κριοὺς πέντε, τράγους πέντε, ἀμνάδας ἐνιαυσίας πέντε· τοῦτο τὸ δῶρον Ναθαναὴλ υἱοῦ Σωγάρ.
