[LXX | EL | OT | Numbers | Chapter 2 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν καὶ Ἀαρὼν, λέγων,
[LXX | EL | OT | Numbers | Chapter 2 | Verse 2] ἄνθρωπος ἐχόμενος αὐτοῦ κατὰ τάγμα, κατὰ σημαίας, κατʼ οἴκους πατριῶν αὐτῶν, παρεμβαλλέτωσαν οἱ υἱοὶ Ἰσραήλ ἐναντίοι· κύκλῳ τῆς σκηνῆς τοῦ μαρτυρίου παρεμβαλοῦσιν οἱ υἱοὶ Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 2 | Verse 3] Καὶ οἱ παρεμβάλλοντες πρῶτοι κατὰ ἀνατολὰς, τάγμα παρεμβολῆς Ἰούδα σὺν δυνάμει αὐτῶν, καὶ ὁ ἄρχων τῶν υἱῶν Ἰούδα, Ναασσὼν υἱὸς Ἀμιναδάβ.
[LXX | EL | OT | Numbers | Chapter 2 | Verse 4] Δύναμις αὐτοῦ οἱ ἐπεσκεμμένοι, τέσσαρες καὶ ἑβδομήκοντα χιλιάδες καὶ ἑξακόσιοι.
[LXX | EL | OT | Numbers | Chapter 2 | Verse 5] Καὶ οἱ παρεμβάλλοντες ἐχόμενοι φυλῆς Ἰσσάχαρ, καὶ ὁ ἄρχων τῶν υἱῶν Ἰσσάχαρ, Ναθαναὴλ υἱὸς Σωγάρ.
[LXX | EL | OT | Numbers | Chapter 2 | Verse 6] Δύναμις αὐτοῦ οἱ ἐπεσκεμμένοι, τέσσαρες καὶ πεντήκοντα χιλιάδες καὶ τετρακόσιοι.
[LXX | EL | OT | Numbers | Chapter 2 | Verse 7] Καὶ οἱ παρεμβάλλοντες ἐχόμενοι φυλῆς Ζαβουλὼν, καὶ ὁ ἄρχων τῶν υἱῶν Ζαβουλὼν, Ἑλιὰβ υἱὸς Χαιλών.
[LXX | EL | OT | Numbers | Chapter 2 | Verse 8] Δύναμις αὐτοῦ οἱ ἐπεσκεμμένοι, ἑπτὰ καὶ πεντήκοντα χιλιάδες καὶ τετρακόσιοι.
[LXX | EL | OT | Numbers | Chapter 2 | Verse 9] Πάντες οἱ ἐπεσκεμμένοι ἐκ τῆς παρεμβολῆς Ἰούδα, ἑκατὸν ὀγδοήκοντα χιλιάδες καὶ ἑξακισχίλιοι καὶ τετρακόσιοι, σὺν δυνάμει αὐτῶν πρῶτον ἐξαροῦσι.
[LXX | EL | OT | Numbers | Chapter 2 | Verse 10] Τάγματα παρεμβολῆς Ῥουβὴν, πρὸς λίβα δύναμις αὐτῶν, καὶ ὁ ἄρχων τῶν υἱῶν ʼΡουβὴν, Ἐλισοὺρ υἱὸς Σεδιούρ.
[LXX | EL | OT | Numbers | Chapter 2 | Verse 11] Δύναμις αὐτοῦ οἱ ἐπεσκεμμένοι, ἓξ καὶ τεσσαράκοντα χιλιάδες καὶ πεντακόσιοι.
