[LXX | EL | OT | Numbers | Chapter 19 | Verse 1] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν καὶ Ἀαρὼν, λέγων,
[LXX | EL | OT | Numbers | Chapter 19 | Verse 2] αὕτη ἡ διαστολὴ τοῦ νόμου, ὅσα συνέταξε Κύριος, λέγων, λάλησον τοῖς υἱοῖς Ἰσραήλ· καὶ λαβέτωσαν πρὸς σὲ δάμαλιν πυῤῥὰν ἄμωμου, ἥτις οὐκ ἔχει ἐν αὐτῇ μῶμον, καὶ ᾗ οὐκ ἐπεβλήθη ἐπʼ αὐτὴν ζυγός.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 3] Καὶ δώσεις αὐτὴν πρὸς Ἐλεάζαρ τὸν ἱερέα· καὶ ἐξάξουσιν αὐτὴν ἔξω τῆς παρεμβολῆς εἰς τόπον καθαρὸν, καὶ σφάξουσιν αὐτὴν ἐνώπιον αὐτοῦ.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 4] Καὶ λήψεται Ἐλεάζαρ ἀπὸ τοῦ αἵματος αὐτῆς, καὶ ῥανεῖ ἀπέναντι τοῦ προσώπου τῆς σκηνῆς τοῦ μαρτυρίου ἀπὸ τοῦ αἵματος αὐτῆς ἑπτάκις.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 5] Καὶ κατακαύσουσιν αὐτὴν ἐναντίον αὐτοῦ· καὶ τὸ δέρμα καὶ τὰ κρέα αὐτῆς καὶ τὸ αἷμα αὐτῆς σὺν τῇ κόπρῳ αὐτῆς κατακαυθήσεται.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 6] Καὶ λήψεται ὁ ἱερεὺς ξύλον κέδρινον καὶ ὕσσωπον καὶ κόκκινον, καὶ ἐμβαλοῦσιν εἰς μέσον τοῦ κατακαύματος τῆς δαμάλεως.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 7] Καὶ πλυνεῖ τὰ ἱμάτια αὐτοῦ ὁ ἱερεὺς, καὶ λούσεται τὸ σῶμα αὐτοῦ ὕδατι, καὶ μετὰ ταῦτα εἰσελεύσεται εἰς τὴν παρεμβολὴν, καὶ ἀκάθαρτος ἔσται ὁ ἱερεὺς ἕως ἑσπέρας.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 8] Καὶ ὁ κατακαίων αὐτὴν πλυνεῖ τὰ ἱμάτια αὐτοῦ, καὶ λούσεται τὸ σῶμα αὐτοῦ, καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 9] Καὶ συνάξει ἄνθρωπος καθαρὸς τὴν σποδὸν τῆς δαμάλεως, καὶ ἀποθήσει ἔξω τῆς παρεμβολῆς εἰς τόπον καθαρόν· καὶ ἔσται τῇ συναγωγῇ υἱῶν Ἰσραὴλ εἰς διατήρησιν· ὕδωρ ῥαντισμοῦ ἅγνισμά ἐστι.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 10] Καὶ ὁ συνάγων τὴν σποδιὰν τῆς δαμάλεως, πλυνεῖ τὰ ἱμάτια αὐτου, καὶ ἀκάθαρτος ἔσται ἕως ἑσπέρας· καὶ ἔσται τοῖς υἱοῖς Ἰσραὴλ καὶ τοῖς προσηλύτοις προσκειμένοις νόμιμον αἰώνιον.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 11] Ὁ ἁπτόμενος τοῦ τεθνηκότος πάσης ψυχῆς ἀνθρώπου, ἀκάθαρτος ἔσται ἑπτὰ ἡμέρας.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 12] Οὗτος ἁγνισθήσεται τῇ ἡμέρᾳ τῇ τρίτῃ καὶ τῇ ἡμέρᾳ τῇ ἑβδόμῃ, καὶ καθαρὸς ἔσται· ἐὰν δὲ μὴ ἀφαγνισθῇ τῇ ἡμέρᾳ τῇ τρίτῃ καὶ τῇ ἡμέρᾳ τῇ ἑβδόμῃ, οὐ καθαρὸς ἔσται.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 13] Πᾶς ὁ ἁπτόμενος τοῦ τεθνηκότος ἀπὸ ψυχῆς ἀνθρώπου, ἐὰν ἀποθάνῃ, καὶ μὴ ἀφαγνισθῇ, τὴν σκηνὴν Κυρίου ἐμίανεν· ἐκτριβήσεται ἡ ψυχὴ ἐκείνη ἐξ Ἰσραὴλ, ὅτι ὕδωρ ῥαντισμοῦ οὐ περιεῤῥαντίσθη ἐπʼ αὐτόν· ἀκάθαρτός ἐστιν· ἔτι ἡ ἀκαθαρσία αὐτοῦ ἐν αὐτῷ ἐστι.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 14] Καὶ οὗτος ὁ νόμος· ἄνθρωπος ἐὰν ἀποθάνῃ ἐν οἰκίᾳ, πᾶς ὁ εἰσπορευόμενος εἰς τὴν οἰκίαν, καὶ ὅσα ἐστὶν ἐν τῇ οἰκίᾳ, ἀκάθαρτα ἔσται ἑπτὰ ἡμέρας.
[LXX | EL | OT | Numbers | Chapter 19 | Verse 15] Καὶ πᾶν σκεῦος ἀνεῳγμένον ὅσα οὐχὶ δεσμὸν καταδέδεται ἐπʼ αὐτῷ, ἀκάθαρτά ἐστι.
