[LXX | EL | OT | Numbers | Chapter 15 | Verse 1] Καὶ εἶπε Κύριος πρὸς Μωυσῆν, λέγων, λάλησον τοῖς ὑοῖς Ἰσραὴλ,
[LXX | EL | OT | Numbers | Chapter 15 | Verse 2] καὶ ἐρεῖς πρὸς αὐτούς, ὅταν εἰσέλθητε εἰς τὴν γῆν τῆς κατοικήσεως ὑμῶν, ἣν ἐγὼ δίδωμι ὑμῖν,
[LXX | EL | OT | Numbers | Chapter 15 | Verse 3] καὶ ποιήσεις ὁλοκαυτώματα Κυρίῳ, ὁλοκάρπωμα ἢ θυσίαν, μεγαλῦναι εὐχὴν, ἢ καθʼ ἑκούσιον, ἢ ἐν ταῖς ἑορταῖς ὑμῶν ποιῆσαι ὀσμὴν εὐωδίας τῷ Κυρίῳ, εἰ μὲν ἀπὸ τῶν βοῶν ἢ ἀπὸ τῶν προβάτων.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 4] Καὶ προσοίσει ὁ προσφέρων τὸ δῶρον αὐτοῦ Κυρίῳ, θυσίαν σεμιδάλεως δέκατον τοῦ οἰφί ἀναπεποιημένης ἐν ἐλαίῳ ἐν τετάρτῳ τοῦ ἴν.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 5] Καὶ οἶνον εἰς σπονδὴν τὸ τέταρτον τοῦ ἴν ποιήσετε ἐπὶ τῆς ὁλοκαυτώσεως, ἢ ἐπὶ τῆς θυσίας· τῷ ἀμνῷ τῷ ἑνὶ ποιήσεις τοσοῦτο, κάρπωμα ὀσμὴν εὐωδίας τῷ Κυρίῳ.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 6] Καὶ τῷ κριῷ, ὅταν ποιῆτε αὐτὸν εἰς ὁλοκαύτωμα ἢ εἰς θυσίαν, ποιήσεις θυσίαν σεμιδάλεως δύο δέκατα ἀναπεποιημένης ἐν ἐλαίῳ τὸ τρίτον τοῦ ἴν·
[LXX | EL | OT | Numbers | Chapter 15 | Verse 7] Καὶ οἶνον εἰς σπονδὴν τὸ τρίτον τοῦ ἴν προσοίσετε εἰς ὀσμὴν εὐωδίς Κυρίῳ.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 8] Ἐὰν δὲ ποιῆτε ἀπὸ τῶν βοῶν εἰς ὁλοκαύτωσιν ἤ εἰς θυσίαν μεγαλῦναι εὐχὴν, ἢ εἰς σωτήριον Κυρίῳ,
[LXX | EL | OT | Numbers | Chapter 15 | Verse 9] καὶ προσοίσει ἐπὶ τοῦ μόσχου θυσίαν σεμιδάλεως τρία δέκατα ἀναπεποιημένης ἐν ἐλαίῳ ἥμισυ τοῦ ἴν.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 10] Καὶ οἶνον εἰς σπονδὴν τὸ ἥμιου τοῦ ἴν, κάρπωμα ὀσμὴν εὐωδίας Κυρίῳ.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 11] Οὕτω ποιήσεις τῷ μόσχῳ τῷ ἑνὶ, ἢ τῷ κριῷ τῷ ἑνὶ, ἢ τῷ ἀμνῷ τῷ ἑνὶ ἐκ τῶν προβάτων ἢ ἐκ τῶν αἰγῶν·
[LXX | EL | OT | Numbers | Chapter 15 | Verse 12] Κατὰ τὸν ἀριθμὸν ὧν ἐὰν ποιήσντε, οὕτως ποιήσετε τῷ ἑνὶ, κατὰ τὸν ἀριθμὸν αὐτῶν.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 13] Πᾶς ὁ αὐτόχθων ποιήσει οὕτως τοιαῦτα προσενέγκαι καρπώματα εἰς ὀσμὴν εὐωδίας Κυρίῳ.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 14] Ἐὰν δὲ προσήλυτος ἐν ὑμῖν προσγένηται ἐν τῇ γῇ ὑμῶν, ἢ ὂς ἂν γένηται ἐν ὑμῖν ἐν ταῖς γενεαῖς ὑμῶν, καὶ ποιήσει κάρπωμα ὀσμὴν εὐωδίας Κυρίῳ, ὃν τρόπον ποιεῖτε ὑμεῖς, οὕτω ποιήσει ἡ συναγωγὴ Κυρίῳ.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 15] Νόμος εἷς ἔσται ὑμῖν καὶ τοῖς προσηλύτοις τοῖς προσκειμένοις ἐν ὑμῖν, νὀμος αἰώνιος εἰς τὰς γενεὰς ὑμῶν· ὡς ὑμεῖς, καὶ ὁ προσήλυτος ἔσται ἔναντι Κυρίου.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 16] Νόμος εἷς ἔσται καὶ δικαίωμα ἓν ἔσται ὑμῖν καὶ τῷ προσηλύτῳ τῷ προσκειμένῳ ἐν ὑμῖν.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 17] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Numbers | Chapter 15 | Verse 18] λάλησον τοῖς υἱοῖς Ἰσραὴλ, καὶ ἐρεῖς πρὸς αὐτοὺς, ἐν τῷ εἰσπορεύεσθαι ὑμᾶς εἰς τὴν γῆν, εἰς ἣν ἐγὼ εἰσάγω ὑμᾶς ἐκεῖ,
[LXX | EL | OT | Numbers | Chapter 15 | Verse 19] καὶ ἔσται ὅταν ἔσθητε ὑμεῖς ἀπὸ τῶν ἄρτων τῆς γῆς, ἀφελεῖτε ἀφαίρεμα ἀφόρισμα Κυρίῳ, ἀπαρχὴν φυράματον ὑμῶν.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 20] Ἄρτον ἀφοριεῖτε ἀφαίρεμα αὐτό· ὡς ἀφαίρεμα ἀπὸ ἅλω, οὕτως ἀφελεῖτε αὐτὸν,
[LXX | EL | OT | Numbers | Chapter 15 | Verse 21] ἀπαρχὴν φυράματος ὑμῶν, καὶ δώσετε Κυρίῳ ἀφαίρεμα εἰς τὰς γενεὰς ὑμῶν.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 22] Ὅταν δὲ διαμάρτητε καὶ μὴ ποιήσητε πάσας τὰς ἐντολὰς ταύτας, ἅς ἐλάλησε Κύριος πρὸς Μωυσῆν,
[LXX | EL | OT | Numbers | Chapter 15 | Verse 23] καθὰ συνέταξε Κύριος πρὸς ὑμᾶς ἐν χειρὶ Μωυσῆ, ἀπὸ τῆς ἡμέρας ᾗ συνέταξε Κύριος πρὸς ὑμᾶς καὶ ἐπέκεινα εἰς τὰς γενεὰς ὑμῶν,
[LXX | EL | OT | Numbers | Chapter 15 | Verse 24] καὶ ἔσται ἐὰν ἐξ ὀφθαλμῶν τῆς συναγωγῆς γενηθῇ ἀκουσίως, καὶ ποιήσει πᾶσα ἡ συναγωγὴ μόσχον ἕνα ἐκ βοῶν ἄμωμον εἰς ὁλοκαύτωμα εἰς ὀσμὴν εὐωδίας Κυρίῳ, καὶ θυσίαν τούτου καὶ σπονδὴν αὐτοῦ κατὰ τὴν σύνταξιν, καὶ χίμαρον ἐξ αἰγῶν ἕνα περὶ ἁμαρτίας.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 25] Καὶ ἐξιλάσεται ὁ ἱερεὺς περὶ πάσης συναγωγῆς υἱῶν Ἰσραὴλ, καὶ ἀφεθήσεται αὐτοῖς, ὅτι ἀκούσιόν ἐστι· καὶ αὐτοὶ ἤνεγκαν τὸ δῶρον αὐτῶν κάρπωμα Κυρίῳ περὶ τῆς ἁμαρτίας αὐτῶν ἔνατι Κυρίου, περὶ τῶν ἀκουσίων αὐτῶν.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 26] Καὶ ἀφεθήσεται κατὰ πᾶσαν συναγωγην υἱῶν Ἰσραὴλ, καὶ τῷ προσηλύτῳ τῷ προσκειμένῳ πρὸς ὑμᾶς, ὅτι παντὶ τῷ λαῷ ἀκούσιον.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 27] Ἐάν τε ψυχὴ μία ἁμάρτῃ ἀκουσίως, προσάξει αἶγα μίαν ἐνιαυσίαν περὶ ἁμαρτίας.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 28] Καὶ ἐξιλάσεται ὁ ἱερεὺς περὶ τῆς ψυχῆς τῆς ἀκουσιασθείσης, καὶ ἁμαρτούσης ἀκουσίως ἔναντι Κυρίου, ἐξιλάσασθαι περὶ αὐτοῦ.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 29] Τῷ ἐγχωρίῳ ἐν υἱοῖς Ἰσραὴλ, καὶ τῷ προσηλύτῳ τῷ προσκειμένῳ ἐν αὐτοῖς νόμος εἷς ἔσται αὐτοῖς, ὃς ἐὰν ποιήσῃ ἀκουσίως.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 30] Καὶ ψυχὴ ἥτις ποιήσῃ ἐν χειρὶ ὑπερηφανίας ἀπὸ τῶν αὐτοχθόνων ἢ ἀπὸ τῶν προσηλύτων, τὸν Θεὸν οὗτος παροξυνεῖ, ἐξόλοθρευθήσεται ἡ ψυχὴ ἐκείνη ἐκ τοῦ λαοῦ αὐτῆς,
[LXX | EL | OT | Numbers | Chapter 15 | Verse 31] ὅτι τὸ ῥῆμα Κυρίου ἐφαύλισε, καὶ τὰς ἐντολὰς αὐτοῦ διεσκέδασεν· ἐκτρίψει ἐκτριβήσεται ἡ ψυχὴ ἐκείνη, ἡ ἁμαρτία αὐτῆς ἐν αὐτῇ.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 32] Καὶ ἦσαν οἱ υἱοὶ Ἰσραὴλ ἑν τῇ ἐρήμῳ, καὶ εὗρον ἄνδρα συλλέγοντα ξύλα τῇ ἡμέρᾳ τῶν σαββάτων.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 33] Καὶ προσήγαγον αὐτὸν οἱ εὐρόντες συλλέγοντα ξύλα τῇ ἡμέρᾳ τῶν σαββάτων πρὸς Μωυσῆν καὶ Ἀαρὼν, καὶ πρὸς πᾶσαν συναγωγὴν υἱῶν Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 34] Καὶ ἀπέθεντο αὐτὸν εἰς φυλακὴν, οὐ γὰρ συνέκριναν τί ποιήσωσιν αὐτόν.
[LXX | EL | OT | Numbers | Chapter 15 | Verse 35] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων, θανάτῳ θανατούσθω ὁ ἄνθρωπος· λιθοβολήσατε αὐτὸν λίθοις πᾶσα ἡ συναγωγή.
