[LXX | EL | OT | Numbers | Chapter 32 | Verse 1] Καὶ κτήνη πλῆθος ἦν τοῖς υἱοῖς Ῥουβὴν καὶ τοῖς υἱοῖς Γὰδ, πλῆθος σφόδρα· καὶ εἶδον τὴν χώραν Ἰαζὴρ, καὶ τὴν χώραν Γαλαάδ· καὶ ἦν ὁ τόπος, τόπος κτήνεσι·
[LXX | EL | OT | Numbers | Chapter 32 | Verse 2] Καὶ προσελθόντες οἱ υἱοὶ Ῥουβὴν καὶ οἱ υἱοὶ Γὰδ, εἶπαν πρὸς Μωυσῆν καὶ πρὸς Ἐλεάζαρ τὸν ἱερέα καὶ πρὸς τοὺς ἄρχοντας τῆς συναγωγῆς, λέγοντες,
[LXX | EL | OT | Numbers | Chapter 32 | Verse 3] Ἀταρὼθ, καὶ Δαιβὼν, καὶ Ἰαζὴρ, καὶ Ναμρὰ, καὶ Ἐσεβὼν, καὶ Ἐλεαλὴ, καὶ Σεβαμὰ, καὶ Ναβαὺ, καὶ Βαιάν,
[LXX | EL | OT | Numbers | Chapter 32 | Verse 4] τὴν γῆν ἣν παραδέδωκε Κύριος ἐνώπιον τῶν υἱῶν Ἰσραήλ, γῆ κτηνοτρόφος ἐστὶ, καὶ τοῖς παισί σου κτήνη ὑπάρχει.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 5] Καὶ ἔλεγον, εἰ εὕρομεν χάριν ἐνώπιόν σου, δοθήτω ἡ γῆ αὕτη τοῖς οἰκέταις σου ἐν κατασχέσει, καὶ μὴ διαβιβάσῃς ἡμᾶς τὸν Ἰορδάνην.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 6] Καὶ εἶπε Μωυσῆς τοῖς υἱοῖς Γὰδ καὶ τοῖς υἱοῖς Ῥουβὴν, οἱ ἀδελφοὶ ὑμῶν πορεύονται εἰς τὸν πόλεμον, καὶ ὑμεῖς καθήσεσθε αὐτοῦ;
[LXX | EL | OT | Numbers | Chapter 32 | Verse 7] Καὶ ἱνατί διαστρέφετε τὰς διανοίας τῶν υἱῶν Ἰσραὴλ μὴ διαβῆναι εἰς τὴν γῆν, ἣν Κύριος δίδωσιν αὐτοῖς;
[LXX | EL | OT | Numbers | Chapter 32 | Verse 8] Οὐχ οὕτως ἐποίησαν οἱ πατέρες ὑμῶν, ὅτε ἀπέστειλα αὐτοὺς ἐκ Κάδης Βαρνὴ κατανοῆσαι τὴν γῆν;
[LXX | EL | OT | Numbers | Chapter 32 | Verse 9] καὶ ἀνέβησαν φάραγγα βότρυος, καὶ κατενόησαν τὴν γῆν, καὶ ἀπέστησαν τὴν καρδίαν τῶν υἱῶν Ἰσραὴλ, ὅπως μὴ εἰσέλθωσιν εἰς τὴν γῆν, ἣν ἔδωκε Κύριος αὐτοῖς.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 10] Καὶ ὠργίσθη θυμῷ Κύριος ἐν τῇ ἡμέρᾳ ἐκείνῃ, καὶ ὤμοσε, λέγων,
[LXX | EL | OT | Numbers | Chapter 32 | Verse 11] εἰ ὄψονται οἱ ἄνθρωποι οὗτοι οἱ ἀναβάντες ἐξ Αἰγύπτου ἀπὸ εἰκοσαετοῦς καὶ ἐπάνω, οἱ ἐπιστάμενοι τὸ ἀγαθὸν καὶ τὸ κακὸν, τὴν γῆν ἣν ὤμοσα τῷ Ἁβραὰμ καὶ Ἰσαὰκ καὶ Ἰακὼβ, οὐ γὰρ συνεπηκολούθησαν ὀπίσω μου·
[LXX | EL | OT | Numbers | Chapter 32 | Verse 12] πλὴν Χάλεβ υἱὸς Ἰεφοννὴ ὁ διακεχωρισμένος, καὶ Ἰησοῦς ὁ τοῦ Ναυὴ, ὅτι συνεπηκολούθησεν ὀπίσω Κυρίου.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 13] Καὶ ὠργίσθη θυμῷ Κύριος ἐπὶ τὸν Ἰσραήλ, καὶ κατερόμβευσεν αὐτοὺς ἐν τῇ ἐρήμῳ τεσσεράκοντα ἔτη, ἕως ἐξανηλώθη πᾶσα ἡ γενεὰ, οἱ ποιοῦντες τὰ πονηρὰ ἔναντι Κυρίου.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 14] Ἰδοὺ ἀνέστητε ἀντὶ τῶν πατέρων ὑμῶν, σύντριμμα ἀνθρώπων ἁμαρτωλῶν, προσθεῖναι ἔτι ἐπὶ τὸν θυμὸν τῆς ὀργῆς Κυρίου ἐπὶ Ἰσραήλ.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 15] Ὅτι ἀποστραφήσεσθε ἀπʼ αὐτοῦ προσθεῖναι ἔτι καταλιπεῖν αὐτὸν ἐν τῇ ἐρήμῳ, καὶ ἀνομήσετε εἰς ὅλην τὴν συναγωγὴν ταύτην.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 16] Καὶ προσῆλθον αὐτῷ, καὶ ἔλεγον, ἐπαύλεις προβάτων οἰκοδομήσομεν ὧδε τοῖς κτήνεσιν ἡμῶν, καὶ πόλεις ταῖς ἀποσκευαῖς ἡμῶν.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 17] Καὶ ἡμεῖς ἐνοπλισάμενοι προφυλακὴν πρότεροι τῶν υἱῶν Ἰσραὴλ, ἕως ἂν ἀγάγωμεν αὐτοὺς εἰς τὸν ἑαυτῶν τόπον· καὶ κατοικήσει ἡ ἀποσκευὴ ἡμῶν ἐν πόλεσι τετειχισμέναις διὰ τοὺς κατοικοῦντας τὴν γῆν.
[LXX | EL | OT | Numbers | Chapter 32 | Verse 18] Οὐ μὴ ἀποστραφῶμεν εἰς τὰς οἰκίας ἡμῶν ἕως ἂν καταμερισθῶσιν οἱ υἱοὶ Ἰσραὴλ, ἕκαστος εἰς τὴν κληρονομίαν αὐτοῦ.
