[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 1] Τότε προσέρχονται τῷ ⸀Ἰησοῦ ἀπὸ Ἱεροσολύμων ⸂Φαρισαῖοι καὶ γραμματεῖς⸃ λέγοντες
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 2] Διὰ τί οἱ μαθηταί σου παραβαίνουσιν τὴν παράδοσιν τῶν πρεσβυτέρων; οὐ γὰρ νίπτονται τὰς χεῖρας ⸀αὐτῶν ὅταν ἄρτον ἐσθίωσιν.
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 3] ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· Διὰ τί καὶ ὑμεῖς παραβαίνετε τὴν ἐντολὴν τοῦ θεοῦ διὰ τὴν παράδοσιν ὑμῶν;
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 4] ὁ γὰρ θεὸς ⸀εἶπεν· Τίμα τὸν πατέρα καὶ τὴν μητέρα, καί· Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω·
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 5] ὑμεῖς δὲ λέγετε· Ὃς ἂν εἴπῃ τῷ πατρὶ ἢ τῇ μητρί· Δῶρον ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς,
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 6] ⸀οὐ μὴ ⸀τιμήσει τὸν πατέρα ⸀αὐτοῦ· καὶ ἠκυρώσατε ⸂τὸν λόγον⸃ τοῦ θεοῦ διὰ τὴν παράδοσιν ὑμῶν.
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 7] ὑποκριταί, καλῶς ἐπροφήτευσεν περὶ ὑμῶν Ἠσαΐας λέγων·
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 8] ⸂Ὁ λαὸς οὗτος⸃ τοῖς χείλεσίν με τιμᾷ, ἡ δὲ καρδία αὐτῶν πόρρω ἀπέχει ἀπʼ ἐμοῦ·
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 9] μάτην δὲ σέβονταί με, διδάσκοντες διδασκαλίας ἐντάλματα ἀνθρώπων.
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 10] Καὶ προσκαλεσάμενος τὸν ὄχλον εἶπεν αὐτοῖς· Ἀκούετε καὶ συνίετε·
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 11] οὐ τὸ εἰσερχόμενον εἰς τὸ στόμα κοινοῖ τὸν ἄνθρωπον, ἀλλὰ τὸ ἐκπορευόμενον ἐκ τοῦ στόματος τοῦτο κοινοῖ τὸν ἄνθρωπον.
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 12] Τότε προσελθόντες οἱ ⸀μαθηταὶ ⸀λέγουσιν αὐτῷ· Οἶδας ὅτι οἱ Φαρισαῖοι ἀκούσαντες τὸν λόγον ἐσκανδαλίσθησαν;
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 13] ὁ δὲ ἀποκριθεὶς εἶπεν· Πᾶσα φυτεία ἣν οὐκ ἐφύτευσεν ὁ πατήρ μου ὁ οὐράνιος ἐκριζωθήσεται.
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 14] ἄφετε αὐτούς· ⸂τυφλοί εἰσιν ὁδηγοὶ τυφλῶν⸃· τυφλὸς δὲ τυφλὸν ἐὰν ὁδηγῇ, ἀμφότεροι εἰς βόθυνον πεσοῦνται.
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 15] Ἀποκριθεὶς δὲ ὁ Πέτρος εἶπεν αὐτῷ· Φράσον ἡμῖν τὴν παραβολὴν ⸀ταύτην.
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 16] ὁ ⸀δὲ εἶπεν· Ἀκμὴν καὶ ὑμεῖς ἀσύνετοί ἐστε;
[SBLGNT | EL | NT | Matthew | Chapter 15 | Verse 17] ⸀οὐ νοεῖτε ὅτι πᾶν τὸ εἰσπορευόμενον εἰς τὸ στόμα εἰς τὴν κοιλίαν χωρεῖ καὶ εἰς ἀφεδρῶνα ἐκβάλλεται;
