[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 1] Πρωΐας δὲ γενομένης συμβούλιον ἔλαβον πάντες οἱ ἀρχιερεῖς καὶ οἱ πρεσβύτεροι τοῦ λαοῦ κατὰ τοῦ Ἰησοῦ ὥστε θανατῶσαι αὐτόν·
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 2] καὶ δήσαντες αὐτὸν ἀπήγαγον καὶ ⸀παρέδωκαν Πιλάτῳ τῷ ἡγεμόνι.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 3] Τότε ἰδὼν Ἰούδας ὁ ⸀παραδιδοὺς αὐτὸν ὅτι κατεκρίθη μεταμεληθεὶς ⸀ἔστρεψεν τὰ τριάκοντα ἀργύρια τοῖς ἀρχιερεῦσιν ⸀καὶ πρεσβυτέροις
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 4] λέγων· Ἥμαρτον παραδοὺς αἷμα ⸀ἀθῷον. οἱ δὲ εἶπαν· Τί πρὸς ἡμᾶς; σὺ ⸀ὄψῃ.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 5] καὶ ῥίψας τὰ ἀργύρια ⸂εἰς τὸν ναὸν⸃ ἀνεχώρησεν, καὶ ἀπελθὼν ἀπήγξατο.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 6] οἱ δὲ ἀρχιερεῖς λαβόντες τὰ ἀργύρια εἶπαν· Οὐκ ἔξεστιν βαλεῖν αὐτὰ εἰς τὸν κορβανᾶν, ἐπεὶ τιμὴ αἵματός ἐστιν·
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 7] συμβούλιον δὲ λαβόντες ἠγόρασαν ἐξ αὐτῶν τὸν Ἀγρὸν τοῦ Κεραμέως εἰς ταφὴν τοῖς ξένοις.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 8] διὸ ἐκλήθη ὁ ἀγρὸς ἐκεῖνος Ἀγρὸς Αἵματος ἕως τῆς σήμερον.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 9] τότε ἐπληρώθη τὸ ῥηθὲν διὰ Ἰερεμίου τοῦ προφήτου λέγοντος· Καὶ ἔλαβον τὰ τριάκοντα ἀργύρια, τὴν τιμὴν τοῦ τετιμημένου ὃν ἐτιμήσαντο ἀπὸ υἱῶν Ἰσραήλ,
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 10] καὶ ἔδωκαν αὐτὰ εἰς τὸν ἀγρὸν τοῦ κεραμέως, καθὰ συνέταξέν μοι κύριος.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 11] Ὁ δὲ Ἰησοῦς ⸀ἐστάθη ἔμπροσθεν τοῦ ἡγεμόνος· καὶ ἐπηρώτησεν αὐτὸν ὁ ἡγεμὼν λέγων· Σὺ εἶ ὁ βασιλεὺς τῶν Ἰουδαίων; ὁ δὲ Ἰησοῦς ⸀ἔφη· Σὺ λέγεις.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 12] καὶ ἐν τῷ κατηγορεῖσθαι αὐτὸν ὑπὸ τῶν ἀρχιερέων ⸀καὶ πρεσβυτέρων οὐδὲν ἀπεκρίνατο.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 13] τότε λέγει αὐτῷ ὁ Πιλᾶτος· Οὐκ ἀκούεις πόσα σου καταμαρτυροῦσιν;
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 14] καὶ οὐκ ἀπεκρίθη αὐτῷ πρὸς οὐδὲ ἓν ῥῆμα, ὥστε θαυμάζειν τὸν ἡγεμόνα λίαν.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 15] Κατὰ δὲ ἑορτὴν εἰώθει ὁ ἡγεμὼν ἀπολύειν ἕνα τῷ ὄχλῳ δέσμιον ὃν ἤθελον.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 16] εἶχον δὲ τότε δέσμιον ἐπίσημον λεγόμενον ⸀Ἰησοῦν Βαραββᾶν.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 17] συνηγμένων οὖν αὐτῶν εἶπεν αὐτοῖς ὁ Πιλᾶτος· Τίνα θέλετε ἀπολύσω ὑμῖν, ⸂Ἰησοῦν τὸν⸃ Βαραββᾶν ἢ Ἰησοῦν τὸν λεγόμενον χριστόν;
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 18] ᾔδει γὰρ ὅτι διὰ φθόνον παρέδωκαν αὐτόν.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 19] Καθημένου δὲ αὐτοῦ ἐπὶ τοῦ βήματος ἀπέστειλεν πρὸς αὐτὸν ἡ γυνὴ αὐτοῦ λέγουσα· Μηδὲν σοὶ καὶ τῷ δικαίῳ ἐκείνῳ, πολλὰ γὰρ ἔπαθον σήμερον κατʼ ὄναρ διʼ αὐτόν.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 20] Οἱ δὲ ἀρχιερεῖς καὶ οἱ πρεσβύτεροι ἔπεισαν τοὺς ὄχλους ἵνα αἰτήσωνται τὸν Βαραββᾶν τὸν δὲ Ἰησοῦν ἀπολέσωσιν.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 21] ἀποκριθεὶς δὲ ὁ ἡγεμὼν εἶπεν αὐτοῖς· Τίνα θέλετε ἀπὸ τῶν δύο ἀπολύσω ὑμῖν; οἱ δὲ εἶπαν· ⸀Τὸν Βαραββᾶν.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 22] λέγει αὐτοῖς ὁ Πιλᾶτος· Τί οὖν ποιήσω Ἰησοῦν τὸν λεγόμενον χριστόν; ⸀λέγουσιν πάντες· Σταυρωθήτω.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 23] ὁ ⸀δὲ ἔφη· Τί γὰρ κακὸν ἐποίησεν; οἱ δὲ περισσῶς ἔκραζον λέγοντες· Σταυρωθήτω.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 24] Ἰδὼν δὲ ὁ Πιλᾶτος ὅτι οὐδὲν ὠφελεῖ ἀλλὰ μᾶλλον θόρυβος γίνεται λαβὼν ὕδωρ ἀπενίψατο τὰς χεῖρας ⸀ἀπέναντι τοῦ ὄχλου λέγων· Ἀθῷός εἰμι ἀπὸ τοῦ ⸀αἵματος τούτου· ὑμεῖς ὄψεσθε.
[SBLGNT | EL | NT | Matthew | Chapter 27 | Verse 25] καὶ ἀποκριθεὶς πᾶς ὁ λαὸς εἶπεν· Τὸ αἷμα αὐτοῦ ἐφʼ ἡμᾶς καὶ ἐπὶ τὰ τέκνα ἡμῶν.
