[SBLGNT | EL | NT | Matthew | Chapter 22 | Verse 1] Καὶ ἀποκριθεὶς ὁ Ἰησοῦς πάλιν εἶπεν ⸂ἐν παραβολαῖς αὐτοῖς⸃ λέγων·
[SBLGNT | EL | NT | Matthew | Chapter 22 | Verse 2] Ὡμοιώθη ἡ βασιλεία τῶν οὐρανῶν ἀνθρώπῳ βασιλεῖ, ὅστις ἐποίησεν γάμους τῷ υἱῷ αὐτοῦ.
[SBLGNT | EL | NT | Matthew | Chapter 22 | Verse 3] καὶ ἀπέστειλεν τοὺς δούλους αὐτοῦ καλέσαι τοὺς κεκλημένους εἰς τοὺς γάμους, καὶ οὐκ ἤθελον ἐλθεῖν.
[SBLGNT | EL | NT | Matthew | Chapter 22 | Verse 4] πάλιν ἀπέστειλεν ἄλλους δούλους λέγων· Εἴπατε τοῖς κεκλημένοις· Ἰδοὺ τὸ ἄριστόν μου ⸀ἡτοίμακα, οἱ ταῦροί μου καὶ τὰ σιτιστὰ τεθυμένα, καὶ πάντα ἕτοιμα· δεῦτε εἰς τοὺς γάμους.
[SBLGNT | EL | NT | Matthew | Chapter 22 | Verse 5] οἱ δὲ ἀμελήσαντες ἀπῆλθον, ⸀ὃς μὲν εἰς τὸν ἴδιον ἀγρόν, ⸁ὃς δὲ ⸀ἐπὶ τὴν ἐμπορίαν αὐτοῦ·
[SBLGNT | EL | NT | Matthew | Chapter 22 | Verse 6] οἱ δὲ λοιποὶ κρατήσαντες τοὺς δούλους αὐτοῦ ὕβρισαν καὶ ἀπέκτειναν.
[SBLGNT | EL | NT | Matthew | Chapter 22 | Verse 7] ⸂ὁ δὲ βασιλεὺς⸃ ὠργίσθη, καὶ πέμψας τὰ στρατεύματα αὐτοῦ ἀπώλεσεν τοὺς φονεῖς ἐκείνους καὶ τὴν πόλιν αὐτῶν ἐνέπρησεν.
[SBLGNT | EL | NT | Matthew | Chapter 22 | Verse 8] τότε λέγει τοῖς δούλοις αὐτοῦ· Ὁ μὲν γάμος ἕτοιμός ἐστιν, οἱ δὲ κεκλημένοι οὐκ ἦσαν ἄξιοι·
[SBLGNT | EL | NT | Matthew | Chapter 22 | Verse 9] πορεύεσθε οὖν ἐπὶ τὰς διεξόδους τῶν ὁδῶν, καὶ ὅσους ⸀ἐὰν εὕρητε καλέσατε εἰς τοὺς γάμους.
[SBLGNT | EL | NT | Matthew | Chapter 22 | Verse 10] καὶ ἐξελθόντες οἱ δοῦλοι ἐκεῖνοι εἰς τὰς ὁδοὺς συνήγαγον πάντας ⸀οὓς εὗρον, πονηρούς τε καὶ ἀγαθούς· καὶ ἐπλήσθη ὁ ⸀γάμος ἀνακειμένων.
[SBLGNT | EL | NT | Matthew | Chapter 22 | Verse 11] εἰσελθὼν δὲ ὁ βασιλεὺς θεάσασθαι τοὺς ἀνακειμένους εἶδεν ἐκεῖ ἄνθρωπον οὐκ ἐνδεδυμένον ἔνδυμα γάμου·
