[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 1] I testify before God and Christ Jesus, who is about to judge living and dead, and by his appearing and his kingdom,
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 2] proclaim the word; be urgent in season [and] out of season, convict, rebuke, encourage, with all longsuffering and doctrine.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 3] For the time shall be when they will not bear sound teaching; but according to their own lusts will heap up to themselves teachers, having an itching ear;
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 4] and they will turn away their ear from the truth, and will have turned aside to fables.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 5] But thou, be sober in all things, bear evils, do [the] work of an evangelist, fill up the full measure of thy ministry.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 6] For I am already being poured out, and the time of my release is come.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 7] I have combated the good combat, I have finished the race, I have kept the faith.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 8] Henceforth the crown of righteousness is laid up for me, which the Lord, the righteous Judge, will render to me in that day; but not only to me, but also to all who love his appearing.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 9] Use diligence to come to me quickly;
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 10] for Demas has forsaken me, having loved the present age, and is gone to Thessalonica; Crescens to Galatia, Titus to Dalmatia.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 11] Luke alone is with me. Take Mark, and bring [him] with thyself, for he is serviceable to me for ministry.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 12] But Tychicus I have sent to Ephesus.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 13] The cloak which I left behind [me] in Troas at Carpus's, bring when thou comest, and the books, especially the parchments.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 14] Alexander the smith did many evil things against me. The Lord will render to him according to his works.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 15] Against whom be thou also on thy guard, for he has greatly withstood our words.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 16] At my first defence no man stood with me, but all deserted me. May it not be imputed to them.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 17] But the Lord stood with [me], and gave me power, that through me the proclamation might be fully made, and all [those of] the nations should hear; and I was delivered out of the lion's mouth.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 18] The Lord shall deliver me from every wicked work, and shall preserve [me] for his heavenly kingdom; to whom [be] glory for the ages of ages. Amen.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 19] Salute Prisca and Aquila, and the house of Onesiphorus.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 20] Erastus remained in Corinth, but Trophimus I left behind in Miletus sick.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 21] Use diligence to come before winter. Eubulus salutes thee, and Pudens, and Linus, and Claudia, and the brethren all.
[DARBY | EN | NT | 2 Timothy | Chapter 4 | Verse 22] The Lord Jesus Christ [be] with your spirit. Grace [be] with you.
