[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 1] But this know, that in [the] last days difficult times shall be there;
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 2] for men shall be lovers of self, lovers of money, boastful, arrogant, evil speakers, disobedient to parents, ungrateful, profane,
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 3] without natural affection, implacable, slanderers, of unsubdued passions, savage, having no love for what is good,
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 4] traitors, headlong, of vain pretensions, lovers of pleasure rather than lovers of God;
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 5] having a form of piety but denying the power of it: and from these turn away.
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 6] For of these are they who are getting into houses, and leading captive silly women, laden with sins, led by various lusts,
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 7] always learning, and never able to come to [the] knowledge of [the] truth.
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 8] Now in the same manner in which Jannes and Jambres withstood Moses, thus these also withstand the truth; men corrupted in mind, found worthless as regards the faith.
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 9] But they shall not advance farther; for their folly shall be completely manifest to all, as that of those also became.
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 10] But thou hast been thoroughly acquainted with my teaching, conduct, purpose, faith, longsuffering, love, endurance,
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 11] persecutions, sufferings: what [sufferings] happened to me in Antioch, in Iconium, in Lystra; what persecutions I endured; and the Lord delivered me out of all.
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 12] And all indeed who desire to live piously in Christ Jesus will be persecuted.
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 13] But wicked men and juggling impostors shall advance in evil, leading and being led astray.
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 14] But thou, abide in those things which thou hast learned, and [of which] thou hast been fully persuaded, knowing of whom thou hast learned [them];
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 15] and that from a child thou hast known the sacred letters, which are able to make thee wise unto salvation, through faith which [is] in Christ Jesus.
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 16] Every scripture [is] divinely inspired, and profitable for teaching, for conviction, for correction, for instruction in righteousness;
[DARBY | EN | NT | 2 Timothy | Chapter 3 | Verse 17] that the man of God may be complete, fully fitted to every good work.
