[GRCGTR | EL | NT | Mark | Chapter 4 | Verse 1] Καὶ πάλιν ἤρξατο διδάσκειν παρὰ τὴν θάλασσαν. Καὶ συνήχθη πρὸς αὐτὸν ὄχλος πολύς, ὥστε αὐτὸν ἐμβάντα εἰς τὸ πλοῖον καθῆσθαι ἐν τῇ θαλάσσῃ· καὶ πᾶς ὁ ὄχλος πρὸς τὴν θάλασσαν ἐπὶ τῆς γῆς ἦν.
[GRCGTR | EL | NT | Mark | Chapter 4 | Verse 2] Καὶ ἐδίδασκεν αὐτοὺς ἐν παραβολαῖς πολλά, καὶ ἔλεγεν αὐτοῖς ἐν τῇ διδαχῇ αὐτοῦ,
[GRCGTR | EL | NT | Mark | Chapter 4 | Verse 3] Ἀκούετε· ἰδού, ἐξῆλθεν ὁ σπείρων τοῦ σπεῖραι.
[GRCGTR | EL | NT | Mark | Chapter 4 | Verse 4] Καὶ ἐγένετο ἐν τῷ σπείρειν, ὃ μὲν ἔπεσε παρὰ τὴν ὁδόν, καὶ ἦλθε τὰ πετεινὰ τοῦ οὐρανοῦ καὶ κατέφαγεν αὐτό.
[GRCGTR | EL | NT | Mark | Chapter 4 | Verse 5] Ἄλλο δὲ ἔπεσεν ἐπὶ τὸ πετρῶδες, ὅπου οὐκ εἶχε γῆν πολλήν· καὶ εὐθέως ἐξανέτειλε, διὰ τὸ μὴ ἔχειν βάθος γῆς·
[GRCGTR | EL | NT | Mark | Chapter 4 | Verse 6] ἡλίου δὲ ἀνατείλαντος ἐκαυματίσθη, καὶ διὰ τὸ μὴ ἔχειν ῥίζαν ἐξηράνθη.
[GRCGTR | EL | NT | Mark | Chapter 4 | Verse 7] Καὶ ἄλλο ἔπεσεν εἰς τὰς ἀκάνθας, καὶ ἀνέβησαν αἱ ἄκανθαι, καὶ συνέπνιξαν αὐτό, καὶ καρπὸν οὐκ ἔδωκε.
[GRCGTR | EL | NT | Mark | Chapter 4 | Verse 8] Καὶ ἄλλο ἔπεσεν εἰς τὴν γῆν τὴν καλήν· καὶ ἐδίδου καρπὸν ἀναβαίνοντα καὶ αὐξάνοντα, καὶ ἔφερεν ἐν τριάκοντα, καὶ ἐν ἑξήκοντα, καὶ ἐν ἑκατόν.
[GRCGTR | EL | NT | Mark | Chapter 4 | Verse 9] Καὶ ἔλεγεν αὐτοῖς, Ὁ ἔχων ὦτα ἀκούειν ἀκουέτω.
[GRCGTR | EL | NT | Mark | Chapter 4 | Verse 10] Ὅτε δὲ ἐγένετο καταμόνας, ἠρώτησαν αὐτὸν οἱ περὶ αὐτὸν σὺν τοῖς δώδεκα τὴν παραβολήν.
[GRCGTR | EL | NT | Mark | Chapter 4 | Verse 11] Καὶ ἔλεγεν αὐτοῖς, Ὑμῖν δέδοται γνῶναι τὸ μυστήριον τῆς βασιλείας τοῦ Θεοῦ· ἐκείνοις δὲ τοῖς ἔξω, ἐν παραβολαῖς τὰ πάντα γίνεται·
