[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 1] Καὶ συνάγονται πρὸς αὐτὸν οἱ Φαρισαῖοι, καί τινες τῶν γραμματέων, ἐλθόντες ἀπὸ Ἱεροσολύμων·
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 2] καὶ ἰδόντες τινὰς τῶν μαθητῶν αὐτοῦ κοιναῖς χερσί, τοῦτ᾿ ἔστιν ἀνίπτοις, ἐσθίοντας ἄρτους ἐμέμψαντο.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 3] Οἱ γὰρ Φαρισαῖοι καὶ πάντες οἱ Ἰουδαῖοι, ἐὰν μὴ πυγμῇ νίψωνται τὰς χεῖρας, οὐκ ἐσθίουσι, κρατοῦντες τὴν παράδοσιν τῶν πρεσβυτέρων·
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 4] καὶ ἀπὸ ἀγορᾶς, ἐὰν μὴ βαπτίσωνται, οὐκ ἐσθίουσι· καὶ ἄλλα πολλά ἐστιν ἃ παρέλαβον κρατεῖν, βαπτισμοὺς ποτηρίων καὶ ξεστῶν καὶ χαλκίων καὶ κλινῶν.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 5] Ἔπειτα ἐπερωτῶσιν αὐτὸν οἱ Φαρισαῖοι καὶ οἱ γραμματεῖς, Διὰ τί οἱ μαθηταί σου οὐ περιπατοῦσι κατὰ τὴν παράδοσιν τῶν πρεσβυτέρων, ἀλλὰ ἀνίπτοις χερσὶν ἐσθίουσι τὸν ἄρτον;
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 6] Ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς ὅτι Καλῶς προεφήτευσεν Ἠσαΐας περὶ ὑμῶν τῶν ὑποκριτῶν, ὡς γέγραπται, Οὗτος ὁ λαὸς τοῖς χείλεσί με τιμᾷ, ἡ δὲ καρδία αὐτῶν πόρρω ἀπέχει ἀπ᾿ ἐμοῦ.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 7] Μάτην δὲ σέβονταί με, διδάσκοντες διδασκαλίας ἐντάλματα ἀνθρώπων.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 8] Ἀφέντες γὰρ τὴν ἐντολὴν τοῦ Θεοῦ, κρατεῖτε τὴν παράδοσιν τῶν ἀνθρώπων, βαπτισμοὺς ξεστῶν καὶ ποτηρίων· καὶ ἄλλα παρόμοια τοιαῦτα πολλὰ ποιεῖτε.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 9] Καὶ ἔλεγεν αὐτοῖς, Καλῶς ἀθετεῖτε τὴν ἐντολὴν τοῦ Θεοῦ, ἵνα τὴν παράδοσιν ὑμῶν τηρήσητε.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 10] Μωσῆς γὰρ εἶπε, Τίμα τὸν πατέρα σου καὶ τὴν μητέρα σου· καί, Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω·
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 11] ὑμεῖς δὲ λέγετε, Ἐὰν εἴπῃ ἄνθρωπος τῷ πατρὶ ἢ τῇ μητρί, Κορβᾶν, ὅ ἐστι, δῶρον, ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς·
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 12] καὶ οὐκέτι ἀφίετε αὐτὸν οὐδὲν ποιῆσαι τῷ πατρὶ αὐτοῦ ἢ τῇ μητρὶ αὐτοῦ,
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 13] ἀκυροῦντες τὸν λόγον τοῦ Θεοῦ τῇ παραδόσει ὑμῶν ᾗ παρεδώκατε· καὶ παρόμοια τοιαῦτα πολλὰ ποιεῖτε.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 14] Καὶ προσκαλεσάμενος πάντα τὸν ὄχλον, ἔλεγεν αὐτοῖς, Ἀκούετέ μου πάντες, καὶ συνίετε.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 15] Οὐδέν ἐστιν ἔξωθεν τοῦ ἀνθρώπου εἰσπορευόμενον εἰς αὐτόν, ὃ δύναται αὐτὸν κοινῶσαι· ἀλλὰ τὰ ἐκπορευόμενα ἀπ᾿ αὐτοῦ, ἐκεῖνά ἐστι τὰ κοινοῦντα τὸν ἄνθρωπον.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 16] Εἴ τις ἔχει ὦτα ἀκούειν ἀκουέτω.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 17] Καὶ ὅτε εἰσῆλθεν εἰς οἶκον ἀπὸ τοῦ ὄχλου, ἐπηρώτων αὐτὸν οἱ μαθηταὶ αὐτοῦ περὶ τῆς παραβολῆς.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 18] Καὶ λέγει αὐτοῖς, Οὕτω καὶ ὑμεῖς ἀσύνετοί ἐστε; Οὐ νοεῖτε ὅτι πᾶν τὸ ἔξωθεν εἰσπορευόμενον εἰς τὸν ἄνθρωπον οὐ δύναται αὐτὸν κοινῶσαι,
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 19] ὅτι οὐκ εἰσπορεύεται αὐτοῦ εἰς τὴν καρδίαν, ἀλλ᾿ εἰς τὴν κοιλίαν, καὶ εἰς τὸν ἀφεδρῶνα ἐκπορεύεται, καθαρίζον πάντα τὰ βρώματα.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 20] Ἔλεγε δὲ ὅτι Τὸ ἐκ τοῦ ἀνθρώπου ἐκπορευόμενον, ἐκεῖνο κοινοῖ τὸν ἄνθρωπον.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 21] Ἔσωθεν γάρ, ἐκ τῆς καρδίας τῶν ἀνθρώπων οἱ διαλογισμοὶ οἱ κακοὶ ἐκπορεύονται, μοιχεῖαι, πορνεῖαι, φόνοι,
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 22] κλοπαί, πλεονεξίαι, πονηρίαι, δόλος, ἀσέλγεια, ὀφθαλμὸς πονηρός, βλασφημία, ὑπερηφανία, ἀφροσύνη·
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 23] πάντα ταῦτα τὰ πονηρὰ ἔσωθεν ἐκπορεύεται, καὶ κοινοῖ τὸν ἄνθρωπον.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 24] Καὶ ἐκεῖθεν ἀναστὰς ἀπῆλθεν εἰς τὰ μεθόρια Τύρου καὶ Σιδῶνος. Καὶ εἰσελθὼν εἰς τὴν οἰκίαν, οὐδένα ἤθελε γνῶναι, καὶ οὐκ ἠδυνήθη λαθεῖν.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 25] Ἀκούσασα γὰρ γυνὴ περὶ αὐτοῦ, ἧς εἶχε τὸ θυγάτριον αὐτῆς πνεῦμα ἀκάθαρτον, ἐλθοῦσα προσέπεσε πρὸς τοὺς πόδας αὐτοῦ·
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 26] ἦν δὲ ἡ γυνὴ Ἑλληνίς, Συροφοίνισσα τῷ γένει· καὶ ἠρώτα αὐτὸν ἵνα τὸ δαιμόνιον ἐκβάλλῃ ἐκ τῆς θυγατρὸς αὐτῆς.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 27] Ὁ δὲ Ἰησοῦς εἶπεν αὐτῇ, Ἄφες πρῶτον χορτασθῆναι τὰ τέκνα· οὐ γὰρ καλόν ἐστι λαβεῖν τὸν ἄρτον τῶν τέκνων καὶ βαλεῖν τοῖς κυναρίοις.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 28] Ἡ δὲ ἀπεκρίθη καὶ λέγει αὐτῷ, Ναί, Κύριε· καὶ γὰρ τὰ κυνάρια ὑποκάτω τῆς τραπέζης ἐσθίει ἀπὸ τῶν ψιχίων τῶν παιδίων.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 29] Καὶ εἶπεν αὐτῇ, Διὰ τοῦτον τὸν λόγον ὕπαγε· ἐξελήλυθε τὸ δαιμόνιον ἐκ τῆς θυγατρός σου.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 30] Καὶ ἀπελθοῦσα εἰς τὸν οἶκον αὐτῆς, εὗρε τὸ δαιμόνιον ἐξεληλυθός, καὶ τὴν θυγατέρα βεβλημένην ἐπὶ τῆς κλίνης.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 31] Καὶ πάλιν ἐξελθὼν ἐκ τῶν ὁρίων Τύρου καὶ Σιδῶνος, ἦλθε πρὸς τὴν θάλασσαν τῆς Γαλιλαίας, ἀνὰ μέσον τῶν ὁρίων Δεκαπόλεως.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 32] Καὶ φέρουσιν αὐτῷ κωφὸν μογιλάλον, καὶ παρακαλοῦσιν αὐτὸν ἵνα ἐπιθῇ αὐτῷ τὴν χεῖρα.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 33] Καὶ ἀπολαβόμενος αὐτὸν ἀπὸ τοῦ ὄχλου κατ᾿ ἰδίαν, ἔβαλε τοὺς δακτύλους αὐτοῦ εἰς τὰ ὦτα αὐτοῦ, καὶ πτύσας ἥψατο τῆς γλώσσης αὐτοῦ,
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 34] καὶ ἀναβλέψας εἰς τὸν οὐρανόν, ἐστέναξε, καὶ λέγει αὐτῷ, Ἐφφαθά, ὅ ἐστι, Διανοίχθητι.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 35] Καὶ εὐθέως διηνοίχθησαν αὐτοῦ αἱ ἀκοαί· καὶ ἐλύθη ὁ δεσμὸς τῆς γλώσσης αὐτοῦ, καὶ ἐλάλει ὀρθῶς.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 36] Καὶ διεστείλατο αὐτοῖς ἵνα μηδενὶ εἴπωσιν· ὅσον δὲ αὐτὸς αὐτοῖς διεστέλλετο, μᾶλλον περισσότερον ἐκήρυσσον.
[GRCGTR | EL | NT | Mark | Chapter 7 | Verse 37] Καὶ ὑπερπερισσῶς ἐξεπλήσσοντο, λέγοντες, Καλῶς πάντα πεποίηκε· καὶ τοὺς κωφοὺς ποιεῖ ἀκούειν, καὶ τοὺς ἀλάλους λαλεῖν.
