[KJV | EN | NT | Romans | Chapter 4 | Verse 1] What shall we say then that Abraham our father, as pertaining to the flesh, hath found?
[KJV | EN | NT | Romans | Chapter 4 | Verse 2] For if Abraham were justified by works, he hath whereof to glory; but not before God.
[KJV | EN | NT | Romans | Chapter 4 | Verse 3] For what saith the scripture? Abraham believed God, and it was counted unto him for righteousness.
[KJV | EN | NT | Romans | Chapter 4 | Verse 4] Now to him that worketh is the reward not reckoned of grace, but of debt.
[KJV | EN | NT | Romans | Chapter 4 | Verse 5] But to him that worketh not, but believeth on him that justifieth the ungodly, his faith is counted for righteousness.
[KJV | EN | NT | Romans | Chapter 4 | Verse 6] Even as David also describeth the blessedness of the man, unto whom God imputeth righteousness without works,
[KJV | EN | NT | Romans | Chapter 4 | Verse 7] saying, Blessed are they whose iniquities are forgiven, and whose sins are covered.
[KJV | EN | NT | Romans | Chapter 4 | Verse 8] Blessed is the man to whom the Lord will not impute sin.
[KJV | EN | NT | Romans | Chapter 4 | Verse 9] Cometh this blessedness then upon the circumcision only, or upon the uncircumcision also? for we say that faith was reckoned to Abraham for righteousness.
[KJV | EN | NT | Romans | Chapter 4 | Verse 10] How was it then reckoned? when he was in circumcision, or in uncircumcision? Not in circumcision, but in uncircumcision.
[KJV | EN | NT | Romans | Chapter 4 | Verse 11] And he received the sign of circumcision, a seal of the righteousness of the faith which he had yet being uncircumcised: that he might be the father of all them that believe, though they be not circumcised; that righteousness might be imputed unto them also:
[KJV | EN | NT | Romans | Chapter 4 | Verse 12] and the father of circumcision to them who are not of the circumcision only, but who also walk in the steps of that faith of our father Abraham, which he had being yet uncircumcised.
[KJV | EN | NT | Romans | Chapter 4 | Verse 13] For the promise, that he should be the heir of the world, was not to Abraham, or to his seed, through the law, but through the righteousness of faith.
[KJV | EN | NT | Romans | Chapter 4 | Verse 14] For if they which are of the law be heirs, faith is made void, and the promise made of none effect:
[KJV | EN | NT | Romans | Chapter 4 | Verse 15] because the law worketh wrath: for where no law is, there is no transgression.
[KJV | EN | NT | Romans | Chapter 4 | Verse 16] Therefore it is of faith, that it might be by grace; to the end the promise might be sure to all the seed; not to that only which is of the law, but to that also which is of the faith of Abraham; who is the father of us all,
[KJV | EN | NT | Romans | Chapter 4 | Verse 17] (as it is written, I have made thee a father of many nations,) before him whom he believed, even God, who quickeneth the dead, and calleth those things which be not as though they were.
[KJV | EN | NT | Romans | Chapter 4 | Verse 18] Who against hope believed in hope, that he might become the father of many nations; according to that which was spoken, So shall thy seed be.
[KJV | EN | NT | Romans | Chapter 4 | Verse 19] And being not weak in faith, he considered not his own body now dead, when he was about an hundred year old, neither yet the deadness of Sara’s womb:
[KJV | EN | NT | Romans | Chapter 4 | Verse 20] he staggered not at the promise of God through unbelief; but was strong in faith, giving glory to God;
[KJV | EN | NT | Romans | Chapter 4 | Verse 21] and being fully persuaded that, what he had promised, he was able also to perform.
[KJV | EN | NT | Romans | Chapter 4 | Verse 22] And therefore it was imputed to him for righteousness.
[KJV | EN | NT | Romans | Chapter 4 | Verse 23] Now it was not written for his sake alone, that it was imputed to him;
[KJV | EN | NT | Romans | Chapter 4 | Verse 24] but for us also, to whom it shall be imputed, if we believe on him that raised up Jesus our Lord from the dead;
[KJV | EN | NT | Romans | Chapter 4 | Verse 25] who was delivered for our offences, and was raised again for our justification.
