[KJV | EN | NT | Romans | Chapter 16 | Verse 1] I commend unto you Phebe our sister, which is a servant of the church which is at Cenchrea:
[KJV | EN | NT | Romans | Chapter 16 | Verse 2] that ye receive her in the Lord, as becometh saints, and that ye assist her in whatsoever business she hath need of you: for she hath been a succourer of many, and of myself also.
[KJV | EN | NT | Romans | Chapter 16 | Verse 3] Greet Priscilla and Aquila my helpers in Christ Jesus:
[KJV | EN | NT | Romans | Chapter 16 | Verse 4] who have for my life laid down their own necks: unto whom not only I give thanks, but also all the churches of the Gentiles.
[KJV | EN | NT | Romans | Chapter 16 | Verse 5] Likewise greet the church that is in their house. Salute my wellbeloved Epenetus, who is the firstfruits of Achaia unto Christ.
[KJV | EN | NT | Romans | Chapter 16 | Verse 6] Greet Mary, who bestowed much labour on us.
[KJV | EN | NT | Romans | Chapter 16 | Verse 7] Salute Andronicus and Junia, my kinsmen, and my fellowprisoners, who are of note among the apostles, who also were in Christ before me.
[KJV | EN | NT | Romans | Chapter 16 | Verse 8] Greet Amplias my beloved in the Lord.
[KJV | EN | NT | Romans | Chapter 16 | Verse 9] Salute Urban our helper in Christ, and Stachys my beloved.
[KJV | EN | NT | Romans | Chapter 16 | Verse 10] Salute Apelles approved in Christ. Salute them which are of Aristobulus’ household.
[KJV | EN | NT | Romans | Chapter 16 | Verse 11] Salute Herodion my kinsman. Greet them that be of the household of Narcissus, which are in the Lord.
[KJV | EN | NT | Romans | Chapter 16 | Verse 12] Salute Tryphena and Tryphosa, who labour in the Lord. Salute the beloved Persis, which laboured much in the Lord.
[KJV | EN | NT | Romans | Chapter 16 | Verse 13] Salute Rufus chosen in the Lord, and his mother and mine.
[KJV | EN | NT | Romans | Chapter 16 | Verse 14] Salute Asyncritus, Phlegon, Hermas, Patrobas, Hermes, and the brethren which are with them.
[KJV | EN | NT | Romans | Chapter 16 | Verse 15] Salute Philologus, and Julia, Nereus, and his sister, and Olympas, and all the saints which are with them.
[KJV | EN | NT | Romans | Chapter 16 | Verse 16] Salute one another with a holy kiss. The churches of Christ salute you.
[KJV | EN | NT | Romans | Chapter 16 | Verse 17] Now I beseech you, brethren, mark them which cause divisions and offences contrary to the doctrine which ye have learned; and avoid them.
[KJV | EN | NT | Romans | Chapter 16 | Verse 18] For they that are such serve not our Lord Jesus Christ, but their own belly; and by good words and fair speeches deceive the hearts of the simple.
[KJV | EN | NT | Romans | Chapter 16 | Verse 19] For your obedience is come abroad unto all men. I am glad therefore on your behalf: but yet I would have you wise unto that which is good, and simple concerning evil.
[KJV | EN | NT | Romans | Chapter 16 | Verse 20] And the God of peace shall bruise Satan under your feet shortly. The grace of our Lord Jesus Christ be with you. Amen.
[KJV | EN | NT | Romans | Chapter 16 | Verse 21] Timotheus my workfellow, and Lucius, and Jason, and Sosipater, my kinsmen, salute you.
[KJV | EN | NT | Romans | Chapter 16 | Verse 22] I Tertius, who wrote this epistle, salute you in the Lord.
[KJV | EN | NT | Romans | Chapter 16 | Verse 23] Gaius mine host, and of the whole church, saluteth you. Erastus the chamberlain of the city saluteth you, and Quartus a brother.
[KJV | EN | NT | Romans | Chapter 16 | Verse 24] The grace of our Lord Jesus Christ be with you all. Amen.
[KJV | EN | NT | Romans | Chapter 16 | Verse 25] Now to him that is of power to stablish you according to my gospel, and the preaching of Jesus Christ, according to the revelation of the mystery, which was kept secret since the world began,
[KJV | EN | NT | Romans | Chapter 16 | Verse 26] but now is made manifest, and by the scriptures of the prophets, according to the commandment of the everlasting God, made known to all nations for the obedience of faith:
[KJV | EN | NT | Romans | Chapter 16 | Verse 27] to God only wise, be glory through Jesus Christ for ever. Amen. ¶ Written to the Romans from Corinthus, and sent by Phebe servant of the church at Cenchrea.
