[KJV | EN | NT | Romans | Chapter 5 | Verse 1] Therefore being justified by faith, we have peace with God through our Lord Jesus Christ:
[KJV | EN | NT | Romans | Chapter 5 | Verse 2] by whom also we have access by faith into this grace wherein we stand, and rejoice in hope of the glory of God.
[KJV | EN | NT | Romans | Chapter 5 | Verse 3] And not only so, but we glory in tribulations also: knowing that tribulation worketh patience;
[KJV | EN | NT | Romans | Chapter 5 | Verse 4] and patience, experience; and experience, hope:
[KJV | EN | NT | Romans | Chapter 5 | Verse 5] and hope maketh not ashamed; because the love of God is shed abroad in our hearts by the Holy Ghost which is given unto us.
[KJV | EN | NT | Romans | Chapter 5 | Verse 6] For when we were yet without strength, in due time Christ died for the ungodly.
[KJV | EN | NT | Romans | Chapter 5 | Verse 7] For scarcely for a righteous man will one die: yet peradventure for a good man some would even dare to die.
[KJV | EN | NT | Romans | Chapter 5 | Verse 8] But God commendeth his love toward us, in that, while we were yet sinners, Christ died for us.
[KJV | EN | NT | Romans | Chapter 5 | Verse 9] Much more then, being now justified by his blood, we shall be saved from wrath through him.
[KJV | EN | NT | Romans | Chapter 5 | Verse 10] For if, when we were enemies, we were reconciled to God by the death of his Son, much more, being reconciled, we shall be saved by his life.
[KJV | EN | NT | Romans | Chapter 5 | Verse 11] And not only so, but we also joy in God through our Lord Jesus Christ, by whom we have now received the atonement.
[KJV | EN | NT | Romans | Chapter 5 | Verse 12] Wherefore, as by one man sin entered into the world, and death by sin; and so death passed upon all men, for that all have sinned:
[KJV | EN | NT | Romans | Chapter 5 | Verse 13] for until the law sin was in the world: but sin is not imputed when there is no law.
[KJV | EN | NT | Romans | Chapter 5 | Verse 14] Nevertheless death reigned from Adam to Moses, even over them that had not sinned after the similitude of Adam’s transgression, who is the figure of him that was to come.
[KJV | EN | NT | Romans | Chapter 5 | Verse 15] But not as the offence, so also is the free gift. For if through the offence of one many be dead, much more the grace of God, and the gift by grace, which is by one man, Jesus Christ, hath abounded unto many.
[KJV | EN | NT | Romans | Chapter 5 | Verse 16] And not as it was by one that sinned, so is the gift: for the judgment was by one to condemnation, but the free gift is of many offences unto justification.
[KJV | EN | NT | Romans | Chapter 5 | Verse 17] For if by one man’s offence death reigned by one; much more they which receive abundance of grace and of the gift of righteousness shall reign in life by one, Jesus Christ.
[KJV | EN | NT | Romans | Chapter 5 | Verse 18] Therefore as by the offence of one judgment came upon all men to condemnation; even so by the righteousness of one the free gift came upon all men unto justification of life.
[KJV | EN | NT | Romans | Chapter 5 | Verse 19] For as by one man’s disobedience many were made sinners, so by the obedience of one shall many be made righteous.
[KJV | EN | NT | Romans | Chapter 5 | Verse 20] Moreover the law entered, that the offence might abound. But where sin abounded, grace did much more abound:
[KJV | EN | NT | Romans | Chapter 5 | Verse 21] that as sin hath reigned unto death, even so might grace reign through righteousness unto eternal life by Jesus Christ our Lord.
