[IRV | PA | NT | Matthew | Chapter 27 | Verse 1] ਜਦ ਸਵੇਰ ਹੋਈ ਤਾਂ ਸਾਰੇ ਮੁੱਖ ਜਾਜਕਾਂ ਅਤੇ ਲੋਕਾਂ ਦੇ ਬਜ਼ੁਰਗਾਂ ਨੇ ਯਿਸੂ ਦੇ ਵਿਰੁੱਧ ਯੋਜਨਾਂ ਬਣਾਈ ਜੋ ਉਹ ਨੂੰ ਜਾਨੋਂ ਮਾਰ ਸੁੱਟਣ।
[IRV | PA | NT | Matthew | Chapter 27 | Verse 2] ਅਤੇ ਉਹ ਨੂੰ ਬੰਨ੍ਹ ਕੇ ਲੈ ਗਏ ਅਤੇ ਪਿਲਾਤੁਸ ਹਾਕਮ ਦੇ ਹਵਾਲੇ ਕੀਤਾ।
[IRV | PA | NT | Matthew | Chapter 27 | Verse 3] ਤਦ ਯਹੂਦਾ ਜਿਸ ਨੇ ਉਸ ਨੂੰ ਫੜ੍ਹਵਾਇਆ ਸੀ, ਜਦੋਂ ਉਹ ਨੇ ਇਹ ਵੇਖਿਆ ਕਿ ਉਸ ਉੱਤੇ ਸਜ਼ਾ ਦਾ ਹੁਕਮ ਹੋ ਗਿਆ ਹੈ, ਤਾਂ ਉਹ ਪਛਤਾਇਆ ਅਤੇ ਉਹ ਤੀਹ ਚਾਂਦੀ ਦੇ ਸਿੱਕੇ ਮੁੱਖ ਜਾਜਕਾਂ ਅਤੇ ਬਜ਼ੁਰਗਾਂ ਕੋਲ ਮੋੜ ਲਿਆਇਆ
[IRV | PA | NT | Matthew | Chapter 27 | Verse 4] ਅਤੇ ਬੋਲਿਆ, ਮੈਂ ਪਾਪ ਕੀਤਾ, ਜੋ ਨਿਰਦੋਸ਼ ਜਾਨ ਨੂੰ ਫੜ੍ਹਵਾ ਦਿੱਤਾ। ਪਰ ਉਹ ਬੋਲੇ, ਸਾਨੂੰ ਕੀ? ਤੂੰ ਹੀ ਜਾਣ।
[IRV | PA | NT | Matthew | Chapter 27 | Verse 5] ਅਤੇ ਉਹ ਉਨ੍ਹਾਂ ਰੁਪਿਆਂ ਨੂੰ ਹੈਕਲ ਵਿੱਚ ਸੁੱਟ ਕੇ ਚੱਲਿਆ ਗਿਆ ਅਤੇ ਜਾ ਕੇ ਫਾਹਾ ਲੈ ਲਿਆ।
[IRV | PA | NT | Matthew | Chapter 27 | Verse 6] ਅਤੇ ਮੁੱਖ ਜਾਜਕਾਂ ਨੇ ਰੁਪਏ ਲੈ ਕੇ ਆਖਿਆ ਜੋ ਇਨ੍ਹਾਂ ਨੂੰ ਖ਼ਜ਼ਾਨੇ ਵਿੱਚ ਪਾਉਣਾਂ ਯੋਗ ਨਹੀਂ ਕਿਉਂਕਿ ਇਹ ਲਹੂ ਦਾ ਮੁੱਲ ਹੈ।
[IRV | PA | NT | Matthew | Chapter 27 | Verse 7] ਤਾਂ ਉਨ੍ਹਾਂ ਨੇ ਯੋਜਨਾਂ ਬਣਾ ਕੇ ਉਨ੍ਹਾਂ ਨਾਲ ਇੱਕ ਘੁਮਿਆਰ ਦਾ ਖੇਤ ਪਰਦੇਸੀਆਂ ਦੇ ਦੱਬਣ ਲਈ ਮੁੱਲ ਲਿਆ।
[IRV | PA | NT | Matthew | Chapter 27 | Verse 8] ਇਸ ਕਾਰਨ ਉਹ ਖੇਤ ਅੱਜ ਤੱਕ ਲਹੂ ਦਾ ਖੇਤ ਅਖਵਾਉਂਦਾ ਹੈ।
[IRV | PA | NT | Matthew | Chapter 27 | Verse 9] ਤਦ ਜਿਹੜਾ ਬਚਨ ਯਿਰਮਿਯਾਹ ਨਬੀ ਦੀ ਰਾਹੀਂ ਕਿਹਾ ਗਿਆ ਸੀ ਪੂਰਾ ਹੋਇਆ, ਕਿ ਉਨ੍ਹਾਂ ਨੇ ਤੀਹ ਸ਼ਕੇਲ ਲਏ ਅਰਥਾਤ ਉਸ ਦਾ ਮੁੱਲ ਜਿਸ ਦਾ ਇਸਰਾਏਲ ਦੇ ਵੰਸ਼ ਵਿੱਚੋਂ ਕਈਆਂ ਨੇ ਮੁੱਲ ਠਹਿਰਾਇਆ।
[IRV | PA | NT | Matthew | Chapter 27 | Verse 10] ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਘੁਮਿਆਰ ਦੇ ਖੇਤ ਦੇ ਬਦਲੇ ਦਿੱਤਾ ਜਿਵੇਂ ਪ੍ਰਭੂ ਨੇ ਮੈਨੂੰ ਆਗਿਆ ਕੀਤੀ।
[IRV | PA | NT | Matthew | Chapter 27 | Verse 11] ਯਿਸੂ ਹਾਕਮ ਦੇ ਸਾਹਮਣੇ ਖੜ੍ਹਾ ਸੀ ਅਤੇ ਹਾਕਮ ਨੇ ਉਸ ਤੋਂ ਇਹ ਪੁੱਛਿਆ, ਕੀ, ਯਹੂਦੀਆਂ ਦਾ ਪਾਤਸ਼ਾਹ ਤੂੰ ਹੈਂ? ਯਿਸੂ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਸੱਚ ਆਖਿਆ ਹੈ।
