[IRV | PA | NT | Matthew | Chapter 19 | Verse 1] ਫਿਰ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਜਦੋਂ ਯਿਸੂ ਇਹ ਗੱਲਾਂ ਕਰ ਹਟਿਆ ਤਾਂ ਗਲੀਲ ਤੋਂ ਚੱਲਿਆ ਗਿਆ ਅਤੇ ਯਰਦਨ ਪਾਰ ਯਹੂਦਿਯਾ ਦੇ ਇਲਾਕੇ ਵਿੱਚ ਆਇਆ।
[IRV | PA | NT | Matthew | Chapter 19 | Verse 2] ਅਤੇ ਬਹੁਤ ਸਾਰੇ ਲੋਕ ਉਹ ਦੇ ਮਗਰ ਤੁਰ ਪਏ, ਅਤੇ ਉਸ ਨੇ ਉੱਥੇ ਉਨ੍ਹਾਂ ਨੂੰ ਚੰਗਾ ਕੀਤਾ।
[IRV | PA | NT | Matthew | Chapter 19 | Verse 3] ਫ਼ਰੀਸੀ ਉਸ ਦੀ ਪ੍ਰੀਖਿਆ ਲੈਣ ਲਈ ਉਹ ਦੇ ਕੋਲ ਆ ਕੇ ਬੋਲੇ, ਕੀ ਮਨੁੱਖ ਨੂੰ ਇਹ ਯੋਗ ਹੈ ਕਿ ਉਹ ਕਿਸੇ ਗੱਲ ਕਾਰਨ ਆਪਣੀ ਪਤਨੀ ਨੂੰ ਤਲਾਕ ਦੇਵੇ?
[IRV | PA | NT | Matthew | Chapter 19 | Verse 4] ਉਸ ਨੇ ਉੱਤਰ ਦਿੱਤਾ, ਕੀ ਤੁਸੀਂ ਇਹ ਨਹੀਂ ਪੜ੍ਹਿਆ ਕਿ ਜਿਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਬਣਾਇਆ ਉਹ ਨੇ ਮੁੱਢੋਂ ਉਨ੍ਹਾਂ ਨੂੰ ਨਰ ਅਤੇ ਨਾਰੀ ਬਣਾਇਆ?
[IRV | PA | NT | Matthew | Chapter 19 | Verse 5] ਅਤੇ ਕਿਹਾ ਜੋ ਇਸ ਲਈ ਆਦਮੀ ਆਪਣੇ ਮਾਤਾ-ਪਿਤਾ ਨੂੰ ਛੱਡ ਕੇ ਆਪਣੀ ਪਤਨੀ ਨਾਲ ਮਿਲਿਆ ਰਹੇਗਾ ਅਤੇ ਉਹ ਦੋਵੇਂ ਇੱਕ ਸਰੀਰ ਹੋਣਗੇ।
[IRV | PA | NT | Matthew | Chapter 19 | Verse 6] ਇਸ ਲਈ ਹੁਣ ਉਹ ਦੋ ਨਹੀਂ ਪਰ ਇੱਕ ਸਰੀਰ ਹਨ। ਇਸ ਲਈ ਜਿਹਨਾਂ ਨੂੰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਜੋੜਿਆ ਹੈ, ਮਨੁੱਖ ਉਸ ਨੂੰ ਵੱਖ ਨਾ ਕਰੇ।
[IRV | PA | NT | Matthew | Chapter 19 | Verse 7] ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਨੂੰ ਆਖਿਆ, ਫੇਰ ਮੂਸਾ ਨੇ ਤਿਆਗ ਪੱਤਰ ਰਾਹੀਂ ਤਲਾਕ ਦੇਣ ਦੀ ਆਗਿਆ ਕਿਉਂ ਦਿੱਤੀ?
[IRV | PA | NT | Matthew | Chapter 19 | Verse 8] ਯਿਸੂ ਨੇ ਉੱਤਰ ਦਿੱਤਾ, ਮੂਸਾ ਨੇ ਤੁਹਾਡੀ ਸਖ਼ਤ ਦਿਲੀ ਕਰਕੇ ਤੁਹਾਨੂੰ ਆਪਣੀਆਂ ਪਤਨੀਆਂ ਨੂੰ ਤਿਆਗਣ ਦੀ ਪਰਵਾਨਗੀ ਦਿੱਤੀ ਪਰ ਮੁੱਢੋਂ ਅਜਿਹਾ ਨਾ ਸੀ।
[IRV | PA | NT | Matthew | Chapter 19 | Verse 9] ਪਰ ਮੈਂ ਤੁਹਾਨੂੰ ਆਖਦਾ ਹਾਂ ਕਿ ਜੇ ਕੋਈ ਹਰਾਮਕਾਰੀ ਤੋਂ ਇਲਾਵਾ ਆਪਣੀ ਪਤਨੀ ਨੂੰ ਕਿਸੇ ਹੋਰ ਕਾਰਨ ਤਿਆਗ ਦੇਵੇ ਅਤੇ ਦੂਜੀ ਨਾਲ ਵਿਆਹ ਕਰੇ ਉਹ ਵਿਭਚਾਰ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | Matthew | Chapter 19 | Verse 10] ਚੇਲਿਆਂ ਨੇ ਉਹ ਨੂੰ ਕਿਹਾ, ਜੇਕਰ ਆਦਮੀ ਅਤੇ ਔਰਤ ਵਿਚਕਾਰ ਇਹ ਹਾਲਾਤ ਹਨ, ਤਾਂ ਵਿਆਹ ਕਰਵਾਉਣਾ ਹੀ ਚੰਗਾ ਨਹੀਂ।
[IRV | PA | NT | Matthew | Chapter 19 | Verse 11] ਪਰ ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਇਹ ਗੱਲ ਸਾਰਿਆਂ ਲਈ ਨਹੀਂ, ਸਿਰਫ਼ ਉਹਨਾਂ ਲਈ ਜਿਨ੍ਹਾਂ ਨੂੰ ਬਖ਼ਸ਼ਿਆ ਗਿਆ ਹੈ।
[IRV | PA | NT | Matthew | Chapter 19 | Verse 12] ਕਿਉਂਕਿ ਅਜਿਹੇ ਖੁਸਰੇ ਹਨ, ਜਿਹੜੇ ਮਾਂ ਦੀ ਕੁੱਖੋਂ ਇਸੇ ਤਰ੍ਹਾਂ ਜੰਮੇ ਅਤੇ ਕੁਝ ਖੁਸਰੇ ਅਜਿਹੇ ਹਨ ਜਿਹੜੇ ਮਨੁੱਖਾਂ ਦੇ ਦੁਆਰਾ ਖੁਸਰੇ ਕੀਤੇ ਹੋਏ ਹਨ ਅਤੇ ਅਜਿਹੇ ਖੁਸਰੇ ਵੀ ਹਨ ਕਿ ਜਿਨ੍ਹਾਂ ਨੇ ਸਵਰਗ ਰਾਜ ਦੇ ਕਾਰਨ ਆਪਣੇ ਆਪ ਨੂੰ ਖੁਸਰੇ ਕੀਤਾ ਹੈ, ਜਿਹੜਾ ਕਬੂਲ ਕਰ ਸਕਦਾ ਹੈ ਉਹ ਕਬੂਲ ਕਰੇ।
