[IRV | PA | NT | Matthew | Chapter 11 | Verse 1] ਇਸ ਤਰ੍ਹਾਂ ਹੋਇਆ ਕਿ ਯਿਸੂ ਆਪਣੇ ਬਾਰਾਂ ਚੇਲਿਆਂ ਨੂੰ ਆਗਿਆ ਦੇਣ ਤੋਂ ਬਾਅਦ, ਉੱਥੋਂ ਉਨ੍ਹਾਂ ਦੇ ਨਗਰਾਂ ਵਿੱਚ ਉਪਦੇਸ਼ ਦੇਣ ਅਤੇ ਪ੍ਰਚਾਰ ਕਰਨ ਚੱਲਿਆ ਗਿਆ।
[IRV | PA | NT | Matthew | Chapter 11 | Verse 2] ਯੂਹੰਨਾ ਨੇ ਕੈਦਖ਼ਾਨੇ ਵਿੱਚ ਮਸੀਹ ਦੇ ਕੰਮਾਂ ਦੀ ਚਰਚਾ ਸੁਣੀ, ਤਦ ਆਪਣੇ ਚੇਲਿਆਂ ਨੂੰ ਇਹ ਪੁੱਛਣ ਲਈ ਭੇਜਿਆ,
[IRV | PA | NT | Matthew | Chapter 11 | Verse 3] ਕਿ ਜਿਹੜਾ ਆਉਣ ਵਾਲਾ ਸੀ ਉਹ ਤੂੰ ਹੀ ਹੈਂ ਜਾਂ ਅਸੀਂ ਕਿਸੇ ਹੋਰ ਦੀ ਉਡੀਕ ਕਰੀਏ?
[IRV | PA | NT | Matthew | Chapter 11 | Verse 4] ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ, ਜੋ ਕੁਝ ਤੁਸੀਂ ਸੁਣਦੇ ਅਤੇ ਵੇਖਦੇ ਹੋ ਜਾ ਕੇ ਯੂਹੰਨਾ ਨੂੰ ਇਹ ਖ਼ਬਰ ਦੇ ਦੇਵੋ,
[IRV | PA | NT | Matthew | Chapter 11 | Verse 5] ਕਿ ਅੰਨ੍ਹੇ ਸੁਜਾਖੇ ਹੁੰਦੇ ਹਨ, ਲੰਗੜੇ ਚਲਦੇ ਹਨ, ਕੋੜ੍ਹੀ ਸ਼ੁੱਧ ਕੀਤੇ ਜਾਂਦੇ ਹਨ, ਬੋਲੇ ਸੁਣਦੇ ਹਨ, ਮੁਰਦੇ ਜਿਵਾਏ ਜਾਂਦੇ ਹਨ ਅਤੇ ਗਰੀਬਾਂ ਨੂੰ ਖੁਸ਼ਖਬਰੀ ਸੁਣਾਈ ਜਾਂਦੀ ਹੈ।
[IRV | PA | NT | Matthew | Chapter 11 | Verse 6] ਅਤੇ ਧੰਨ ਹੈ ਉਹ ਜੋ ਮੇਰੇ ਕਾਰਨ ਠੋਕਰ ਨਾ ਖਾਵੇ।
[IRV | PA | NT | Matthew | Chapter 11 | Verse 7] ਜਦੋਂ ਉਹ ਚਲੇ ਗਏ ਤਾਂ ਯਿਸੂ ਯੂਹੰਨਾ ਦੇ ਵਿਖੇ ਲੋਕਾਂ ਨੂੰ ਕਹਿਣ ਲੱਗਾ, ਤੁਸੀਂ ਉਜਾੜ ਵਿੱਚ ਕੀ ਵੇਖਣ ਗਏ ਸੀ? ਕੀ ਇੱਕ ਕਾਨੇ ਨੂੰ ਜਿਹੜਾ ਹਵਾ ਨਾਲ ਹਿੱਲਦਾ ਹੈ?
[IRV | PA | NT | Matthew | Chapter 11 | Verse 8] ਫੇਰ ਤੁਸੀਂ ਕੀ ਵੇਖਣ ਗਏ ਸੀ? ਕੀ ਮਹੀਨ ਬਸਤਰ ਪਹਿਨੇ ਹੋਏ ਇੱਕ ਮਨੁੱਖ ਨੂੰ? ਵੇਖੋ ਉਹ ਜਿਹੜੇ ਕੋਮਲ ਬਸਤਰ ਪਹਿਨਦੇ ਹਨ ਰਾਜਿਆਂ ਦੇ ਮਹਿਲਾਂ ਵਿੱਚ ਹਨ।
[IRV | PA | NT | Matthew | Chapter 11 | Verse 9] ਫੇਰ ਤੁਸੀਂ ਕੀ ਵੇਖਣ ਗਏ ਸੀ? ਕੀ ਨਬੀ ਨੂੰ? ਹਾਂ, ਮੈਂ ਤੁਹਾਨੂੰ ਆਖਦਾ ਹਾਂ ਸਗੋਂ ਨਬੀ ਨਾਲੋਂ ਵੀ ਵੱਡਾ।
[IRV | PA | NT | Matthew | Chapter 11 | Verse 10] ਇਹ ਉਹੋ ਹੈ ਜਿਹ ਦੇ ਬਾਰੇ ਲਿਖਿਆ ਹੋਇਆ ਹੈ; ਵੇਖ ਮੈਂ ਆਪਣਾ ਦੂਤ ਤੇਰੇ ਅੱਗੇ ਭੇਜਦਾ ਹਾਂ ਜਿਹੜਾ ਤੇਰੇ ਅੱਗੇ ਤੇਰਾ ਰਾਹ ਤਿਆਰ ਕਰੇਗਾ।
[IRV | PA | NT | Matthew | Chapter 11 | Verse 11] ਮੈਂ ਤੁਹਾਨੂੰ ਸੱਚ ਆਖਦਾ ਹਾਂ; ਜਿਹੜੇ ਔਰਤਾਂ ਤੋਂ ਜੰਮੇ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਯੂਹੰਨਾ ਬਪਤਿਸਮਾ ਦੇਣ ਵਾਲੇ ਨਾਲੋਂ ਵੱਡਾ ਕੋਈ ਵੀ ਨਹੀਂ ਹੋਇਆ, ਪਰ ਜਿਹੜਾ ਸਵਰਗ ਰਾਜ ਵਿੱਚ ਛੋਟਾ ਹੈ ਉਹ ਉਸ ਤੋਂ ਵੱਡਾ ਹੈ।
