[IRV | PA | NT | Matthew | Chapter 8 | Verse 1] ਜਦੋਂ ਉਹ ਪਹਾੜ ਉੱਤੋਂ ਉੱਤਰਿਆ ਤਾਂ ਵੱਡੀ ਭੀੜ ਉਹ ਦੇ ਮਗਰ ਆਈ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 2] ਅਤੇ ਵੇਖੋ ਇੱਕ ਕੋੜ੍ਹੀ ਨੇ ਯਿਸੂ ਕੋਲ ਆ ਕੇ ਉਸ ਅੱਗੇ ਮੱਥਾ ਟੇਕਿਆ ਅਤੇ ਕਿਹਾ, ਪ੍ਰਭੂ ਜੀ ਜੇ ਤੁਸੀਂ ਚਾਹੋਂ ਤਾਂ ਮੈਨੂੰ ਸ਼ੁੱਧ ਕਰ ਸਕਦੇ ਹੋ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 3] ਫਿਰ ਉਸ ਨੇ ਹੱਥ ਵਧਾ ਕੇ ਉਸ ਨੂੰ ਛੂਹਿਆ ਅਤੇ ਆਖਿਆ, ਮੈਂ ਚਾਹੁੰਦਾ ਹਾਂ, ਤੂੰ ਸ਼ੁੱਧ ਹੋ ਜਾ ਅਤੇ ਉਸੇ ਵੇਲੇ ਉਹ ਕੋੜ੍ਹੀ ਸ਼ੁੱਧ ਹੋ ਗਿਆ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 4] ਫਿਰ ਯਿਸੂ ਨੇ ਉਸ ਨੂੰ ਆਖਿਆ, ਖ਼ਬਰਦਾਰ! ਕਿਸੇ ਨੂੰ ਨਾ ਦੱਸੀਂ ਪਰ ਜਾ ਕੇ ਆਪਣੇ ਆਪ ਨੂੰ ਜਾਜਕ ਨੂੰ ਵਿਖਾ ਅਤੇ ਜਿਹੜੀ ਭੇਟ ਮੂਸਾ ਨੇ ਠਹਿਰਾਈ, ਚੜ੍ਹਾ ਕਿ ਉਨ੍ਹਾਂ ਲਈ ਗਵਾਹੀ ਹੋਵੇ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 5] ਜਦੋਂ ਉਹ ਕਫ਼ਰਨਾਹੂਮ ਵਿੱਚ ਗਿਆ, ਇੱਕ ਸੂਬੇਦਾਰ ਉਸ ਕੋਲ ਆਇਆ ਅਤੇ ਉਸ ਅੱਗੇ ਬੇਨਤੀ ਕੀਤੀ,
[IRV | PA | NT | Matthew | Chapter 8 | Verse 6] ਕਿ ਪ੍ਰਭੂ ਜੀ, ਮੇਰਾ ਨੌਕਰ ਅਧਰੰਗ ਦਾ ਮਾਰਿਆ, ਘਰ ਵਿੱਚ ਪਿਆ ਦਰਦ ਨਾਲ ਤੜਫ਼ ਰਿਹਾ ਹੈ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 7] ਪ੍ਰਭੂ ਨੇ ਉਸ ਨੂੰ ਆਖਿਆ, ਮੈਂ ਆ ਕੇ ਉਹ ਨੂੰ ਚੰਗਾ ਕਰ ਦਿਆਂਗਾ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 8] ਪਰ ਸੂਬੇਦਾਰ ਨੇ ਉੱਤਰ ਦਿੱਤਾ, ਪ੍ਰਭੂ ਜੀ ਮੈਂ ਇਸ ਯੋਗ ਨਹੀਂ ਜੋ ਤੁਸੀਂ ਮੇਰੀ ਛੱਤ ਦੇ ਹੇਠ ਆਓ, ਪਰ ਸਿਰਫ਼ ਬਚਨ ਹੀ ਕਰ ਦੇਵੋ ਤਾਂ ਮੇਰਾ ਨੌਕਰ ਚੰਗਾ ਹੋ ਜਾਵੇਗਾ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 9] ਕਿਉਂ ਜੋ ਮੈਂ ਵੀ ਦੂਜਿਆਂ ਦੇ ਅਧੀਨ ਇੱਕ ਮਨੁੱਖ ਹਾਂ ਅਤੇ ਸਿਪਾਹੀਆਂ ਨੂੰ ਆਪਣੇ ਅਧੀਨ ਰੱਖਦਾ ਹਾਂ ਅਤੇ ਜੇ ਕਿਸੇ ਨੂੰ ਆਖਦਾ ਹਾਂ, ਜਾ! ਤਾਂ ਉਹ ਜਾਂਦਾ ਹੈ ਅਤੇ ਜੇ ਕਿਸੇ ਨੂੰ ਆਖਦਾ ਹਾਂ, ਆ! ਤਾਂ ਉਹ ਆਉਂਦਾ ਹੈ ਅਤੇ ਜੇ ਆਪਣੇ ਨੌਕਰ ਨੂੰ ਆਖਦਾ ਹਾਂ, ਇਹ ਕਰ! ਤਾਂ ਉਹ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 10] ਯਿਸੂ ਇਹ ਸੁਣ ਕੇ ਹੈਰਾਨ ਹੋਇਆ ਅਤੇ ਆਪਣੇ ਪਿੱਛੇ ਆਉਣ ਵਾਲਿਆਂ ਨੂੰ ਕਿਹਾ ਕਿ, “ਮੈਂ ਤੁਹਾਨੂੰ ਸੱਚ ਆਖਦਾ ਹਾਂ, ਕਿ ਮੈਂ ਇਸ ਤਰ੍ਹਾਂ ਦਾ ਵਿਸ਼ਵਾਸ ਇਸਰਾਏਲ ਵਿੱਚ ਵੀ ਨਹੀਂ ਵੇਖਿਆ!
[IRV | PA | NT | Matthew | Chapter 8 | Verse 11] ਅਤੇ ਮੈਂ ਤੁਹਾਨੂੰ ਆਖਦਾ ਹਾਂ ਜੋ ਬਹੁਤ ਸਾਰੇ ਪੂਰਬ ਅਤੇ ਪੱਛਮ ਤੋਂ ਆਉਣਗੇ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਰਾਜ ਵਿੱਚ ਅਬਰਾਹਾਮ, ਇਸਹਾਕ ਅਤੇ ਯਾਕੂਬ ਨਾਲ ਬੈਠਣਗੇ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 12] ਪਰ ਰਾਜ ਦੇ ਪੁੱਤਰ ਬਾਹਰ ਦੇ ਅੰਧਕਾਰ ਵਿੱਚ ਸੁੱਟੇ ਜਾਣਗੇ, ਉੱਥੇ ਰੋਣਾ ਅਤੇ ਦੰਦਾਂ ਦਾ ਪੀਸਣਾ ਹੋਵੇਗਾ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 13] ਫਿਰ ਯਿਸੂ ਨੇ ਸੂਬੇਦਾਰ ਨੂੰ ਕਿਹਾ, ਜਾ ਜਿਸ ਤਰ੍ਹਾਂ ਤੂੰ ਵਿਸ਼ਵਾਸ ਕੀਤਾ ਤੇਰੇ ਲਈ ਉਸੇ ਤਰ੍ਹਾਂ ਹੋਵੇ ਅਤੇ ਉਹ ਨੌਕਰ ਉਸੇ ਵੇਲੇ ਚੰਗਾ ਹੋ ਗਿਆ।”
[IRV | PA | NT | Matthew | Chapter 8 | Verse 14] ਯਿਸੂ ਨੇ ਪਤਰਸ ਦੇ ਘਰ ਵਿੱਚ ਆ ਕੇ ਉਸ ਦੀ ਸੱਸ ਨੂੰ ਬੁਖ਼ਾਰ ਨਾਲ ਬਿਮਾਰ ਪਈ ਵੇਖਿਆ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 15] ਅਤੇ ਉਸ ਨੇ ਉਹ ਦਾ ਹੱਥ ਛੂਹਿਆ ਅਤੇ ਉਹ ਦਾ ਬੁਖ਼ਾਰ ਉਤਰ ਗਿਆ ਅਤੇ ਉਹ ਨੇ ਉੱਠ ਕੇ ਉਸ ਦੀ ਸੇਵਾ ਕੀਤੀ।
[IRV | PA | NT | Matthew | Chapter 8 | Verse 16] ਅਤੇ ਜਦੋਂ ਸ਼ਾਮ ਹੋਈ, ਉਸ ਦੇ ਕੋਲ ਬਹੁਤਿਆਂ ਨੂੰ ਲਿਆਏ ਜਿਨ੍ਹਾਂ ਨੂੰ ਭੂਤ ਚਿੰਬੜੇ ਹੋਏ ਸਨ; ਅਤੇ ਉਸ ਨੇ ਬਚਨ ਨਾਲ ਭੂਤਾਂ ਨੂੰ ਕੱਢ ਦਿੱਤਾ ਅਤੇ ਸਾਰੇ ਰੋਗੀਆਂ ਨੂੰ ਚੰਗਾ ਕੀਤਾ।
