[IRV | PA | NT | Matthew | Chapter 13 | Verse 1] ਉਸੇ ਦਿਨ ਯਿਸੂ ਘਰੋਂ ਨਿੱਕਲ ਕੇ ਝੀਲ ਦੇ ਨੇੜੇ ਜਾ ਬੈਠਾ।
[IRV | PA | NT | Matthew | Chapter 13 | Verse 2] ਅਤੇ ਬਹੁਤ ਵੱਡੀ ਭੀੜ ਉਹ ਦੇ ਕੋਲ ਇਕੱਠੀ ਹੋ ਗਈ, ਸੋ ਉਹ ਬੇੜੀ ਤੇ ਚੜ੍ਹ ਕੇ ਬੈਠ ਗਿਆ ਅਤੇ ਸਾਰੀ ਭੀੜ ਕੰਢੇ ਉੱਤੇ ਖੜੀ ਰਹੀ।
[IRV | PA | NT | Matthew | Chapter 13 | Verse 3] ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਬਹੁਤ ਸਾਰੀਆਂ ਗੱਲਾਂ ਦ੍ਰਿਸ਼ਟਾਂਤਾਂ ਵਿੱਚ ਆਖੀਆਂ ਕਿ ਵੇਖੋ ਇੱਕ ਬੀਜ ਬੀਜਣ ਵਾਲਾ, ਬੀਜਣ ਨੂੰ ਨਿੱਕਲਿਆ।
[IRV | PA | NT | Matthew | Chapter 13 | Verse 4] ਅਤੇ ਬੀਜਦੇ ਸਮੇਂ ਕੁਝ ਬੀਜ ਰਾਹ ਦੇ ਕੰਢੇ ਵੱਲ ਡਿੱਗਿਆ ਅਤੇ ਪੰਛੀ ਆ ਕੇ ਉਸ ਨੂੰ ਚੁਗ ਲੈ ਗਏ
[IRV | PA | NT | Matthew | Chapter 13 | Verse 5] ਅਤੇ ਕੁਝ ਪਥਰੀਲੀ ਜ਼ਮੀਨ ਵਿੱਚ ਡਿੱਗਿਆ ਜਿੱਥੇ ਉਹ ਨੂੰ ਬਹੁਤੀ ਮਿੱਟੀ ਨਾ ਮਿਲੀ ਅਤੇ ਡੂੰਘੀ ਮਿੱਟੀ ਨਾ ਮਿਲਣ ਦੇ ਕਾਰਨ ਉਹ ਛੇਤੀ ਉੱਗ ਪਿਆ।
[IRV | PA | NT | Matthew | Chapter 13 | Verse 6] ਪਰ ਜਦੋਂ ਸੂਰਜ ਚੜ੍ਹਿਆ ਤਾਂ ਕੁਮਲਾ ਗਿਆ ਅਤੇ ਜੜ੍ਹ ਨਾ ਫੜਨ ਦੇ ਕਾਰਨ ਸੁੱਕ ਗਿਆ।
[IRV | PA | NT | Matthew | Chapter 13 | Verse 7] ਅਤੇ ਕੁਝ ਕੰਡਿਆਲੀਆਂ ਝਾੜੀਆਂ ਵਿੱਚ ਡਿੱਗਿਆ ਅਤੇ ਝਾੜੀਆਂ ਨੇ ਵਧ ਕੇ ਉਹ ਨੂੰ ਦਬਾ ਲਿਆ।
[IRV | PA | NT | Matthew | Chapter 13 | Verse 8] ਅਤੇ ਕੁਝ ਬੀਜ ਚੰਗੀ ਜ਼ਮੀਨ ਵਿੱਚ ਡਿੱਗਿਆ ਅਤੇ ਫਲ ਲਿਆਇਆ, ਕੁਝ ਸੌ ਗੁਣਾ ਕੁਝ ਸੱਠ ਗੁਣਾ ਕੁਝ ਤੀਹ ਗੁਣਾ।
[IRV | PA | NT | Matthew | Chapter 13 | Verse 9] ਜਿਸ ਦੇ ਕੰਨ ਹੋਣ ਉਹ ਸੁਣੇ।
[IRV | PA | NT | Matthew | Chapter 13 | Verse 10] ਚੇਲਿਆਂ ਨੇ ਕੋਲ ਆ ਕੇ ਉਸ ਨੂੰ ਕਿਹਾ, ਤੂੰ ਉਨ੍ਹਾਂ ਨਾਲ ਦ੍ਰਿਸ਼ਟਾਂਤਾਂ ਵਿੱਚ ਕਿਉਂ ਗੱਲਾਂ ਕਰਦਾ ਹੈਂ?
[IRV | PA | NT | Matthew | Chapter 13 | Verse 11] ਉਸ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਉੱਤਰ ਦਿੱਤਾ, ਕਿ ਸਵਰਗ ਰਾਜ ਦੇ ਭੇਤਾਂ ਦੀ ਸਮਝ ਤੁਹਾਨੂੰ ਦਿੱਤੀ ਗਈ ਹੈ ਪਰ ਉਨ੍ਹਾਂ ਨੂੰ ਨਹੀਂ ਦਿੱਤੀ ਗਈ ਹੈ।
