[IRV | PA | NT | Matthew | Chapter 25 | Verse 1] ਉਸ ਵੇਲੇ ਸਵਰਗ ਰਾਜ ਦਸਾਂ ਕੁਆਰੀਆਂ ਵਰਗਾ ਹੋਵੇਗਾ ਜਿਹੜੀਆਂ ਆਪਣੀਆਂ ਮਸ਼ਾਲਾਂ ਲੈ ਕੇ ਲਾੜੇ ਦੇ ਮਿਲਣ ਨੂੰ ਨਿੱਕਲੀਆਂ।
[IRV | PA | NT | Matthew | Chapter 25 | Verse 2] ਅਤੇ ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਪੰਜ ਤਾਂ ਮੂਰਖ ਅਤੇ ਪੰਜ ਸਮਝਦਾਰ ਸਨ।
[IRV | PA | NT | Matthew | Chapter 25 | Verse 3] ਕਿਉਂਕਿ ਜਿਹੜੀਆਂ ਮੂਰਖ ਸਨ ਉਨ੍ਹਾਂ ਨੇ ਆਪਣੀਆਂ ਮਸ਼ਾਲਾਂ ਤਾਂ ਲੈ ਲਈਆਂ ਪਰ ਤੇਲ ਆਪਣੇ ਨਾਲ ਨਾ ਲਿਆ।
[IRV | PA | NT | Matthew | Chapter 25 | Verse 4] ਪਰ ਸਮਝਦਾਰਾਂ ਨੇ ਆਪਣੇ ਭਾਂਡਿਆਂ ਵਿੱਚ ਤੇਲ ਆਪਣੀਆਂ ਮਸ਼ਾਲਾਂ ਨਾਲ ਲੈ ਲਿਆ।
[IRV | PA | NT | Matthew | Chapter 25 | Verse 5] ਅਤੇ ਜਦ ਲਾੜੇ ਦੇ ਆਉਣ ਵਿੱਚ ਦੇਰ ਹੋਈ ਤਾਂ ਉਹ ਸਭ ਊਂਘ ਪਈਆਂ ਅਤੇ ਸੌਂ ਗਈਆਂ।
[IRV | PA | NT | Matthew | Chapter 25 | Verse 6] ਅਤੇ ਅੱਧੀ ਰਾਤ ਨੂੰ ਧੁੰਮ ਪਈ, ਔਹ ਲਾੜਾ ਆਇਆ, ਉਹ ਦੇ ਮਿਲਣ ਨੂੰ ਨਿੱਕਲੋ!
[IRV | PA | NT | Matthew | Chapter 25 | Verse 7] ਤਦ ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਕੁਆਰੀਆਂ ਨੇ ਉੱਠ ਕੇ ਆਪਣੀਆਂ ਮਸ਼ਾਲਾਂ ਤਿਆਰ ਕੀਤੀਆਂ।
[IRV | PA | NT | Matthew | Chapter 25 | Verse 8] ਅਤੇ ਮੂਰਖਾਂ ਨੇ ਸਮਝਦਾਰਾਂ ਨੂੰ ਕਿਹਾ ਕਿ ਆਪਣੇ ਤੇਲ ਵਿੱਚੋਂ ਕੁਝ ਸਾਨੂੰ ਦਿਓ, ਕਿਉਂ ਜੋ ਸਾਡੀਆਂ ਮਸ਼ਾਲਾਂ ਬੁਝਦੀਆਂ ਜਾਂਦੀਆਂ ਹਨ।
[IRV | PA | NT | Matthew | Chapter 25 | Verse 9] ਪਰ ਸਮਝਦਾਰਾਂ ਨੇ ਉੱਤਰ ਦਿੱਤਾ, ਨਾ, ਕਿਤੇ ਸਾਡੇ ਅਤੇ ਤੁਹਾਡੇ ਲਈ ਥੁੜ ਨਾ ਜਾਏ ਪਰ ਤੁਸੀਂ ਵੇਚਣ ਵਾਲਿਆਂ ਦੇ ਕੋਲ ਜਾ ਕੇ ਆਪਣੇ ਲਈ ਮੁੱਲ ਲਓ।
[IRV | PA | NT | Matthew | Chapter 25 | Verse 10] ਅਤੇ ਜਦ ਉਹ ਮੁੱਲ ਲੈਣ ਗਈਆਂ ਤਾਂ ਲਾੜਾ ਆ ਪਹੁੰਚਿਆ ਅਤੇ ਜਿਹੜੀਆਂ ਤਿਆਰ ਸਨ ਉਹ ਦੇ ਨਾਲ ਵਿਆਹ ਵਿੱਚ ਜਾ ਵੜੀਆਂ ਅਤੇ ਦਰਵਾਜ਼ਾ ਬੰਦ ਕੀਤਾ ਗਿਆ।
[IRV | PA | NT | Matthew | Chapter 25 | Verse 11] ਅਤੇ ਬਾਅਦ ਵਿੱਚ ਦੂਜੀਆਂ ਕੁਆਰੀਆਂ ਵੀ ਆਈਆਂ ਅਤੇ ਬੋਲੀਆਂ, ਹੇ ਮਹਾਰਾਜ, ਹੇ ਮਹਾਰਾਜ! ਸਾਡੇ ਲਈ ਦਰਵਾਜ਼ਾ ਖੋਲ੍ਹ ਦਿਓ!
[IRV | PA | NT | Matthew | Chapter 25 | Verse 12] ਪਰ ਉਹ ਨੇ ਉੱਤਰ ਦਿੱਤਾ, ਮੈਂ ਤੁਹਾਨੂੰ ਸੱਚ ਆਖਦਾ ਹਾਂ ਜੋ ਮੈਂ ਤੁਹਾਨੂੰ ਨਹੀਂ ਪਛਾਣਦਾ।
[IRV | PA | NT | Matthew | Chapter 25 | Verse 13] ਇਸ ਕਰਕੇ ਜਾਗਦੇ ਰਹੋ ਕਿਉਂ ਜੋ ਤੁਸੀਂ ਨਾ ਉਸ ਦਿਨ, ਨਾ ਉਸ ਘੜੀ ਨੂੰ ਜਾਣਦੇ ਹੋ।
[IRV | PA | NT | Matthew | Chapter 25 | Verse 14] ਇਹ ਗੱਲ ਤਾਂ ਉਸ ਮਨੁੱਖ ਵਰਗੀ ਹੈ ਜਿਸ ਨੇ ਪਰਦੇਸ ਨੂੰ ਜਾਣ ਲੱਗਿਆਂ ਆਪਣੇ ਨੌਕਰਾਂ ਨੂੰ ਸੱਦ ਕੇ ਆਪਣਾ ਮਾਲ ਉਨ੍ਹਾਂ ਨੂੰ ਸੌਂਪਿਆ।
