[IRV | PA | NT | Matthew | Chapter 5 | Verse 1] ਭੀੜ ਨੂੰ ਵੇਖ ਕੇ ਯਿਸੂ ਪਹਾੜ ਉੱਤੇ ਚੜ੍ਹ ਗਿਆ ਅਤੇ ਜਦ ਬੈਠ ਗਿਆ ਤਦ ਚੇਲੇ ਉਸ ਦੇ ਕੋਲ ਆਏ।
[IRV | PA | NT | Matthew | Chapter 5 | Verse 2] ਉਹ ਚੇਲਿਆਂ ਨੂੰ ਇਹ ਉਪਦੇਸ਼ ਦੇਣ ਲੱਗਾ:
[IRV | PA | NT | Matthew | Chapter 5 | Verse 3] ਉਹ ਧੰਨ ਹਨ ਜਿਹੜੇ ਦਿਲ ਦੇ ਗ਼ਰੀਬ ਹਨ, ਕਿਉਂ ਜੋ ਸਵਰਗ ਰਾਜ ਉਨ੍ਹਾਂ ਦਾ ਹੈ।
[IRV | PA | NT | Matthew | Chapter 5 | Verse 4] ਉਹ ਧੰਨ ਹਨ ਜਿਹੜੇ ਸੋਗ ਕਰਦੇ ਹਨ, ਕਿਉਂ ਜੋ ਉਹ ਸ਼ਾਂਤ ਕੀਤੇ ਜਾਣਗੇ।
[IRV | PA | NT | Matthew | Chapter 5 | Verse 5] ਉਹ ਧੰਨ ਹਨ ਜਿਹੜੇ ਹਲੀਮ ਹਨ, ਕਿਉਂ ਜੋ ਉਹ ਧਰਤੀ ਦੇ ਵਾਰਿਸ ਹੋਣਗੇ।
[IRV | PA | NT | Matthew | Chapter 5 | Verse 6] ਉਹ ਧੰਨ ਹਨ ਜਿਹੜੇ ਧਾਰਮਿਕਤਾ ਦੇ ਭੁੱਖੇ ਤੇ ਪਿਆਸੇ ਹਨ, ਕਿਉਂ ਜੋ ਉਹ ਰਜਾਏ ਜਾਣਗੇ।
[IRV | PA | NT | Matthew | Chapter 5 | Verse 7] ਉਹ ਧੰਨ ਹਨ ਜਿਹੜੇ ਦਿਆਲੂ ਹਨ, ਕਿਉਂ ਜੋ ਉਨ੍ਹਾਂ ਉੱਤੇ ਦਯਾ ਕੀਤੀ ਜਾਵੇਗੀ।
[IRV | PA | NT | Matthew | Chapter 5 | Verse 8] ਉਹ ਧੰਨ ਹਨ ਜਿਹਨਾਂ ਦੇ ਮਨ ਸ਼ੁੱਧ ਹਨ, ਕਿਉਂ ਜੋ ਉਹ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਵੇਖਣਗੇ।
[IRV | PA | NT | Matthew | Chapter 5 | Verse 9] ਉਹ ਧੰਨ ਹਨ ਜਿਹੜੇ ਮੇਲ-ਮਿਲਾਪ ਕਰਾਉਂਦੇ ਹਨ, ਕਿਉਂ ਜੋ ਉਹ ਪਰਮੇਸ਼ੁਰ ਦੇ ਪੁੱਤਰ ਅਖਵਾਉਣਗੇ।
[IRV | PA | NT | Matthew | Chapter 5 | Verse 10] ਉਹ ਧੰਨ ਹਨ ਜਿਹੜੇ ਧਾਰਮਿਕਤਾ ਦੇ ਕਾਰਨ ਸਤਾਏ ਜਾਂਦੇ ਹਨ, ਕਿਉਂ ਜੋ ਸਵਰਗ ਰਾਜ ਉਨ੍ਹਾਂ ਦਾ ਹੈ।
[IRV | PA | NT | Matthew | Chapter 5 | Verse 11] ਧੰਨ ਹੋ ਤੁਸੀਂ, ਜਦੋਂ ਲੋਕ ਮੇਰੇ ਕਾਰਨ ਤੁਹਾਨੂੰ ਬੇਇੱਜ਼ਤ ਕਰਨ, ਸਤਾਉਣ ਅਤੇ ਤੁਹਾਡੇ ਵਿਰੁੱਧ ਬੁਰੀਆਂ ਗੱਲਾਂ ਬੋਲਣ ਅਤੇ ਝੂਠੇ ਦੋਸ਼ ਲਾਉਣ।
[IRV | PA | NT | Matthew | Chapter 5 | Verse 12] ਖੁਸ਼ ਹੋਵੋ ਅਤੇ ਅਨੰਦ ਮਨਾਓ, ਕਿਉਂ ਜੋ ਤੁਹਾਡਾ ਫਲ ਸਵਰਗ ਵਿੱਚ ਵੱਡਾ ਹੈ, ਕਿਉਂ ਜੋ ਉਨ੍ਹਾਂ ਨੇ ਤੁਹਾਡੇ ਤੋਂ ਪਹਿਲੇ ਨਬੀਆਂ ਨੂੰ ਵੀ ਇਸੇ ਤਰ੍ਹਾਂ ਸਤਾਇਆ ਸੀ।
