[IRV | PA | NT | Matthew | Chapter 22 | Verse 1] ਯਿਸੂ ਨੇ ਉਨ੍ਹਾਂ ਦੇ ਨਾਲ ਫਿਰ ਦ੍ਰਿਸ਼ਟਾਂਤਾਂ ਵਿੱਚ ਕਿਹਾ,
[IRV | PA | NT | Matthew | Chapter 22 | Verse 2] ਸਵਰਗ ਰਾਜ ਕਿਸੇ ਰਾਜੇ ਵਰਗਾ ਹੈ ਜਿਸ ਨੇ ਆਪਣੇ ਪੁੱਤਰ ਦਾ ਵਿਆਹ ਕੀਤਾ।
[IRV | PA | NT | Matthew | Chapter 22 | Verse 3] ਅਤੇ ਉਸ ਨੇ ਸੱਦੇ ਹੋਇਆਂ ਨੂੰ ਵਿਆਹ ਵਿੱਚ ਸੱਦਣ ਲਈ ਆਪਣੇ ਨੌਕਰਾਂ ਨੂੰ ਭੇਜਿਆ ਪਰ ਉਹ ਆਉਣ ਲਈ ਤਿਆਰ ਨਾ ਹੋਏ।
[IRV | PA | NT | Matthew | Chapter 22 | Verse 4] ਫਿਰ ਉਹ ਨੇ ਹੋਰਨਾਂ ਨੌਕਰਾਂ ਨੂੰ ਇਹ ਕਹਿ ਕੇ ਭੇਜਿਆ ਜੋ ਸੱਦੇ ਹੋਇਆਂ ਨੂੰ ਆਖੋ ਕਿ ਵੇਖੋ ਮੈਂ ਭੋਜਨ ਤਿਆਰ ਕੀਤਾ ਹੈ ਅਤੇ ਮੇਰੇ ਬੈਲ ਤੇ ਮੋਟੇ-ਮੋਟੇ ਜਾਨਵਰ ਵੱਢੇ ਗਏ ਹਨ ਅਤੇ ਸਭ ਕੁਝ ਤਿਆਰ ਹੈ। ਤੁਸੀਂ ਵਿਆਹ ਵਿੱਚ ਆਓ।
[IRV | PA | NT | Matthew | Chapter 22 | Verse 5] ਪਰ ਉਹਨਾਂ ਨੇ ਕੋਈ ਪਰਵਾਹ ਨਾ ਕੀਤੀ ਅਤੇ ਚੱਲੇ ਗਏ, ਕੋਈ ਆਪਣੇ ਖੇਤ ਨੂੰ ਅਤੇ ਕੋਈ ਆਪਣੇ ਵਣਜ-ਵਪਾਰ ਨੂੰ,
[IRV | PA | NT | Matthew | Chapter 22 | Verse 6] ਅਤੇ ਕਈਆਂ ਨੇ ਉਹ ਦੇ ਨੌਕਰਾਂ ਨੂੰ ਫੜ੍ਹ ਕੇ ਉਨ੍ਹਾਂ ਦੀ ਬੇਇੱਜ਼ਤੀ ਕੀਤੀ ਅਤੇ ਮਾਰ ਸੁੱਟਿਆ।
[IRV | PA | NT | Matthew | Chapter 22 | Verse 7] ਤਦ ਰਾਜੇ ਨੂੰ ਕ੍ਰੋਧ ਆਇਆ ਅਤੇ ਉਸ ਨੇ ਆਪਣੀਆਂ ਫ਼ੌਜਾਂ ਭੇਜ ਕੇ ਉਨ੍ਹਾਂ ਖ਼ੂਨੀਆਂ ਦਾ ਨਾਸ ਕਰ ਦਿੱਤਾ ਅਤੇ ਉਨ੍ਹਾਂ ਦਾ ਸ਼ਹਿਰ ਫੂਕ ਸੁੱਟਿਆ।
[IRV | PA | NT | Matthew | Chapter 22 | Verse 8] ਤਦ ਉਸ ਨੇ ਆਪਣੇ ਨੌਕਰਾਂ ਨੂੰ ਆਖਿਆ, ਵਿਆਹ ਦਾ ਸਮਾਨ ਤਾਂ ਤਿਆਰ ਹੈ ਪਰ ਸੱਦੇ ਹੋਏ ਯੋਗ ਨਹੀਂ ਹਨ।
[IRV | PA | NT | Matthew | Chapter 22 | Verse 9] ਸੋ ਤੁਸੀਂ ਚੌਕਾਂ ਵਿੱਚ ਜਾਓ ਅਤੇ ਜਿੰਨੇ ਤੁਹਾਨੂੰ ਮਿਲਣ ਵਿਆਹ ਵਿੱਚ ਸੱਦ ਲਿਆਓ।
[IRV | PA | NT | Matthew | Chapter 22 | Verse 10] ਤਦ ਉਹ ਨੌਕਰ ਰਸਤਿਆਂ ਉੱਤੇ ਬਾਹਰ ਜਾ ਕੇ ਬੁਰੇ ਭਲੇ ਜਿੰਨੇ ਮਿਲੇ ਸਭਨਾਂ ਨੂੰ ਇਕੱਠੇ ਕਰ ਲਿਆਏ ਅਤੇ ਵਿਆਹ ਵਾਲਾ ਘਰ ਮਹਿਮਾਨਾਂ ਨਾਲ ਭਰ ਗਿਆ।
[IRV | PA | NT | Matthew | Chapter 22 | Verse 11] ਪਰ ਜਦ ਰਾਜਾ ਮਹਿਮਾਨਾਂ ਨੂੰ ਵੇਖਣ ਅੰਦਰ ਆਇਆ ਤਦ ਉੱਥੇ ਇੱਕ ਮਨੁੱਖ ਨੂੰ ਦੇਖਿਆ ਜਿਸ ਨੇ ਵਿਆਹ ਵਾਲੇ ਕੱਪੜੇ ਨਹੀਂ ਪਹਿਨੇ ਹੋਏ ਸਨ।
