[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 1] Zedekiah was one and twenty years old when he began to reign, and he reigned eleven years in Jerusalem. And his mother's name was Hamutal, the daughter of Jeremiah of Libnah.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 2] And he did that which was evil in the eyes of the LORD, according to all that Jehoiakim had done.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 3] For through the anger of the LORD it came to pass in Jerusalem and Judah, till he had cast them out from his presence, that Zedekiah rebelled against the king of Babylon.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 4] And it came to pass in the ninth year of his reign, in the tenth month, in the tenth day of the month, that Nebuchadrezzar king of Babylon came, he and all his army, against Jerusalem, and encamped against it, and built forts against it on every side.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 5] So the city was besieged to the eleventh year of king Zedekiah.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 6] And in the fourth month, in the ninth day of the month, the famine was severe in the city, so that there was no bread for the people of the land.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 7] Then the city was broken up, and all the men of war fled, and went forth from the city by night by the way of the gate between the two walls, which was by the king's garden; (now the Chaldeans were by the city on all sides:) and they went by the way of the plain.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 8] But the army of the Chaldeans pursued the king, and overtook Zedekiah in the plains of Jericho; and all his army was scattered from him.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 9] Then they took the king, and carried him to the king of Babylon to Riblah in the land of Hamath; where he gave judgment upon him.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 10] And the king of Babylon slew the sons of Zedekiah before his eyes: he slew also all the princes of Judah in Riblah.
[WEBSTER | EN | OT | Jeremiah | Chapter 52 | Verse 11] Then he put out the eyes of Zedekiah; and the king of Babylon bound him in chains, and carried him to Babylon, and put him in prison till the day of his death.
