[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 1] Oh that my head were waters, and my eyes a fountain of tears, that I might weep day and night for the slain of the daughter of my people!
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 2] Oh that I had in the wilderness a lodging-place of way-faring men; that I might leave my people, and go from them! for they are all adulterers, an assembly of treacherous men.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 3] And they bend their tongues like their bow for lies: but they are not valiant for the truth upon the earth; for they proceed from evil to evil, and they know not me, saith the LORD.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 4] Take ye heed every one of his neighbor, and trust ye not in any brother: for every brother will utterly supplant, and every neighbor will walk with slanders.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 5] And they will deceive every one his neighbor, and will not speak the truth: they have taught their tongue to speak lies, and weary themselves to commit iniquity.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 6] Thy habitation is in the midst of deceit; through deceit they refuse to know me, saith the LORD.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 7] Therefore thus saith the LORD of hosts, Behold, I will melt them, and try them; for how shall I do for the daughter of my people?
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 8] Their tongue is as an arrow shot out; it speaketh deceit: one speaketh peaceably to his neighbor with his mouth, but in heart he layeth his wait.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 9] Shall I not visit them for these things ? saith the LORD: shall not my soul be avenged on such a nation as this?
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 10] For the mountains will I take up a weeping and wailing, and for the habitations of the wilderness a lamentation, because they are burned up, so that none can pass through them ; neither can men hear the voice of the cattle; both the fowl of the heavens and the beast have fled; they are gone.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 11] And I will make Jerusalem heaps, and a den of dragons; and I will make the cities of Judah desolate, without an inhabitant.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 12] Who is the wise man that may understand this? and who is he to whom the mouth of the LORD hath spoken, that he may declare it, for what the land perisheth and is burned up like a wilderness, that none passeth through?
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 13] And the LORD saith, Because they have forsaken my law which I set before them, and have not obeyed my voice, neither walked therein;
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 14] But have walked after the imagination of their own heart, and after Baalim, which their fathers taught them:
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 15] Therefore thus saith the LORD of hosts, the God of Israel; Behold, I will feed them, even this people, with wormwood, and give them water of gall to drink.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 16] I will scatter them also among the heathen, whom neither they nor their fathers have known: and I will send a sword after them, till I have consumed them.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 17] Thus saith the LORD of hosts, Consider ye, and call for the mourning women, that they may come; and send for skillful women , that they may come:
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 18] And let them make haste, and take up a wailing for us, that our eyes may run down with tears, and our eyelids gush out with waters.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 19] For a voice of wailing is heard out of Zion, How are we laid waste! we are greatly confounded, because we have forsaken the land, because our dwellings have cast us out.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 20] Yet hear the word of the LORD, O ye women, and let your ear receive the word of his mouth, and teach your daughters wailing, and every one her neighbor lamentation.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 21] For death hath come up into our windows, and hath entered into our palaces, to cut off the children from without, and the young men from the streets.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 22] Speak, Thus saith the LORD, Even the carcasses of men shall fall as dung upon the open field, and as the handful after the harvest-man, and none shall gather them .
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 23] Thus saith the LORD, Let not the wise man glory in his wisdom, neither let the mighty man glory in his might, let not the rich man glory in his riches:
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 24] But let him that glorieth, glory in this, that he understandeth and knoweth me, that I am the LORD who exercise loving-kindness, judgment, and righteousness, in the earth: for in these things I delight, saith the LORD.
[WEBSTER | EN | OT | Jeremiah | Chapter 9 | Verse 25] Behold, the days come, saith the LORD, that I will punish all them who are circumcised with the uncircumcised;
