[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 1] ਉਹ ਜਾਜਕ ਅਤੇ ਲੇਵੀ ਜਿਹੜੇ ਸ਼ਅਲਤੀਏਲ ਦੇ ਪੁੱਤਰ ਜ਼ਰੂੱਬਾਬਲ ਅਤੇ ਯੇਸ਼ੂਆ ਦੇ ਨਾਲ ਮੁੜ ਆਏ, ਉਹ ਇਹ ਸਨ: ਸਰਾਯਾਹ, ਯਿਰਮਿਯਾਹ, ਅਜ਼ਰਾ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 2] ਅਮਰਯਾਹ, ਮੱਲੂਕ, ਹੱਟੂਸ਼,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 3] ਸ਼ਕਨਯਾਹ, ਰਹੂਮ, ਮਰੇਮੋਥ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 4] ਇੱਦੋ, ਗਿਨਥੋਈ, ਅਬਿਯਾਹ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 5] ਮੀਯਾਮੀਨ, ਮਆਦਯਾਹ ਬਿਲਗਾਹ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 6] ਸ਼ਮਅਯਾਹ, ਯੋਯਾਰੀਬ, ਯਦਾਯਾਹ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 7] ਸੱਲੂ, ਆਮੋਕ, ਹਿਲਕੀਯਾਹ ਅਤੇ ਯਦਾਯਾਹ, ਯੇਸ਼ੂਆ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਜਾਜਕਾਂ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਭਰਾਵਾਂ ਦੇ ਆਗੂ ਇਹੋ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 8] ਲੇਵੀ ਇਹ ਸਨ: ਯੇਸ਼ੂਆ, ਬਿੰਨੂਈ, ਕਦਮੀਏਲ, ਸ਼ੇਰੇਬਯਾਹ, ਯਹੂਦਾਹ ਅਤੇ ਮੱਤਨਯਾਹ ਜਿਹੜਾ ਆਪਣੇ ਭਰਾਵਾਂ ਸਮੇਤ ਧੰਨਵਾਦ ਦੇ ਗੀਤਾਂ ਦਾ ਮੁਖੀਆ ਸੀ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 9] ਬਕਬੁਕਯਾਹ, ਉੱਨੀ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਭਰਾ ਉਨ੍ਹਾਂ ਦੇ ਸਾਹਮਣੇ ਸੇਵਾ ਕਰਦੇ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 10] ਯੇਸ਼ੂਆ ਤੋਂ ਯੋਯਾਕੀਮ ਜੰਮਿਆ, ਯੋਯਾਕੀਮ ਤੋਂ ਅਲਯਾਸ਼ੀਬ ਜੰਮਿਆ, ਅਲਯਾਸ਼ੀਬ ਤੋਂ ਯੋਯਾਦਾ ਜੰਮਿਆ,
[IRV | PA | OT | Nehemiah | Chapter 12 | Verse 11] ਯੋਯਾਦਾ ਤੋਂ ਯੋਨਾਥਾਨ ਜੰਮਿਆ ਅਤੇ ਯੋਨਾਥਾਨ ਤੋਂ ਯੱਦੂਆ ਜੰਮਿਆ।
