[IRV | PA | OT | Nehemiah | Chapter 7 | Verse 1] ਫਿਰ ਅਜਿਹਾ ਹੋਇਆ ਜਦ ਸ਼ਹਿਰਪਨਾਹ ਬਣ ਗਈ ਅਤੇ ਮੈਂ ਉਸ ਦੇ ਦਰਵਾਜ਼ੇ ਲਗਾ ਦਿੱਤੇ ਅਤੇ ਦਰਬਾਨ ਅਤੇ ਗਾਇਕ ਅਤੇ ਲੇਵੀ ਠਹਿਰਾ ਦਿੱਤੇ ਗਏ,
[IRV | PA | OT | Nehemiah | Chapter 7 | Verse 2] ਤਦ ਮੈਂ ਆਪਣੇ ਭਰਾ ਹਨਾਨੀ ਨੂੰ ਅਤੇ ਸ਼ਾਹੀ ਮਹਿਲ ਦੇ ਹਾਕਮ ਹਨਨਯਾਹ ਨੂੰ ਯਰੂਸ਼ਲਮ ਉੱਤੇ ਹਾਕਮ ਠਹਿਰਾਇਆ ਕਿਉਂਕਿ ਉਹ ਵਿਸ਼ਵਾਸਯੋਗ ਅਤੇ ਬਹੁਤਿਆਂ ਤੋਂ ਵੱਧ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਡਰਨ ਵਾਲਾ ਮਨੁੱਖ ਸੀ।
[IRV | PA | OT | Nehemiah | Chapter 7 | Verse 3] ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਕਿਹਾ, “ਜਦ ਤੱਕ ਧੁੱਪ ਤੇਜ਼ ਨਾ ਹੋ ਜਾਵੇ ਤਦ ਤੱਕ ਯਰੂਸ਼ਲਮ ਦੇ ਫਾਟਕ ਨਾ ਖੋਲ੍ਹੇ ਜਾਣ ਅਤੇ ਜਦ ਪਹਿਰੇਦਾਰ ਪਹਿਰਾ ਦਿੰਦੇ ਹੋਣ, ਤਦ ਹੀ ਫਾਟਕ ਬੰਦ ਕੀਤੇ ਜਾਣ ਅਤੇ ਬੇੜ੍ਹੀਆਂ ਲਾਈਆਂ ਜਾਣ। ਫਿਰ ਯਰੂਸ਼ਲਮ ਦੇ ਵਾਸੀਆਂ ਵਿੱਚੋਂ ਤੂੰ ਪਹਿਰੇਦਾਰ ਠਹਿਰਾ ਜਿਹੜੇ ਆਪੋ ਆਪਣੇ ਪਹਿਰੇ ਵਿੱਚ ਆਪਣੇ-ਆਪਣੇ ਘਰਾਂ ਦੇ ਅੱਗੇ ਪਹਿਰਾ ਦੇਣ।”
[IRV | PA | OT | Nehemiah | Chapter 7 | Verse 4] ਸ਼ਹਿਰ ਤਾਂ ਚੌੜਾ ਅਤੇ ਵੱਡਾ ਸੀ ਪਰ ਲੋਕ ਥੋੜੇ ਸਨ ਅਤੇ ਘਰ ਬਣੇ ਹੋਏ ਨਹੀਂ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 7 | Verse 5] ਤਦ ਮੇਰੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮੇਰੇ ਮਨ ਵਿੱਚ ਇਹ ਪਾਇਆ ਕਿ ਮੈਂ ਸਾਮੰਤਾਂ, ਹਾਕਮਾਂ ਅਤੇ ਲੋਕਾਂ ਨੂੰ ਇਸ ਲਈ ਇਕੱਠੇ ਕਰਾਂ ਤਾਂ ਜੋ ਉਹ ਆਪੋ-ਆਪਣੀ ਵੰਸ਼ਾਵਲੀ ਦੇ ਅਨੁਸਾਰ ਗਿਣੇ ਜਾਣ ਅਤੇ ਮੈਨੂੰ ਉਨ੍ਹਾਂ ਲੋਕਾਂ ਦੀ ਕੁੱਲ-ਪੱਤਰੀ ਲੱਭੀ ਜਿਹੜੇ ਪਹਿਲਾਂ ਯਰੂਸ਼ਲਮ ਨੂੰ ਆਏ ਸਨ ਅਤੇ ਮੈਨੂੰ ਉਸ ਦੇ ਵਿੱਚ ਇਹ ਲਿਖਿਆ ਹੋਇਆ ਲੱਭਿਆ, -
[IRV | PA | OT | Nehemiah | Chapter 7 | Verse 6] ਜਿਨ੍ਹਾਂ ਲੋਕਾਂ ਨੂੰ ਬਾਬਲ ਦਾ ਰਾਜਾ ਨਬੂਕਦਨੱਸਰ ਗ਼ੁਲਾਮ ਬਣਾ ਕੇ ਲੈ ਗਿਆ ਸੀ, ਉਨ੍ਹਾਂ ਵਿੱਚੋਂ ਯਰੂਸ਼ਲਮ ਅਤੇ ਯਹੂਦਾਹ ਦੇ ਸੂਬਿਆਂ ਦੇ ਜਿਹੜੇ ਲੋਕ ਗ਼ੁਲਾਮੀ ਤੋਂ ਛੁੱਟ ਕੇ ਆਪੋ ਆਪਣੇ ਨਗਰਾਂ ਨੂੰ ਮੁੜ ਆਏ ਸਨ, ਉਹ ਇਹ ਹਨ -
[IRV | PA | OT | Nehemiah | Chapter 7 | Verse 7] ਜਿਹੜੇ ਜ਼ਰੂੱਬਾਬਲ, ਯੇਸ਼ੂਆ, ਨਹਮਯਾਹ, ਅਜ਼ਰਯਾਹ, ਰਅਮਯਾਹ, ਨਹਮਾਨੀ, ਮਾਰਦਕਈ, ਬਿਲਸ਼ਾਨ, ਮਿਸਪਰਥ, ਬਿਗਵਈ, ਨਹੂਮ ਅਤੇ ਬਆਨਾਹ ਨਾਲ ਆਏ। ਇਸਰਾਏਲੀ ਪਰਜਾ ਦੇ ਮਨੁੱਖਾਂ ਦੀ ਗਿਣਤੀ ਇਹ ਹੈ -
[IRV | PA | OT | Nehemiah | Chapter 7 | Verse 8] ਪਰੋਸ਼ ਦੀ ਸੰਤਾਨ ਦੋ ਹਜ਼ਾਰ ਇੱਕ ਸੌ ਬਹੱਤਰ,
[IRV | PA | OT | Nehemiah | Chapter 7 | Verse 9] ਸ਼ਫ਼ਟਯਾਹ ਦੀ ਸੰਤਾਨ ਤਿੰਨ ਸੌ ਬਹੱਤਰ,
[IRV | PA | OT | Nehemiah | Chapter 7 | Verse 10] ਆਰਹ ਦੀ ਸੰਤਾਨ ਛੇ ਸੌ ਬਵੰਜਾ,
[IRV | PA | OT | Nehemiah | Chapter 7 | Verse 11] ਪਹਥ-ਮੋਆਬ ਦੀ ਸੰਤਾਨ ਜਿਹੜੇ ਯੇਸ਼ੂਆ ਅਤੇ ਯੋਆਬ ਦੇ ਵੰਸ਼ ਵਿੱਚੋਂ ਸਨ ਦੋ ਹਜ਼ਾਰ ਅੱਠ ਸੌ ਅਠਾਰਾਂ,
