[IRV | PA | OT | Nehemiah | Chapter 3 | Verse 1] ਤਦ ਅਲਯਾਸ਼ੀਬ ਪ੍ਰਧਾਨ ਜਾਜਕ ਅਤੇ ਉਹ ਦੇ ਜਾਜਕ ਭਰਾ ਉੱਠੇ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਭੇਡ ਫਾਟਕ ਨੂੰ ਬਣਾਇਆ। ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਦਾ ਸਮਰਪਣ ਕੀਤਾ ਅਤੇ ਉਸ ਦੇ ਦਰਵਾਜ਼ੇ ਵੀ ਲਗਾਏ, ਇਸ ਦੇ ਨਾਲ ਉਨ੍ਹਾਂ ਨੇ ਹੰਮੇਆਹ ਦੇ ਬੁਰਜ ਤੋਂ ਹਨਨੇਲ ਦੇ ਬੁਰਜ ਤੱਕ ਸ਼ਹਿਰਪਨਾਹ ਦਾ ਸਮਰਪਣ ਕੀਤਾ।
[IRV | PA | OT | Nehemiah | Chapter 3 | Verse 2] ਉਸ ਤੋਂ ਅੱਗੇ ਯਰੀਹੋ ਦੇ ਮਨੁੱਖਾਂ ਨੇ ਬਣਾਇਆ ਅਤੇ ਉਸ ਤੋਂ ਅੱਗੇ ਇਮਰੀ ਦੇ ਪੁੱਤਰ ਜ਼ੱਕੂਰ ਨੇ ਬਣਾਇਆ।
[IRV | PA | OT | Nehemiah | Chapter 3 | Verse 3] ਫੇਰ ਮੱਛੀ ਫਾਟਕ ਨੂੰ ਹੱਸਨਾਆਹ ਦੇ ਪੁੱਤਰਾਂ ਨੇ ਬਣਾਇਆ। ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਦੀਆਂ ਕੜੀਆਂ ਲਗਾਈਆਂ, ਅਤੇ ਉਸ ਦੇ ਦਰਵਾਜ਼ੇ ਅਤੇ ਚਿਟਕਨੀਆਂ ਅਤੇ ਅਰਲ ਲਗਾਏ।
[IRV | PA | OT | Nehemiah | Chapter 3 | Verse 4] ਉਨ੍ਹਾਂ ਤੋਂ ਅੱਗੇ ਹਕੋਸ ਦੇ ਪੋਤਰੇ ਅਤੇ ਊਰਿੱਯਾਹ ਦੇ ਪੁੱਤਰ ਮਰੇਮੋਥ ਨੇ ਮੁਰੰਮਤ ਕੀਤੀ। ਫਿਰ ਉਨ੍ਹਾਂ ਤੋਂ ਅੱਗੇ ਮਸ਼ੇਜ਼ਬੇਲ ਦੇ ਪੋਤਰੇ ਬਰਕਯਾਹ ਦੇ ਪੁੱਤਰ ਮਸ਼ੁੱਲਾਮ ਨੇ ਮੁਰੰਮਤ ਕੀਤੀ, ਇਸ ਤੋਂ ਅੱਗੇ ਬਆਨਾਹ ਦੇ ਪੁੱਤਰ ਸਾਦੋਕ ਨੇ ਮੁਰੰਮਤ ਕੀਤੀ।
[IRV | PA | OT | Nehemiah | Chapter 3 | Verse 5] ਇਸ ਤੋਂ ਅੱਗੇ ਤਕੋਈਆਂ ਨੇ ਮੁਰੰਮਤ ਕੀਤੀ, ਪਰ ਉਨ੍ਹਾਂ ਦੇ ਸ਼ਰੀਫਾਂ ਨੇ ਆਪਣੇ ਸੁਆਮੀਆਂ ਦੀ ਸੇਵਾ ਲਈ ਆਪਣੇ ਸਿਰ ਨਾ ਝੁਕਾਏ।
[IRV | PA | OT | Nehemiah | Chapter 3 | Verse 6] ਫਿਰ ਪੁਰਾਣੇ ਫਾਟਕ ਦੀ ਮੁਰੰਮਤ ਪਾਸੇਆਹ ਦੇ ਪੁੱਤਰ ਯੋਯਾਦਾ ਨੇ ਅਤੇ ਬਸੋਦਯਾਹ ਦੇ ਪੁੱਤਰ ਮਸ਼ੁੱਲਾਮ ਨੇ ਕੀਤੀ। ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਦੀਆਂ ਕੜੀਆਂ ਲਗਾਈਆਂ ਅਤੇ ਉਸ ਦੇ ਦਰਵਾਜ਼ੇ, ਚਿਟਕਨੀਆਂ ਅਤੇ ਅਰਲ ਲਗਾਏ।
[IRV | PA | OT | Nehemiah | Chapter 3 | Verse 7] ਉਨ੍ਹਾਂ ਤੋਂ ਅੱਗੇ ਮਲਟਯਾਹ ਗਿਬਓਨੀ ਅਤੇ ਯਾਦੋਨ ਮੇਰੋਨੋਥੀ ਨੇ ਅਤੇ ਗਿਬਓਨ ਅਤੇ ਮਿਸਪਾਹ ਦੇ ਮਨੁੱਖਾਂ ਨੇ ਜੋ ਦਰਿਆ ਪਾਰ ਦੇ ਸੂਬੇ ਦੇ ਹਾਕਮ ਦੀ ਰਾਜ ਗੱਦੀ ਵਿੱਚੋਂ ਸਨ, ਮੁਰੰਮਤ ਕੀਤੀ।
[IRV | PA | OT | Nehemiah | Chapter 3 | Verse 8] ਉਨ੍ਹਾਂ ਤੋਂ ਅੱਗੇ ਹਰਹਯਾਹ ਦੇ ਪੁੱਤਰ ਉੱਜ਼ੀਏਲ ਅਤੇ ਹੋਰ ਸੁਨਿਆਰਾਂ ਨੇ ਮੁਰੰਮਤ ਕੀਤੀ, ਉਨ੍ਹਾਂ ਤੋਂ ਅੱਗੇ ਅਤਾਰਾਂ (ਅੱਤਰ ਬਣਾਉਣ ਵਾਲੇ) ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਹਨਨਯਾਹ ਨੇ ਮੁਰੰਮਤ ਕੀਤੀ, ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਚੌੜੀ ਕੰਧ ਤੱਕ ਯਰੂਸ਼ਲਮ ਨੂੰ ਬਣਾ ਦਿੱਤਾ।
[IRV | PA | OT | Nehemiah | Chapter 3 | Verse 9] ਉਨ੍ਹਾਂ ਤੋਂ ਅੱਗੇ ਹੂਰ ਦੇ ਪੁੱਤਰ ਰਫ਼ਾਯਾਹ ਨੇ ਜੋ ਯਰੂਸ਼ਲਮ ਦੇ ਅੱਧੇ ਜ਼ਿਲ੍ਹੇ ਦਾ ਹਾਕਮ ਸੀ, ਮੁਰੰਮਤ ਕੀਤੀ।
[IRV | PA | OT | Nehemiah | Chapter 3 | Verse 10] ਇਸ ਤੋਂ ਅੱਗੇ ਹਰੂਮਫ਼ ਦੇ ਪੁੱਤਰ ਯਦਾਯਾਹ ਨੇ ਆਪਣੇ ਹੀ ਘਰ ਦੇ ਅੱਗੇ ਮੁਰੰਮਤ ਕੀਤੀ ਅਤੇ ਉਸ ਤੋਂ ਅੱਗੇ ਹਸ਼ਬਨਯਾਹ ਦੇ ਪੁੱਤਰ ਹੱਟੂਸ਼ ਨੇ ਮੁਰੰਮਤ ਕੀਤੀ।
[IRV | PA | OT | Nehemiah | Chapter 3 | Verse 11] ਹਾਰੀਮ ਦੇ ਪੁੱਤਰ ਮਲਕੀਯਾਹ ਅਤੇ ਪਹਥ-ਮੋਆਬ ਦੇ ਪੁੱਤਰ ਹਸ਼ੂਬ ਨੇ ਦੂਜੇ ਹਿੱਸੇ ਦੀ ਅਤੇ ਤੰਦੂਰਾਂ ਦੇ ਬੁਰਜ਼ ਦੀ ਮੁਰੰਮਤ ਕੀਤੀ।
