[IRV | PA | OT | Nehemiah | Chapter 5 | Verse 1] ਤਦ ਲੋਕਾਂ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀਆਂ ਪਤਨੀਆਂ ਦੇ ਵੱਲੋਂ ਉਨ੍ਹਾਂ ਦੇ ਯਹੂਦੀ ਭਰਾਵਾਂ ਦੇ ਵਿਰੁੱਧ ਇੱਕ ਵੱਡੀ ਦੁਹਾਈ ਮੱਚ ਗਈ।
[IRV | PA | OT | Nehemiah | Chapter 5 | Verse 2] ਕੁਝ ਤਾਂ ਕਹਿੰਦੇ ਸਨ, “ਅਸੀਂ ਆਪਣੇ ਪੁੱਤਰ ਅਤੇ ਧੀਆਂ ਸਮੇਤ ਬਹੁਤ ਸਾਰੇ ਹਾਂ। ਸਾਨੂੰ ਅੰਨ ਦਿੱਤਾ ਜਾਵੇ, ਜੋ ਅਸੀਂ ਖਾ ਕੇ ਜੀਉਂਦੇ ਰਹੀਏ।”
[IRV | PA | OT | Nehemiah | Chapter 5 | Verse 3] ਅਤੇ ਕੁਝ ਹੋਰ ਸਨ ਜਿਹੜੇ ਕਹਿੰਦੇ ਸਨ, “ਅਸੀਂ ਆਪਣੇ ਖੇਤ, ਆਪਣੇ ਅੰਗੂਰੀ ਬਾਗ਼ ਅਤੇ ਆਪਣੇ ਘਰ ਗਿਰਵੀ ਰੱਖ ਦਿੱਤੇ ਹਨ ਤਾਂ ਜੋ ਅਸੀਂ ਕਾਲ ਦੇ ਸਮੇਂ ਅੰਨ ਲੈ ਸਕੀਏ।”
[IRV | PA | OT | Nehemiah | Chapter 5 | Verse 4] ਪਰ ਕੁਝ ਹੋਰ ਕਹਿੰਦੇ ਸਨ, “ਅਸੀਂ ਆਪਣੇ ਖੇਤਾਂ ਅਤੇ ਆਪਣੇ ਅੰਗੂਰੀ ਬਾਗ਼ਾਂ ਨੂੰ ਗਿਰਵੀ ਰੱਖ ਕੇ ਰਾਜਾ ਦਾ ਲਗਾਨ ਚੁਕਾਉਣ ਲਈ ਚਾਂਦੀ ਉਧਾਰ ਲਈ ਹੈ।
[IRV | PA | OT | Nehemiah | Chapter 5 | Verse 5] ਹੁਣ ਸਾਡਾ ਸਰੀਰ, ਸਾਡੇ ਭਰਾਵਾਂ ਦੇ ਸਰੀਰ ਵਰਗਾ ਅਤੇ ਸਾਡੇ ਬੱਚੇ ਉਨ੍ਹਾਂ ਦੇ ਬੱਚਿਆਂ ਵਰਗੇ ਹਨ, ਤਾਂ ਵੀ ਅਸੀਂ ਆਪਣੇ ਪੁੱਤਰਾਂ ਅਤੇ ਆਪਣੀਆਂ ਧੀਆਂ ਨੂੰ ਗ਼ੁਲਾਮੀ ਵਿੱਚ ਦਿੰਦੇ ਹਾਂ ਸਗੋਂ ਸਾਡੀਆਂ ਧੀਆਂ ਵਿੱਚੋਂ ਕੁਝ ਦਾਸੀਆਂ ਵੀ ਬਣ ਚੁੱਕੀਆਂ ਹਨ ਅਤੇ ਸਾਡਾ ਕੁਝ ਵੱਸ ਨਹੀਂ ਚਲਦਾ ਕਿਉਂ ਜੋ ਸਾਡੇ ਖੇਤ ਅਤੇ ਅੰਗੂਰੀ ਬਾਗ਼ ਦੂਜਿਆਂ ਦੇ ਹੱਥ ਵਿੱਚ ਹਨ।”
[IRV | PA | OT | Nehemiah | Chapter 5 | Verse 6] ਜਦੋਂ ਮੈਂ ਉਨ੍ਹਾਂ ਦੀ ਦੁਹਾਈ ਨੂੰ ਅਤੇ ਇਨ੍ਹਾਂ ਗੱਲਾਂ ਨੂੰ ਸੁਣਿਆ ਤਾਂ ਮੈਨੂੰ ਬਹੁਤ ਗੁੱਸਾ ਚੜ੍ਹਿਆ
[IRV | PA | OT | Nehemiah | Chapter 5 | Verse 7] ਅਤੇ ਮੈਂ ਆਪਣੇ ਮਨ ਵਿੱਚ ਵਿਚਾਰ ਕੀਤਾ ਅਤੇ ਸਾਮੰਤਾਂ ਅਤੇ ਹਾਕਮਾਂ ਨੂੰ ਝਿੜਕਿਆ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕਿਹਾ, “ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਹਰ ਇੱਕ ਮਨੁੱਖ ਆਪਣੇ ਭਰਾ ਤੋਂ ਬਿਆਜ ਲੈਂਦਾ ਹੈ।” ਤਦ ਮੈਂ ਉਨ੍ਹਾਂ ਦੇ ਵਿਰੁੱਧ ਇੱਕ ਵੱਡੀ ਸਭਾ ਇਕੱਠੀ ਕੀਤੀ
[IRV | PA | OT | Nehemiah | Chapter 5 | Verse 8] ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਕਿਹਾ, “ਅਸੀਂ ਆਪਣੀ ਸਮਰੱਥਾ ਦੇ ਅਨੁਸਾਰ ਆਪਣੇ ਯਹੂਦੀ ਭਰਾਵਾਂ ਨੂੰ ਜਿਹੜੇ ਗੈਰ ਕੌਮਾਂ ਦੇ ਹੱਥ ਵੇਚੇ ਗਏ ਸਨ ਛੁਡਾਇਆ ਹੈ, ਹੁਣ ਕੀ ਤੁਸੀਂ ਆਪਣੇ ਭਰਾਵਾਂ ਨੂੰ ਵੇਚੋਗੇ? ਕੀ ਉਹ ਫਿਰ ਸਾਡੇ ਹੱਥਾਂ ਤੋਂ ਵੇਚੇ ਜਾਣਗੇ?” ਤਦ ਉਹ ਚੁੱਪ ਹੋ ਗਏ ਅਤੇ ਕੁਝ ਨਾ ਬੋਲੇ
[IRV | PA | OT | Nehemiah | Chapter 5 | Verse 9] ਮੈਂ ਫਿਰ ਕਿਹਾ, “ਇਹ ਕੰਮ ਜੋ ਤੁਸੀਂ ਕਰਦੇ ਹੋ ਉਹ ਚੰਗਾ ਨਹੀਂ ਹੈ, ਕੀ ਤੁਹਾਨੂੰ ਇਸ ਕਾਰਨ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭੈਅ ਵਿੱਚ ਨਹੀਂ ਚੱਲਣਾ ਚਾਹੀਦਾ ਤਾਂ ਜੋ ਸਾਡੇ ਗੈਰ-ਕੌਮੀ ਦੁਸ਼ਮਣ ਸਾਡਾ ਨਿਰਾਦਰ ਨਾ ਕਰਨ?
[IRV | PA | OT | Nehemiah | Chapter 5 | Verse 10] ਮੈਂ ਅਤੇ ਮੇਰੇ ਭਰਾ ਅਤੇ ਮੇਰੇ ਜੁਆਨ ਵੀ ਉਨ੍ਹਾਂ ਨੂੰ ਰੁਪਿਆ ਅਤੇ ਅੰਨ ਉਧਾਰ ਦਿੰਦੇ ਹਾਂ। ਪਰ ਬਿਆਜ ਲੈਣਾ ਬੰਦ ਕੀਤਾ ਜਾਵੇ!
[IRV | PA | OT | Nehemiah | Chapter 5 | Verse 11] ਕਿਰਪਾ ਕਰ ਕੇ ਅੱਜ ਹੀ ਉਨ੍ਹਾਂ ਦੇ ਖੇਤ, ਅੰਗੂਰੀ ਬਾਗ਼, ਜ਼ੈਤੂਨ ਦੇ ਬਾਗ਼ ਅਤੇ ਨਾਲ ਹੀ ਉਨ੍ਹਾਂ ਦੇ ਘਰ ਉਨ੍ਹਾਂ ਨੂੰ ਮੋੜ ਦਿਉ, ਅਤੇ ਜੋ ਰੁਪਿਆ, ਅੰਨ, ਨਵੀਂ ਮਧ ਅਤੇ ਤੇਲ ਜੋ ਤੁਸੀਂ ਜ਼ਬਰਦਸਤੀ ਉਨ੍ਹਾਂ ਤੋਂ ਲਿਆ ਹੈ, ਉਸ ਦਾ ਸੌਵਾਂ ਹਿੱਸਾ ਉਨ੍ਹਾਂ ਨੂੰ ਮੋੜ ਦਿਉ।”
