[IRV | PA | OT | Nehemiah | Chapter 11 | Verse 1] ਪਰਜਾ ਦੇ ਹਾਕਮ ਤਾਂ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਰਹਿੰਦੇ ਸਨ ਅਤੇ ਬਾਕੀ ਲੋਕਾਂ ਨੇ ਇਹ ਠਹਿਰਾਉਣ ਲਈ ਪਰਚੀਆਂ ਪਾਈਆਂ ਕਿ ਦਸ ਵਿੱਚੋਂ ਇੱਕ ਮਨੁੱਖ ਪਵਿੱਤਰ ਸ਼ਹਿਰ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਵੱਸ ਜਾਵੇ ਅਤੇ ਬਾਕੀ ਨੌ ਹੋਰ ਸ਼ਹਿਰਾਂ ਵਿੱਚ ਵੱਸ ਜਾਣ।
[IRV | PA | OT | Nehemiah | Chapter 11 | Verse 2] ਪਰਜਾ ਨੇ ਉਨ੍ਹਾਂ ਸਾਰੇ ਮਨੁੱਖਾਂ ਨੂੰ ਅਸੀਸ ਦਿੱਤੀ, ਜਿਨ੍ਹਾਂ ਨੇ ਖੁਸ਼ੀ ਨਾਲ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਵੱਸਣ ਲਈ ਆਪਣੇ ਆਪ ਨੂੰ ਪੇਸ਼ ਕੀਤਾ।
[IRV | PA | OT | Nehemiah | Chapter 11 | Verse 3] ਇਹ ਉਸ ਸੂਬੇ ਦੇ ਆਗੂ ਹਨ ਜਿਹੜੇ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਵੱਸ ਗਏ ਪਰ ਯਹੂਦਾਹ ਦੇ ਸ਼ਹਿਰਾਂ ਵਿੱਚ ਹਰ ਮਨੁੱਖ ਆਪਣੀ ਨਿੱਜ ਭੂਮੀ ਵਿੱਚ ਵੱਸਦਾ ਸੀ ਅਰਥਾਤ ਇਸਰਾਏਲੀ, ਜਾਜਕ, ਲੇਵੀ, ਨਥੀਨੀਮ (ਭਵਨ ਦੇ ਸੇਵਕ) ਅਤੇ ਸੁਲੇਮਾਨ ਦੀ ਸੇਵਕਾਂ ਦੀ ਸੰਤਾਨ
[IRV | PA | OT | Nehemiah | Chapter 11 | Verse 4] ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਯਹੂਦਾਹ ਅਤੇ ਬਿਨਯਾਮੀਨੀਆਂ ਵਿੱਚੋਂ ਕੁਝ ਲੋਕ ਰਹਿੰਦੇ ਸਨ। ਯਹੂਦਾਹ ਦੇ ਵੰਸ਼ ਵਿੱਚੋਂ ਅਥਾਯਾਹ ਜੋ ਉੱਜ਼ੀਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਜ਼ਕਰਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਅਮਰਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਸ਼ਫਟਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਮਹਲਲੇਲ ਦਾ ਪੁੱਤਰ ਜੋ ਪਰਸ ਦੇ ਵੰਸ਼ ਵਿੱਚੋਂ ਸੀ,
[IRV | PA | OT | Nehemiah | Chapter 11 | Verse 5] ਅਤੇ ਮਅਸੇਯਾਹ ਜੋ ਬਾਰੂਕ ਦਾ ਪੁੱਤਰ, ਉਹ ਕਾਲਹੋਜ਼ਾ ਦਾ ਪੁੱਤਰ, ਉਹ ਹਜ਼ਾਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਅਦਾਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਯੋਯਾਰੀਬ ਦਾ ਪੁੱਤਰ, ਉਹ ਜ਼ਕਰਯਾਹ ਦਾ ਪੁੱਤਰ ਅਤੇ ਉਹ ਸ਼ਿਲੋਨੀ ਦਾ ਪੁੱਤਰ ਸੀ।
[IRV | PA | OT | Nehemiah | Chapter 11 | Verse 6] ਪਰਸ ਦੀ ਵੰਸ਼ ਦੇ ਜੋ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਵੱਸ ਗਏ ਕੁੱਲ ਚਾਰ ਸੋ ਅਠਾਹਟ ਸੂਰਬੀਰ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 11 | Verse 7] ਬਿਨਯਾਮੀਨੀਆਂ ਵਿੱਚੋਂ ਸੱਲੂ ਜੋ ਮਸ਼ੁੱਲਾਮ ਦਾ ਪੁੱਤਰ, ਉਹ ਯੋਏਦ ਦਾ ਪੁੱਤਰ, ਉਹ ਪਦਾਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਕੋਲਾਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਮਅਸੇਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਈਥੀਏਲ ਦਾ ਪੁੱਤਰ, ਉਹ ਯਿਸ਼ਅਯਾਹ ਦਾ ਪੁੱਤਰ ਸੀ।
[IRV | PA | OT | Nehemiah | Chapter 11 | Verse 8] ਉਸ ਦੇ ਬਾਅਦ ਗੱਬੀ ਅਤੇ ਸੱਲਾਈ ਜਿਨ੍ਹਾਂ ਦੇ ਨਾਲ ਨੌ ਸੌ ਅਠਾਈ ਪੁਰਖ ਸਨ।
[IRV | PA | OT | Nehemiah | Chapter 11 | Verse 9] ਇਨ੍ਹਾਂ ਦਾ ਪ੍ਰਧਾਨ ਜ਼ਿਕਰੀ ਦਾ ਪੁੱਤਰ ਯੋਏਲ ਸੀ ਅਤੇ ਹਸਨੂਆਹ ਦਾ ਪੁੱਤਰ ਯਹੂਦਾਹ ਉਨ੍ਹਾਂ ਸ਼ਹਿਰਾਂ ਉੱਤੇ ਦੂਜੇ ਦਰਜੇ ਦਾ ਪ੍ਰਧਾਨ ਸੀ।
[IRV | PA | OT | Nehemiah | Chapter 11 | Verse 10] ਜਾਜਕਾਂ ਵਿੱਚੋਂ ਯੋਯਾਰੀਬ ਦਾ ਪੁੱਤਰ ਯਦਾਯਾਹ ਅਤੇ ਯਾਕੀਨ,
[IRV | PA | OT | Nehemiah | Chapter 11 | Verse 11] ਅਤੇ ਸਰਾਯਾਹ ਜੋ ਹਿਲਕੀਯਾਹ ਦਾ ਪੁੱਤਰ, ਉਹ ਮਸ਼ੁੱਲਾਮ ਦਾ ਪੁੱਤਰ, ਉਹ ਸਾਦੋਕ ਦਾ ਪੁੱਤਰ, ਉਹ ਮਰਾਯੋਥ ਦਾ ਪੁੱਤਰ, ਉਹ ਅਹੀਟੂਬ ਦਾ ਪੁੱਤਰ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭਵਨ ਦਾ ਪ੍ਰਧਾਨ ਸੀ,
