[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 1] మేము గోడలు నిలబెట్టడం మొదలు పెట్టిన విషయం సన్బల్లటుకు తెలిసింది. అతడు తీవ్ర కోపంతో మండిపడుతూ యూదులను ఎగతాళి చేశాడు.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 2] షోమ్రోను సైన్యం వారితో, తన స్నేహితులతో ఇలా అన్నాడు. “అల్పులైన ఈ యూదులు ఏం చేయగలరు? తమంత తామే ఈ పట్టణాన్ని తిరిగి కట్టగలరా? బలులు అర్పించి బలం తెచ్చుకుని ఒక్క రోజులోనే పని పూర్తి చేస్తారా? కాలిపోయిన శిథిలాల కుప్పల నుండి ఏరిన రాళ్ళను పునాదులుగా వాడతారా?”
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 3] అమ్మోనీయుడు టోబీయా అతని దగ్గరుండి “వీళ్ళు కట్టిన గోడపై ఒక నక్క ఎగిరితే ఆ గాలికి గోడ పడిపోతుంది” అన్నాడు.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 4] “మా దేవా, మా ప్రార్థన విను. మేము తృణీకారానికి గురి అయిన వాళ్ళం. వారు మాపై వేసే నిందలు వారి మీదికే వచ్చేలా చెయ్యి. వారు ఓడిపోవాలి. వారు బందీలుగా పోయే దేశంలో శత్రువులు వారిని దోచుకోవాలి.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 5] వారు ఆలయం కట్టే వారిని ఆటంకపరచి నీకు కోపం తెప్పించారు. కాబట్టి వారి దోషాన్ని బట్టి వారిని విడిచిపెట్టవద్దు. నీ దృష్టిలో నుంచి వారి పాపాన్ని తీసివేయ వద్దు.”
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 6] అయినప్పటికీ పని కొనసాగించడానికి ప్రజలు ఇష్టపడి సిద్ధమయ్యారు. మేము గోడ కడుతూ ఉన్నాం. గోడ నిర్మాణం సగం ఎత్తు వరకూ పూర్తి అయింది.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 7] యెరూషలేం గోడల నిర్మాణం జరుగుతూ ఉందని, కూలిన గోడలను సరిగా కడుతున్నారని, సన్బల్లటు, టోబీయా, అరబ్బులు, అమ్మోను వారు, అష్డోదు వారు తెలుసుకుని మండిపడ్డారు.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 8] జరుగుతున్న పనిని ఆటంకపరచాలని యెరూషలేం మీదికి దొమ్మీగా వచ్చి మమ్మల్ని కలవరానికి గురి చేశారు.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 9] మేము మా దేవునికి ప్రార్థన చేసి, వాళ్ళ బెదిరింపుల వల్ల రాత్రింబగళ్లు కాపలా ఉంచాము.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 10] అప్పుడు యూదా వాళ్ళు “బరువులు మోసేవారి శక్తి తగ్గిపోయింది, శిథిలాల కుప్పలు ఎక్కువై పోయాయి. గోడ కట్టడం కుదరదు” అన్నారు.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 11] మా విరోధులు “వాళ్ళకు తెలియకుండా, వాళ్ళు చూడకుండా మనం వారి మధ్యలోకి చొరబడి వారిని చంపేసి, పని జరగకుండా చేద్దాం” అనుకున్నారు.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 12] మా శత్రువులు ఉండే ప్రాంతాల్లో ఉంటున్న యూదులు, నాలుగు దిక్కుల నుండి వచ్చి మాకు సహాయం చేయాలని పదే పదే అడిగారు.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 13] అందువల్ల గోడ వెనక ఉన్న పల్లంలో, గోడ పైనా మనుషులకు కత్తులు, ఈటెలు, విల్లు, బాణాలు ఇచ్చి వారి వారి వంశాల ప్రకారం వరసలో నిలబెట్టాను.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 14] నేను లేచి, ప్రధానులను, అధికారులను సమకూర్చి “మీరు వాళ్లకు భయపడకండి. అత్యంత ప్రభావశాలి, భీకరుడైన యెహోవాను జ్ఞాపకం చేసుకొనండి. మీ సహోదరులు, మీ కుమారులు, మీ కుమార్తెలు, మీ భార్యలు, మీ నివాసాలు శత్రువుల వశం కాకుండా వారితో పోరాడండి” అన్నాను.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 15] వాళ్ళు చేస్తున్న పన్నాగం మాకు తెలిసిందనీ, దేవుడు దాన్ని వమ్ము చేశాడనీ మా శత్రువులు గ్రహించారు. మేమంతా ఎవరి పని కోసం వారు గోడ దగ్గరికి చేరుకొన్నాం.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 16] అప్పటినుండి పనివాళ్ళలో సగం మంది పనిచేస్తుండగా, మరో సగం మంది ఈటెలు, శూలాలు, విల్లంబులు, కవచాలు ధరించుకుని నిలబడ్డారు. గోడ కట్టే యూదు ప్రజల వెనుక అధికారులు వంశాల క్రమంలో నిలబడ్డారు.
[IRV | TE | OT | Nehemiah | Chapter 4 | Verse 17] గోడ కట్టేవారు, బరువులు మోసేవారు, ఎత్తేవారు ప్రతి ఒక్కరూ ఒక చేత్తో ఆయుధం పట్టుకుని మరో చేత్తో పని చేస్తున్నారు.
