[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 1] ప్రజల అధికారులు యెరూషలేంలో నివాసం ఏర్పరచుకున్నారు. మిగిలిన ప్రజల్లో పదిమందిలో ఒకడు పరిశుద్ధ పట్టణం యెరూషలేంలో నివసించాలనీ, మిగిలిన తొమ్మిదిమంది వేరు వేరు పట్టణాల్లో నివసించాలనీ చీట్లు వేసి నిర్ణయించారు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 2] యెరూషలేంలో నివసించడానికి సంతోషంగా అంగీకరించిన వారిని ప్రజలు దీవించారు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 3] ఇశ్రాయేలీయులు, యాజకులు, లేవీయులు, దేవాలయ సేవకులు, సొలొమోను సేవకుల వంశాలవారు, దేశంలో ప్రముఖులు యెరూషలేం, యూదా పట్టణాల్లో వారికి నిర్దేశించిన ప్రాంతాల్లో నివసించారు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 4] యూదుల నాయకుల్లో కొందరు, బెన్యామీనీయుల నాయకుల్లో కొందరు యెరూషలేంలో నివాసం ఏర్పరచుకున్నారు. యూదుల నాయకుల జాబితాలో ఉన్నవారు ఎవరంటే, జెకర్యా మనవడు ఉజ్జియా కొడుకు అతాయా. జెకర్యా తండ్రి అమర్యా, అమర్యా తండ్రి షెఫట్య, షెఫట్య తండ్రి పెరెసు వంశీకుడైన మహలలేలు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 5] కొల్హోజె మనవడు బారూకు కొడుకు అయిన మయశేయా. కొల్హోజె తండ్రి హజాయా, హజయా తండ్రి అదాయా, అదాయా తండ్రి యోయారీబు, యోయారీబు తండ్రి జెకర్యా. జెకర్యా షెలా వంశం వాడు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 6] యెరూషలేంలో నివసించిన పెరెసు వంశంవారు పరాక్రమవంతులైన 468 మంది.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 7] బెన్యామీనీయుల వంశంలో ఉన్నవారు, యోవేదు మనవడు, మెషుల్లాము కొడుకు సల్లు. పెదాయా కొడుకు యావేరు, కోలాయా కొడుకు మయశేయా, మయశేయా కొడుకు కాలాయా, ఈతీయేలు కొడుకు మయసీయా, మయసీయా కొడుకు యెషయా.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 8] సల్లును అనుసరించి వీరి అనుచరులు గబ్బయి, సల్లయి. వీరంతా మొత్తం 928 మంది.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 9] జిఖ్రీ కొడుకు యోవేలు వారికి నాయకుడుగా ఉన్నాడు. సెనూయా కొడుకు యూదా ఆ పట్టణపు అధికారుల్లో రెండవ స్థానంలో ఉన్నాడు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 10] యాజకుల్లో, యోయారీబు కొడుకులు యెదాయా, యాకీను.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 11] శెరాయా దేవుని మందిరంలో అధిపతిగా ఉన్నాడు. ఇతడు మెషుల్లాము, సాదోకు, మెరాయోతు, అహీటూబుల పూర్వీకుల క్రమంలో హిల్కీయాకు పుట్టాడు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 12] నిర్మాణ పని చేసినవాళ్ళ బంధువులు 822 మంది, పూర్వీకులైన మల్కీయా, పషూరు, జెకర్యా, అమీజు, పెలల్యాల క్రమంలో యెరోహాముకు పుట్టిన అదాయా.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 13] పెద్దల్లో ప్రముఖులైన అదాయా బంధువులు 242 మంది. పూర్వీకులైన ఇమ్మేరు, మెషిల్లేమోతె, అహజైయల క్రమంలో అజరేలుకు పుట్టిన అమష్షయి.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 14] పరాక్రమం గలవారి బంధువులు 128 మంది. వీరి నాయకుడు హగ్గేదోలిము కొడుకు జబ్దీయేలు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 15] లేవీయుల నుండి షెమయా. ఇతడు అజ్రీకాము మనవడు, హష్షూబు కొడుకు. అజ్రీకాము హషబ్యా కొడుకు, హషబ్యా బున్నీ కొడుకు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 16] లేవీయుల్లో ప్రముఖులైన షబ్బెతై, యోజాబాదులకు దేవుని మందిరం బయటి పనుల నిర్వహించే అధికారం ఇచ్చారు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 17] ఆసాపుకు పుట్టిన జబ్దికి మనుమడూ, మీకా కొడుకు అయిన మత్తన్యా ప్రార్థన, స్తుతి గీతాల నిర్వహణలో ప్రవీణుడు. అతనికి సహాయులుగా తన సహోదరుల్లో బక్బుక్యా, యెదూతూ కొడుకు గాలాలు మనవడు షమ్మూయ కొడుకు అబ్దా ఉన్నారు.
[IRV | TE | OT | Nehemiah | Chapter 11 | Verse 18] పరిశుద్ధ పట్టణంలో నివాసమున్న లేవీయుల సంఖ్య 284 మంది.
