[KJV | EN | OT | Numbers | Chapter 10 | Verse 1] And the Lord spake unto Moses, saying,
[KJV | EN | OT | Numbers | Chapter 10 | Verse 2] Make thee two trumpets of silver; of a whole piece thou shalt make them: that thou mayest use them for the calling of the assembly, and for the journeying of the camps.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 3] And when they shall blow with them, all the assembly shall assemble themselves to thee at the door of the tabernacle of the congregation.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 4] And if they blow but with one trumpet, then the princes, which are heads of the thousands of Israel, shall gather themselves unto thee.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 5] When ye blow an alarm, then the camps that lie on the east parts shall go forward.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 6] When you blow an alarm the second time, then the camps that lie on the south side shall take their journey: they shall blow an alarm for their journeys.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 7] But when the congregation is to be gathered together, you shall blow, but you shall not sound an alarm.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 8] And the sons of Aaron, the priests, shall blow with the trumpets; and they shall be to you for an ordinance for ever throughout your generations.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 9] And if ye go to war in your land against the enemy that oppresseth you, then ye shall blow an alarm with the trumpets; and ye shall be remembered before the Lord your God, and ye shall be saved from your enemies.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 10] Also in the day of your gladness, and in your solemn days, and in the beginnings of your months, ye shall blow with the trumpets over your burnt offerings, and over the sacrifices of your peace offerings; that they may be to you for a memorial before your God: I am the Lord your God.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 11] And it came to pass on the twentieth day of the second month, in the second year, that the cloud was taken up from off the tabernacle of the Testimony.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 12] And the children of Israel took their journeys out of the wilderness of Sinai; and the cloud rested in the wilderness of Paran.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 13] And they first took their journey according to the commandment of the Lord by the hand of Moses.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 14] In the first place went the standard of the camp of the children of Judah according to their armies: and over his host was Nahshon the son of Amminadab.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 15] And over the host of the tribe of the children of Issachar was Nethaneel the son of Zuar.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 16] And over the host of the tribe of the children of Zebulun was Eliab the son of Helon.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 17] And the tabernacle was taken down; and the sons of Gershon and the sons of Merari set forward, bearing the tabernacle.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 18] And the standard of the camp of Reuben set forward according to their armies: and over his host was Elizur the son of Shedeur.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 19] And over the host of the tribe of the children of Simeon was Shelumiel the son of Zurishaddai.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 20] And over the host of the tribe of the children of Gad was Eliasaph the son of Deuel.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 21] And the Kohathites set forward, bearing the sanctuary: and the other did set up the tabernacle against they came.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 22] And the standard of the camp of the children of Ephraim set forward according to their armies: and over his host was Elishama the son of Ammihud.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 23] And over the host of the tribe of the children of Manasseh was Gamaliel the son of Pedahzur.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 24] And over the host of the tribe of the children of Benjamin was Abidan the son of Gideoni.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 25] And the standard of the camp of the children of Dan set forward, which was the rereward of all the camps throughout their hosts: and over his host was Ahiezer the son of Ammishaddai.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 26] And over the host of the tribe of the children of Asher was Pagiel the son of Ocran.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 27] And over the host of the tribe of the children of Naphtali was Ahira the son of Enan.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 28] Thus were the journeyings of the children of Israel according to their armies, when they set forward.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 29] And Moses said unto Hobab, the son of Raguel the Midianite, Moses’ father in law, We are journeying unto the place of which the Lord said, I will give it you: come thou with us, and we will do thee good: for the Lord hath spoken good concerning Israel.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 30] And he said unto him, I will not go; but I will depart to mine own land, and to my kindred.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 31] And he said, Leave us not, I pray thee; forasmuch as thou knowest how we are to encamp in the wilderness, and thou mayest be to us instead of eyes.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 32] And it shall be, if thou go with us, yea, it shall be, that what goodness the Lord shall do unto us, the same will we do unto thee.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 33] And they departed from the mount of the Lord three days’ journey: and the ark of the covenant of the Lord went before them in the three days’ journey, to search out a resting place for them.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 34] And the cloud of the Lord was upon them by day, when they went out of the camp.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 35] And it came to pass, when the ark set forward, that Moses said, Rise up, Lord, and let thine enemies be scattered; And let them that hate thee flee before thee.
[KJV | EN | OT | Numbers | Chapter 10 | Verse 36] And when it rested, he said, Return, O Lord, unto the many thousands of Israel.
