[KJV | EN | OT | Numbers | Chapter 4 | Verse 1] And the Lord spake unto Moses and unto Aaron, saying,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 2] Take the sum of the sons of Kohath from among the sons of Levi, after their families, by the house of their fathers,
[KJV | EN | OT | Numbers | Chapter 4 | Verse 3] from thirty years old and upward even until fifty years old, all that enter into the host, to do the work in the tabernacle of the congregation.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 4] This shall be the service of the sons of Kohath in the tabernacle of the congregation, about the most holy things:
[KJV | EN | OT | Numbers | Chapter 4 | Verse 5] and when the camp setteth forward, Aaron shall come, and his sons, and they shall take down the covering vail, and cover the ark of Testimony with it:
[KJV | EN | OT | Numbers | Chapter 4 | Verse 6] and shall put thereon the covering of badgers’ skins, and shall spread over it a cloth wholly of blue, and shall put in the staves thereof.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 7] And upon the table of shewbread they shall spread a cloth of blue, and put thereon the dishes, and the spoons, and the bowls, and covers to cover withal: and the continual bread shall be thereon:
[KJV | EN | OT | Numbers | Chapter 4 | Verse 8] and they shall spread upon them a cloth of scarlet, and cover the same with a covering of badgers’ skins, and shall put in the staves thereof.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 9] And they shall take a cloth of blue, and cover the candlestick of the light, and his lamps, and his tongs, and his snuffdishes, and all the oil vessels thereof, wherewith they minister unto it:
[KJV | EN | OT | Numbers | Chapter 4 | Verse 10] and they shall put it and all the vessels thereof within a covering of badgers’ skins, and shall put it upon a bar.
[KJV | EN | OT | Numbers | Chapter 4 | Verse 11] And upon the golden altar they shall spread a cloth of blue, and cover it with a covering of badgers’ skins, and shall put to the staves thereof:
[KJV | EN | OT | Numbers | Chapter 4 | Verse 12] and they shall take all the instruments of ministry, wherewith they minister in the sanctuary, and put them in a cloth of blue, and cover them with a covering of badgers’ skins, and shall put them on a bar:
[KJV | EN | OT | Numbers | Chapter 4 | Verse 13] and they shall take away the ashes from the altar, and spread a purple cloth thereon:
[KJV | EN | OT | Numbers | Chapter 4 | Verse 14] and they shall put upon it all the vessels thereof, wherewith they minister about it, even the censers, the fleshhooks, and the shovels, and the basons, all the vessels of the altar; and they shall spread upon it a covering of badgers’ skins, and put to the staves of it.
