[KJV | EN | OT | Numbers | Chapter 3 | Verse 1] These also are the generations of Aaron and Moses in the day that the Lord spake with Moses in mount Sinai.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 2] And these are the names of the sons of Aaron; Nadab the firstborn, and Abihu, Eleazar, and Ithamar.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 3] These are the names of the sons of Aaron, the priests which were anointed, whom he consecrated to minister in the priest’s office.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 4] And Nadab and Abihu died before the Lord, when they offered strange fire before the Lord, in the wilderness of Sinai, and they had no children: and Eleazar and Ithamar ministered in the priest’s office in the sight of Aaron their father.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 5] And the Lord spake unto Moses, saying,
[KJV | EN | OT | Numbers | Chapter 3 | Verse 6] Bring the tribe of Levi near, and present them before Aaron the priest, that they may minister unto him.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 7] And they shall keep his charge, and the charge of the whole congregation before the tabernacle of the congregation, to do the service of the tabernacle.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 8] And they shall keep all the instruments of the tabernacle of the congregation, and the charge of the children of Israel, to do the service of the tabernacle.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 9] And thou shalt give the Levites unto Aaron and to his sons: they are wholly given unto him out of the children of Israel.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 10] And thou shalt appoint Aaron and his sons, and they shall wait on their priest’s office: and the stranger that cometh nigh shall be put to death.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 11] And the Lord spake unto Moses, saying,
[KJV | EN | OT | Numbers | Chapter 3 | Verse 12] And I, behold, I have taken the Levites from among the children of Israel instead of all the firstborn that openeth the matrix among the children of Israel: therefore the Levites shall be mine;
[KJV | EN | OT | Numbers | Chapter 3 | Verse 13] because all the firstborn are mine; for on the day that I smote all the firstborn in the land of Egypt I hallowed unto me all the firstborn in Israel, both man and beast: mine they shall be: I am the Lord.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 14] And the Lord spake unto Moses in the wilderness of Sinai, saying,
[KJV | EN | OT | Numbers | Chapter 3 | Verse 15] Number the children of Levi after the house of their fathers, by their families: every male from a month old and upward shalt thou number them.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 16] And Moses numbered them according to the word of the Lord, as he was commanded.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 17] And these were the sons of Levi by their names; Gershon, and Kohath, and Merari.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 18] And these are the names of the sons of Gershon by their families; Libni, and Shimei.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 19] And the sons of Kohath by their families; Amram, and Izehar, Hebron, and Uzziel.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 20] And the sons of Merari by their families; Mahli, and Mushi. These are the families of the Levites according to the house of their fathers.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 21] Of Gershon was the family of the Libnites, and the family of the Shimites: these are the families of the Gershonites.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 22] Those that were numbered of them, according to the number of all the males, from a month old and upward, even those that were numbered of them were seven thousand and five hundred.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 23] The families of the Gershonites shall pitch behind the tabernacle westward.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 24] And the chief of the house of the father of the Gershonites shall be Eliasaph the son of Lael.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 25] And the charge of the sons of Gershon in the tabernacle of the congregation shall be the tabernacle, and the tent, the covering thereof, and the hanging for the door of the tabernacle of the congregation,
[KJV | EN | OT | Numbers | Chapter 3 | Verse 26] and the hangings of the court, and the curtain for the door of the court, which is by the tabernacle, and by the altar round about, and the cords of it for all the service thereof.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 27] And of Kohath was the family of the Amramites, and the family of the Izeharites, and the family of the Hebronites, and the family of the Uzzielites: these are the families of the Kohathites.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 28] In the number of all the males, from a month old and upward, were eight thousand and six hundred, keeping the charge of the sanctuary.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 29] The families of the sons of Kohath shall pitch on the side of the tabernacle southward.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 30] And the chief of the house of the father of the families of the Kohathites shall be Elizaphan the son of Uzziel.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 31] And their charge shall be the ark, and the table, and the candlestick, and the altars, and the vessels of the sanctuary wherewith they minister, and the hanging, and all the service thereof.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 32] And Eleazar the son of Aaron the priest shall be chief over the chief of the Levites, and have the oversight of them that keep the charge of the sanctuary.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 33] Of Merari was the family of the Mahlites, and the family of the Mushites: these are the families of Merari.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 34] And those that were numbered of them, according to the number of all the males, from a month old and upward, were six thousand and two hundred.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 35] And the chief of the house of the father of the families of Merari was Zuriel the son of Abihail: these shall pitch on the side of the tabernacle northwards.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 36] And under the custody and charge of the sons of Merari shall be the boards of the tabernacle, and the bars thereof, and the pillars thereof, and the sockets thereof, and all the vessels thereof, and all that serveth thereto,
[KJV | EN | OT | Numbers | Chapter 3 | Verse 37] and the pillars of the court round about, and their sockets, and their pins, and their cords.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 38] But those that encamp before the tabernacle toward the east, even before the tabernacle of the congregation eastward, shall be Moses, and Aaron and his sons, keeping the charge of the sanctuary for the charge of the children of Israel; and the stranger that cometh nigh shall be put to death.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 39] All that were numbered of the Levites, which Moses and Aaron numbered at the commandment of the Lord, throughout their families, all the males from a month old and upward, were twenty and two thousand.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 40] And the Lord said unto Moses, Number all the firstborn of the males of the children of Israel from a month old and upward, and take the number of their names.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 41] And thou shalt take the Levites for me (I am the Lord) instead of all the firstborn among the children of Israel; and the cattle of the Levites instead of all the firstlings among the cattle of the children of Israel.
[KJV | EN | OT | Numbers | Chapter 3 | Verse 42] And Moses numbered, as the Lord commanded him, all the firstborn among the children of Israel.
