[KJV | EN | OT | Numbers | Chapter 7 | Verse 1] And it came to pass on the day that Moses had fully set up the tabernacle, and had anointed it, and sanctified it, and all the instruments thereof, both the altar and all the vessels thereof, and had anointed them, and sanctified them;
[KJV | EN | OT | Numbers | Chapter 7 | Verse 2] that the princes of Israel, heads of the house of their fathers, who were the princes of the tribes, and were over them that were numbered, offered:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 3] and they brought their offering before the Lord, six covered wagons, and twelve oxen; a wagon for two of the princes, and for each one an ox: and they brought them before the tabernacle.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 4] And the Lord spake unto Moses, saying,
[KJV | EN | OT | Numbers | Chapter 7 | Verse 5] Take it of them, that they may be to do the service of the tabernacle of the congregation; and thou shalt give them unto the Levites, to every man according to his service.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 6] And Moses took the wagons and the oxen, and gave them unto the Levites.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 7] Two wagons and four oxen he gave unto the sons of Gershon, according to their service:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 8] and four wagons and eight oxen he gave unto the sons of Merari, according unto their service, under the hand of Ithamar the son of Aaron the priest.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 9] But unto the sons of Kohath he gave none: because the service of the sanctuary belonging unto them was that they should bear upon their shoulders.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 10] And the princes offered for dedicating of the altar in the day that it was anointed, even the princes offered their offering before the altar.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 11] And the Lord said unto Moses, They shall offer their offering, each prince on his day, for the dedicating of the altar.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 12] And he that offered his offering the first day was Nahshon the son of Amminadab, of the tribe of Judah:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 13] and his offering was one silver charger, the weight thereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them were full of fine flour mingled with oil for a meat offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 14] one spoon of ten shekels of gold, full of incense:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 15] one young bullock, one ram, one lamb of the first year, for a burnt offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 16] one kid of the goats for a sin offering:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 17] and for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Nahshon the son of Amminadab.
[KJV | EN | OT | Numbers | Chapter 7 | Verse 18] On the second day Nethaneel the son of Zuar, prince of Issachar, did offer:
[KJV | EN | OT | Numbers | Chapter 7 | Verse 19] he offered for his offering one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
