[KJV | EN | OT | Numbers | Chapter 25 | Verse 1] And Israel abode in Shittim, and the people begun to commit whoredom with the daughters of Moab.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 2] And they called the people unto the sacrifices of their gods: and the people did eat, and bowed down to their gods.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 3] And Israel joined himself unto Baal-peor: and the anger of the Lord was kindled against Israel.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 4] And the Lord said unto Moses, Take all the heads of the people, and hang them up before the Lord against the sun, that the fierce anger of the Lord may be turned away from Israel.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 5] And Moses said unto the judges of Israel, Slay ye every one his men that were joined unto Baal-peor.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 6] And behold, one of the children of Israel came and brought unto his brethren a Midianitish woman in the sight of Moses, and in the sight of all the congregation of the children of Israel, who were weeping before the door of the tabernacle of the congregation.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 7] And when Phinehas, the son of Eleazar, the son of Aaron the priest, saw it, he rose up from amongst the congregation, and took a javelin in his hand;
[KJV | EN | OT | Numbers | Chapter 25 | Verse 8] and he went after the man of Israel into the tent, and thrust both of them through, the man of Israel, and the woman through her belly. So the plague was stayed from the children of Israel.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 9] And those that died in the plague were twenty and four thousand.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 10] And the Lord spake unto Moses, saying,
[KJV | EN | OT | Numbers | Chapter 25 | Verse 11] Phinehas, the son of Eleazar, the son of Aaron the priest, hath turned my wrath away from the children of Israel, while he was zealous for my sake among them, that I consumed not the children of Israel in my jealousy.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 12] Wherefore say, Behold, I give unto him my covenant of peace:
[KJV | EN | OT | Numbers | Chapter 25 | Verse 13] and he shall have it, and his seed after him, even the covenant of an everlasting priesthood; because he was zealous for his God, and made an atonement for the children of Israel.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 14] Now the name of the Israelite that was slain, even that was slain with the Midianitish woman, was Zimri, the son of Salu, a prince of a chief house among the Simeonites.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 15] And the name of the Midianitish woman that was slain was Cozbi, the daughter of Zur; he was head over a people, and of a chief house in Midian.
[KJV | EN | OT | Numbers | Chapter 25 | Verse 16] And the Lord spake unto Moses, saying,
[KJV | EN | OT | Numbers | Chapter 25 | Verse 17] Vex the Midianites, and smite them:
[KJV | EN | OT | Numbers | Chapter 25 | Verse 18] for they vex you with their wiles, wherewith they have beguiled you in the matter of Peor, and in the matter of Cozbi, the daughter of a prince of Midian, their sister, which was slain in the day of the plague for Peor’s sake.
