[KJV | EN | OT | Numbers | Chapter 1 | Verse 1] And the Lord spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,
[KJV | EN | OT | Numbers | Chapter 1 | Verse 2] Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 3] from twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 4] And with you there shall be a man of every tribe; every one head of the house of his fathers.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 5] And these are the names of the men that shall stand with you: of the tribe of Reuben; Elizur the son of Shedeur.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 6] Of Simeon; Shelumiel the son of Zurishaddai.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 7] Of Judah; Nahshon the son of Amminadab.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 8] Of Issachar; Nethaneel the son of Zuar.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 9] Of Zebulun; Eliab the son of Helon.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 10] Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 11] Of Benjamin; Abidan the son of Gideoni.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 12] Of Dan; Ahiezer the son of Ammishaddai.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 13] Of Asher; Pagiel the son of Ocran.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 14] Of Gad; Eliasaph the son of Deuel.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 15] Of Naphtali; Ahira the son of Enan.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 16] These were the renowned of the congregation, princes of the tribes of their fathers, heads of thousands in Israel.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 17] And Moses and Aaron took these men which are expressed by their names:
[KJV | EN | OT | Numbers | Chapter 1 | Verse 18] and they assembled all the congregation together on the first day of the second month, and they declared their pedigrees after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, by their polls.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 19] As the Lord commanded Moses, so he numbered them in the wilderness of Sinai.
[KJV | EN | OT | Numbers | Chapter 1 | Verse 20] And the children of Reuben, Israel’s eldest son, by their generations, after their families, by the house of their fathers, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;
[KJV | EN | OT | Numbers | Chapter 1 | Verse 21] those that were numbered of them, even of the tribe of Reuben, were forty and six thousand and five hundred.
