[IRV | PA | OT | Hosea | Chapter 7 | Verse 1] ਜਦ ਮੈਂ ਇਸਰਾਏਲ ਨੂੰ ਚੰਗਾ ਕਰਨ ਲੱਗਾ, ਤਾਂ ਇਫ਼ਰਾਈਮ ਦੀ ਬਦੀ ਪਰਗਟ ਹੋ ਗਈ, ਨਾਲੇ ਸਾਮਰਿਯਾ ਦੀ ਬੁਰਿਆਈ ਵੀ, - ਕਿਉਂਕਿ ਉਹ ਝੂਠ ਮਾਰਦੇ ਹਨ, ਚੋਰ ਅੰਦਰ ਆ ਵੜਦੇ ਹਨ, ਡਾਕੂਆਂ ਦੇ ਜੱਥੇ ਬਾਹਰ ਲੁੱਟਦੇ ਹਨ।
[IRV | PA | OT | Hosea | Chapter 7 | Verse 2] ਉਹ ਆਪਣੇ ਦਿਲਾਂ ਵਿੱਚ ਨਹੀਂ ਸੋਚਦੇ ਕਿ ਮੈਂ ਉਹਨਾਂ ਦੀ ਸਾਰੀ ਬਦੀ ਚੇਤੇ ਰੱਖਦਾ ਹਾਂ, ਹੁਣ ਉਹਨਾਂ ਦੀਆਂ ਕਰਤੂਤਾਂ ਉਹਨਾਂ ਨੂੰ ਘੇਰਦੀਆਂ ਹਨ, ਉਹ ਮੇਰੇ ਸਨਮੁਖ ਹਨ।
[IRV | PA | OT | Hosea | Chapter 7 | Verse 3] ਉਹ ਆਪਣੀਆਂ ਬਦੀਆਂ ਨਾਲ ਰਾਜਾ ਨੂੰ ਅਤੇ ਆਪਣਿਆਂ ਝੂਠਾਂ ਨਾਲ ਹਾਕਮਾਂ ਨੂੰ ਖੁਸ਼ ਕਰਦੇ ਹਨ।
[IRV | PA | OT | Hosea | Chapter 7 | Verse 4] ਉਹ ਸਾਰੇ ਦੇ ਸਾਰੇ ਵਿਭਚਾਰੀ ਹਨ, ਉਹ ਉਸ ਤੰਦੂਰ ਵਾਂਗੂੰ ਹਨ ਜੋ ਭਠਿਆਰਾ ਗਰਮ ਕਰਦਾ ਹੈ, ਆਟਾ ਗੁੰਨ੍ਹਣ ਤੋਂ ਖ਼ਮੀਰ ਹੋਣ ਤੱਕ, ਉਹ ਅੱਗ ਭੜਕਾਉਣ ਤੋਂ ਰੁਕਿਆ ਰਹਿੰਦਾ ਹੈ।
[IRV | PA | OT | Hosea | Chapter 7 | Verse 5] ਸਾਡੇ ਰਾਜੇ ਦੇ ਤਿਉਹਾਰਾਂ ਦੇ ਦਿਨ ਹਾਕਮ ਮੈਅ ਦੀ ਗਰਮੀ ਨਾਲ ਬਿਮਾਰ ਹੋ ਗਏ, ਉਸ ਨੇ ਠੱਠਾ ਕਰਨ ਵਾਲਿਆਂ ਨਾਲ ਆਪਣਾ ਹੱਥ ਮਿਲਾਇਆ।
[IRV | PA | OT | Hosea | Chapter 7 | Verse 6] ਉਹਨਾਂ ਨੇ ਆਪਣੇ ਦਿਲਾਂ ਨੂੰ ਤੰਦੂਰ ਵਾਂਗੂੰ ਤਿਆਰ ਕੀਤਾ, ਜਦ ਉਹ ਘਾਤ ਵਿੱਚ ਬਹਿੰਦੇ ਹਨ, ਉਹਨਾਂ ਦਾ ਕ੍ਰੋਧ ਸਾਰੀ ਰਾਤ ਸੁੱਤਾ ਰਹਿੰਦਾ ਹੈ, ਸਵੇਰ ਨੂੰ ਉਹ ਭਾਂਬੜ ਵਾਲੀ ਅੱਗ ਵਾਂਗੂੰ ਬਲ ਉੱਠਦਾ ਹੈ।
[IRV | PA | OT | Hosea | Chapter 7 | Verse 7] ਉਹ ਸਾਰੇ ਦੇ ਸਾਰੇ ਤੰਦੂਰ ਵਾਂਗੂੰ ਤੱਤੇ ਹਨ, ਅਤੇ ਉਹ ਆਪਣੇ ਨਿਆਂਈਆਂ ਨੂੰ ਖਾ ਜਾਂਦੇ ਹਨ, ਉਹਨਾਂ ਦੇ ਸਾਰੇ ਰਾਜੇ ਡਿੱਗ ਪਏ, ਉਹਨਾਂ ਦੇ ਵਿੱਚ ਕੋਈ ਨਹੀਂ ਜੋ ਮੈਨੂੰ ਪੁਕਾਰਦਾ ਹੈ।
[IRV | PA | OT | Hosea | Chapter 7 | Verse 8] ਇਫ਼ਰਾਈਮ ਆਪਣੇ ਆਪ ਨੂੰ ਲੋਕਾਂ ਨਾਲ ਰਲਾਉਂਦਾ ਹੈ, ਇਫ਼ਰਾਈਮ ਇੱਕ ਰੋਟੀ ਹੈ ਜੋ ਉਲਟਾਈ ਨਾ ਗਈ!
[IRV | PA | OT | Hosea | Chapter 7 | Verse 9] ਓਪਰੇ ਉਸ ਦੀ ਸ਼ਕਤੀ ਨੂੰ ਖਾ ਗਏ, ਅਤੇ ਉਹ ਇਹ ਨਹੀਂ ਜਾਣਦਾ। ਉਹ ਦੇ ਧੌਲੇ ਆਉਣ ਲੱਗ ਪਏ ਹਨ, ਅਤੇ ਉਹ ਇਹ ਨਹੀਂ ਜਾਣਦਾ।
[IRV | PA | OT | Hosea | Chapter 7 | Verse 10] ਇਸਰਾਏਲ ਦਾ ਹੰਕਾਰ ਉਹ ਦੇ ਮੂੰਹ ਉੱਤੇ ਗਵਾਹੀ ਦਿੰਦਾ ਹੈ, ਪਰ ਉਹ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਵੱਲ ਨਹੀਂ ਮੁੜਦੇ, ਇਹ ਸਾਰੇ ਦੇ ਹੁੰਦਿਆਂ ਤੇ ਵੀ ਉਹ ਉਸ ਦੇ ਖੋਜੀ ਨਾ ਹੋਏ।
[IRV | PA | OT | Hosea | Chapter 7 | Verse 11] ਇਫ਼ਰਾਈਮ ਇੱਕ ਭੋਲੀ ਤੇ ਬੁੱਧਹੀਣ ਘੁੱਗੀ ਵਰਗਾ ਹੈ, ਉਹ ਮਿਸਰ ਨੂੰ ਪੁਕਾਰਦੇ ਹਨ, ਅੱਸ਼ੂਰ ਨੂੰ ਜਾਂਦੇ ਹਨ!
