[IRV | PA | OT | Hosea | Chapter 4 | Verse 1] ਹੇ ਇਸਰਾਏਲੀਓ, ਯਹੋਵਾਹ ਦੀ ਬਾਣੀ ਸੁਣੋ, ਇਸ ਦੇਸ ਦੇ ਵਾਸੀਆਂ ਨਾਲ ਤਾਂ ਯਹੋਵਾਹ ਦਾ ਝਗੜਾ ਹੈ, ਕਿਉਂ ਜੋ ਦੇਸ ਵਿੱਚ ਨਾ ਵਫ਼ਾਦਾਰੀ, ਨਾ ਦਯਾ, ਨਾ ਪਰਮੇਸ਼ੁਰ ਦਾ ਗਿਆਨ ਹੈ!
[IRV | PA | OT | Hosea | Chapter 4 | Verse 2] ਗਾਲ੍ਹਾਂ, ਝੂਠ, ਖ਼ੂਨ ਖਰਾਬਾ, ਚੋਰੀ, ਵਿਭਚਾਰ ਹੁੰਦੇ ਹਨ, ਉਹ ਫੁੱਟ ਨਿੱਕਲਦੇ ਹਨ ਅਤੇ ਖ਼ੂਨ ਤੇ ਖ਼ੂਨ ਹੁੰਦੇ ਹਨ!
[IRV | PA | OT | Hosea | Chapter 4 | Verse 3] ਇਸ ਲਈ ਦੇਸ ਸੋਗ ਕਰੇਗਾ, ਅਤੇ ਉਹ ਦੇ ਸਾਰੇ ਵਾਸੀ ਲਿੱਸੇ ਪੈ ਜਾਣਗੇ, ਨਾਲੇ ਜੰਗਲੀ ਜਾਨਵਰ ਅਤੇ ਅਕਾਸ਼ ਦੇ ਪੰਛੀ, - ਹਾਂ, ਸਮੁੰਦਰ ਦੀਆਂ ਮੱਛੀਆਂ ਵੀ ਖ਼ਤਮ ਹੋ ਜਾਣਗੀਆਂ!
[IRV | PA | OT | Hosea | Chapter 4 | Verse 4] ਪਰ ਕੋਈ ਝਗੜਾ ਨਾ ਕਰੇ, ਕੋਈ ਨਾ ਝਿੜਕੇ, ਤੇਰੇ ਲੋਕ ਉਨ੍ਹਾਂ ਵਰਗੇ ਹਨ, ਜੋ ਜਾਜਕ ਨਾਲ ਝਗੜਦੇ ਹਨ।
[IRV | PA | OT | Hosea | Chapter 4 | Verse 5] ਦਿਨੇ ਤੂੰ ਠੋਕਰ ਖਾਵੇਂਗਾ, ਅਤੇ ਰਾਤ ਨੂੰ ਨਬੀ ਤੇਰੇ ਨਾਲ ਠੋਕਰ ਖਾਵੇਗਾ, ਅਤੇ ਮੈਂ ਤੇਰੀ ਮਾਤਾ ਦਾ ਨਾਸ ਕਰਾਂਗਾ।
[IRV | PA | OT | Hosea | Chapter 4 | Verse 6] ਮੇਰੀ ਪਰਜਾ ਗਿਆਨ ਤੋਂ ਬਿਨ੍ਹਾਂ ਨਾਸ ਹੁੰਦੀ ਹੈ, - ਕਿਉਂ ਜੋ ਤੂੰ ਗਿਆਨ ਨੂੰ ਰੱਦ ਕੀਤਾ, ਮੈਂ ਤੈਨੂੰ ਆਪਣਾ ਜਾਜਕ ਹੋਣ ਤੋਂ ਰੱਦ ਕਰਾਂਗਾ, ਤੂੰ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਬਿਵਸਥਾ ਨੂੰ ਭੁੱਲ ਗਿਆ, ਸੋ ਮੈਂ ਵੀ ਤੇਰੇ ਬੱਚਿਆਂ ਨੂੰ ਭੁੱਲ ਜਾਂਵਾਂਗਾ।
[IRV | PA | OT | Hosea | Chapter 4 | Verse 7] ਜਿਵੇਂ-ਜਿਵੇਂ ਉਹ ਵਧੇ ਤਿਵੇਂ-ਤਿਵੇਂ ਉਹਨਾਂ ਨੇ ਮੇਰਾ ਪਾਪ ਕੀਤਾ, ਮੈਂ ਉਹਨਾਂ ਦੇ ਪਰਤਾਪ ਨੂੰ ਸ਼ਰਮਿੰਦਗੀ ਵਿੱਚ ਬਲਦ ਦਿਆਂਗਾ।
[IRV | PA | OT | Hosea | Chapter 4 | Verse 8] ਉਹ ਮੇਰੀ ਪਰਜਾ ਦੇ ਪਾਪ ਉੱਤੇ ਖਾਂਦੇ ਹਨ, ਅਤੇ ਉਹਨਾਂ ਦੀ ਬਦੀ ਨੂੰ ਚਾਹੁੰਦੇ ਹਨ।
[IRV | PA | OT | Hosea | Chapter 4 | Verse 9] ਇਸ ਤਰ੍ਹਾਂ ਹੋਵੇਗਾ, ਜਿਵੇਂ ਲੋਕ ਤਿਵੇਂ ਜਾਜਕ, - ਮੈਂ ਉਹਨਾਂ ਨੂੰ ਉਹਨਾਂ ਦੀਆਂ ਚਾਲਾਂ ਦੀ ਸਜ਼ਾ ਦਿਆਂਗਾ, ਮੈਂ ਉਹਨਾਂ ਨੂੰ ਉਹਨਾਂ ਦੀਆਂ ਕਰਤੂਤਾਂ ਦਾ ਬਦਲਾ ਦਿਆਂਗਾ।
[IRV | PA | OT | Hosea | Chapter 4 | Verse 10] ਉਹ ਖਾਣਗੇ ਪਰ ਰੱਜਣਗੇ ਨਾ, ਉਹ ਵਿਭਚਾਰ ਕਰਨਗੇ ਪਰ ਵਧਣਗੇ ਨਾ, ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਨੇ ਯਹੋਵਾਹ ਦਾ ਨਾਮ ਲੈਣਾ ਛੱਡ ਦਿੱਤਾ।
[IRV | PA | OT | Hosea | Chapter 4 | Verse 11] ਵਿਭਚਾਰ, ਮਧ ਅਤੇ ਨਵੀਂ ਮੈਅ, ਇਹ ਮੱਤ ਮਾਰ ਲੈਂਦੀਆਂ ਹਨ।
[IRV | PA | OT | Hosea | Chapter 4 | Verse 12] ਮੇਰੀ ਪਰਜਾ ਆਪਣੀ ਲੱਕੜੀ ਤੋਂ ਪੁੱਛਦੀ ਹੈ, ਅਤੇ ਉਹਨਾਂ ਦੀ ਸੋਟੀ ਉਹਨਾਂ ਨੂੰ ਦੱਸਦੀ ਹੈ, ਵਿਭਚਾਰ ਦੀ ਰੂਹ ਨੇ ਉਹਨਾਂ ਨੂੰ ਭਟਕਾਇਆ ਹੋਇਆ ਹੈ, ਉਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਅਧੀਨਤਾਈ ਵਿੱਚੋਂ ਬਾਹਰ ਜਾ ਕੇ ਵਿਭਚਾਰ ਕਰਦੇ ਹਨ।
[IRV | PA | OT | Hosea | Chapter 4 | Verse 13] ਉਹ ਪਰਬਤਾਂ ਦੀਆਂ ਚੋਟੀਆਂ ਉੱਤੇ ਬਲੀਆਂ ਚੜ੍ਹਾਉਂਦੇ ਹਨ, ਅਤੇ ਟਿੱਲਿਆਂ ਉੱਤੇ ਬਲੂਤ, ਪਿੱਪਲ ਅਤੇ ਚੀਲ ਦੇ ਹੇਠ ਧੂਫ਼ ਧੁਖਾਉਂਦੇ ਹਨ, ਕਿਉਂ ਜੋ ਉਨ੍ਹਾਂ ਦੀ ਛਾਂ ਚੰਗੀ ਹੈ। ਇਸ ਲਈ ਤੁਹਾਡੀਆਂ ਧੀਆਂ ਵਿਭਚਾਰ ਕਰਦੀਆਂ ਹਨ, ਇਸ ਲਈ ਤੁਹਾਡੀਆਂ ਵਹੁਟੀਆਂ ਹਰਾਮਕਾਰੀ ਕਰਦੀਆਂ ਹਨ।
[IRV | PA | OT | Hosea | Chapter 4 | Verse 14] ਮੈਂ ਤੁਹਾਡੀਆਂ ਧੀਆਂ ਨੂੰ ਸਜ਼ਾ ਨਾ ਦਿਆਂਗਾ, ਜਦ ਉਹ ਵਿਭਚਾਰ ਕਰਨ, ਨਾ ਤੁਹਾਡੀਆਂ ਵਹੁਟੀਆਂ ਨੂੰ, ਜਦ ਉਹ ਹਰਾਮਕਾਰੀ ਕਰਨ, ਕਿਉਂ ਜੋ ਉਹ ਵੇਸਵਾਂ ਦੇ ਨਾਲ ਇਕੱਲੇ ਜਾਂਦੇ ਹਨ, ਅਤੇ ਦੇਵਦਾਸੀਆਂ ਨਾਲ ਬਲੀਆਂ ਚੜ੍ਹਾਉਂਦੇ ਹਨ! ਸਮਝਹੀਣ ਲੋਕ ਬਰਬਾਦ ਹੋ ਜਾਣਗੇ।
