[IRV | PA | OT | Hosea | Chapter 10 | Verse 1] ਇਸਰਾਏਲ ਹਰੀ ਭਰੀ ਵੇਲ ਹੈ, ਜੋ ਫਲ ਦਿੰਦੀ ਹੈ। ਜਿੰਨਾਂ ਉਹ ਦਾ ਫਲ ਵਧਿਆ, ਓਨ੍ਹੀਆਂ ਉਸ ਨੇ ਜਗਵੇਦੀਆਂ ਵਧਾਈਆਂ, ਜਿਵੇਂ ਉਹ ਦਾ ਦੇਸ ਚੰਗਾ ਹੋ ਗਿਆ, ਤਿਵੇਂ ਉਹਨਾਂ ਨੇ ਥੰਮ੍ਹ ਚੰਗੇ ਬਣਾਏ।
[IRV | PA | OT | Hosea | Chapter 10 | Verse 2] ਉਹ ਦੋ ਦਿਲੇ ਹਨ, ਹੁਣ ਉਹ ਦੋਸ਼ੀ ਠਹਿਰਨਗੇ, ਉਹ ਉਹਨਾਂ ਦੀਆਂ ਜਗਵੇਦੀਆਂ ਨੂੰ ਢਾਹ ਸੁੱਟੇਗਾ, ਉਹ ਉਹਨਾਂ ਦੇ ਥੰਮ੍ਹਾਂ ਨੂੰ ਤੋੜ ਛੱਡੇਗਾ।
[IRV | PA | OT | Hosea | Chapter 10 | Verse 3] ਹੁਣ ਉਹ ਤਾਂ ਆਖਣਗੇ, ਸਾਡਾ ਰਾਜਾ ਨਹੀਂ, ਕਿਉਂ ਜੋ ਅਸੀਂ ਯਹੋਵਾਹ ਤੋਂ ਨਹੀਂ ਡਰਦੇ, ਅਤੇ ਰਾਜਾ ਸਾਡੇ ਲਈ ਕੀ ਕਰੇਗਾ?
[IRV | PA | OT | Hosea | Chapter 10 | Verse 4] ਉਹਨਾਂ ਦੀਆਂ ਗੱਲਾਂ ਹੀ ਗੱਲਾਂ ਹਨ, ਉਹ ਝੂਠੀਆਂ ਸੌਹਾਂ ਨਾਲ ਨੇਮ ਬੰਨ੍ਹਦੇ ਹਨ, ਸੋ ਨਿਆਂ ਜ਼ਹਿਰੀਲੇ ਪੌਦਿਆਂ ਵਾਂਗੂੰ ਖੇਤ ਦੀਆਂ ਕਿਆਰੀਆਂ ਵਿੱਚ ਉੱਗ ਪੈਂਦਾ ਹੈ।
[IRV | PA | OT | Hosea | Chapter 10 | Verse 5] ਸਾਮਰਿਯਾ ਦੇ ਵਾਸੀ ਬੈਤ-ਆਵਨ ਦੀਆਂ ਵੱਛੀਆਂ ਲਈ ਕੰਬਣਗੇ, ਕਿਉਂ ਜੋ ਉਸ ਦੇ ਲੋਕ ਉਸ ਉੱਤੇ ਸੋਗ ਕਰਨਗੇ, ਨਾਲੇ ਉਸ ਦੇ ਪੁਜਾਰੀ ਵੀ ਜਿਹੜੇ ਉਸ ਉੱਤੇ ਖੁਸ਼ੀ ਮਨਾਉਂਦੇ ਸਨ, ਉਸ ਦੇ ਪਰਤਾਪ ਦੇ ਕਾਰਨ ਜੋ ਉਸ ਤੋਂ ਜਾਂਦਾ ਰਿਹਾ।
[IRV | PA | OT | Hosea | Chapter 10 | Verse 6] ਨਾਲੇ ਉਹ ਅੱਸ਼ੂਰ ਨੂੰ ਲੈ ਜਾਇਆ ਜਾਵੇਗਾ, ਉਹ ਝਗੜਾਲੂ ਰਾਜੇ ਲਈ ਨਜ਼ਰਾਨਾ ਹੋਵੇਗਾ, ਇਫ਼ਰਾਈਮ ਸ਼ਰਮ ਖਾਵੇਗਾ, ਅਤੇ ਇਸਰਾਏਲ ਆਪਣੀ ਲੱਕੜੀ ਦੇ ਬੁੱਤਾਂ ਤੋਂ ਸ਼ਰਮਿੰਦਾ ਹੋਵੇਗਾ।
[IRV | PA | OT | Hosea | Chapter 10 | Verse 7] ਸਾਮਰਿਯਾ ਦਾ ਰਾਜਾ ਇਸ ਤਰ੍ਹਾਂ ਕੱਟਿਆ ਜਾਵੇਗਾ, ਜਿਵੇਂ ਪਾਣੀ ਦੇ ਉੱਤੇ ਬੁਲਬੁਲੇ ਹੁੰਦੇ ਹਨ।
[IRV | PA | OT | Hosea | Chapter 10 | Verse 8] ਆਵਨ ਦੇ ਉੱਚੇ ਸਥਾਨ, ਇਸਰਾਏਲ ਦਾ ਪਾਪ, ਨਾਸ ਕੀਤੇ ਜਾਣਗੇ, ਉਹ ਦੀਆਂ ਜਗਵੇਦੀਆਂ ਉੱਤੇ ਕੰਡੇ ਤੇ ਕੰਡਿਆਲੇ ਚੜ੍ਹਨਗੇ, ਉਹ ਪਹਾੜਾਂ ਨੂੰ ਆਖਣਗੇ, ਸਾਨੂੰ ਢੱਕ ਲਓ! ਅਤੇ ਟਿੱਲਿਆਂ ਨੂੰ ਸਾਡੇ ਉੱਤੇ ਡਿੱਗ ਪਓ।
[IRV | PA | OT | Hosea | Chapter 10 | Verse 9] ਹੇ ਇਸਰਾਏਲ, ਤੂੰ ਗਿਬਆਹ ਦੇ ਦਿਨਾਂ ਤੋਂ ਪਾਪ ਕਰਦਾ ਆਇਆ ਹੈਂ, ਉਹ ਉੱਥੇ ਹੀ ਲੱਗੇ ਰਹੇ, - ਭਲਾ, ਲੜਾਈ ਗਿਬਆਹ ਵਿੱਚ ਕੁਪੱਤੇ ਪੁੱਤਰਾਂ ਉੱਤੇ ਨਾ ਆ ਪਵੇਗੀ?
[IRV | PA | OT | Hosea | Chapter 10 | Verse 10] ਜਦ ਮੈਂ ਚਾਹਾਂ ਮੈਂ ਉਹਨਾਂ ਨੂੰ ਤਾੜਾਂਗਾ, ਅਤੇ ਉੱਮਤਾਂ ਉਹਨਾਂ ਦੇ ਵਿਰੁੱਧ ਇਕੱਠੀਆਂ ਕੀਤੀਆਂ ਜਾਣਗੀਆਂ, ਜਦ ਉਹ ਆਪਣੀਆਂ ਦੋ ਬੁਰਿਆਈਆਂ ਲਈ ਗੁਲਾਮ ਕੀਤੇ ਜਾਣਗੇ।
[IRV | PA | OT | Hosea | Chapter 10 | Verse 11] ਇਫ਼ਰਾਈਮ ਸਿਖਾਈ ਹੋਈ ਵੱਛੀ ਹੈ, ਜਿਹੜੀ ਗਾਹ ਨੂੰ ਪਸੰਦ ਕਰਦੀ ਹੈ, ਅਤੇ ਮੈਂ ਉਹ ਦੀ ਸੋਹਣੀ ਧੌਣ ਦਾ ਸਰਫ਼ਾ ਕੀਤਾ, ਮੈਂ ਇਫ਼ਰਾਈਮ ਨੂੰ ਜੋਤਾਂਗਾ, ਯਹੂਦਾਹ ਹਲ ਵਾਹੇਗਾ, ਯਾਕੂਬ ਉਹ ਦੇ ਲਈ ਢੀਮਾ ਭੰਨੇਗਾ।
