[IRV | PA | OT | Hosea | Chapter 11 | Verse 1] ਜਦ ਇਸਰਾਏਲ ਬੱਚਾ ਸੀ ਮੈਂ ਉਹ ਨੂੰ ਪਿਆਰ ਕੀਤਾ, ਅਤੇ ਆਪਣੇ ਪੁੱਤਰ ਨੂੰ ਮਿਸਰ ਵਿੱਚੋਂ ਬੁਲਾਇਆ।
[IRV | PA | OT | Hosea | Chapter 11 | Verse 2] ਜਿੰਨਾਂ ਉਨ੍ਹਾਂ ਨੇ ਇਸਰਾਏਲ ਨੂੰ ਬੁਲਾਇਆ, ਉੱਨੀ ਦੂਰ ਉਹ ਉਨ੍ਹਾਂ ਤੋਂ ਚੱਲੇ ਗਏ, ਉਹਨਾਂ ਨੇ ਬਆਲਾਂ ਲਈ ਬਲੀਆਂ ਚੜ੍ਹਾਈਆਂ, ਅਤੇ ਮੂਰਤੀਆਂ ਲਈ ਧੂਫ਼ ਧੁਖਾਈ।
[IRV | PA | OT | Hosea | Chapter 11 | Verse 3] ਮੈਂ ਇਫ਼ਰਾਈਮ ਨੂੰ ਤੁਰਨਾ ਸਿਖਾਇਆ, ਮੈਂ ਉਹਨਾਂ ਨੂੰ ਆਪਣੀਆਂ ਬਾਹਾਂ ਉੱਤੇ ਚੁੱਕ ਲਿਆ, ਪਰ ਉਹਨਾਂ ਨਾ ਜਾਣਿਆ ਕਿ ਮੈਂ ਉਹਨਾਂ ਨੂੰ ਚੰਗਾ ਕੀਤਾ।
[IRV | PA | OT | Hosea | Chapter 11 | Verse 4] ਮੈਂ ਉਹਨਾਂ ਨੂੰ ਆਦਮੀ ਦੇ ਰੱਸਿਆਂ ਨਾਲ ਅਤੇ ਪ੍ਰੇਮ ਦੇ ਬੰਧਨਾਂ ਨਾਲ ਖਿੱਚਿਆ। ਮੈਂ ਉਹਨਾਂ ਲਈ ਉਹ ਬਣਿਆ ਜੋ ਉਹਨਾਂ ਦੇ ਜਬਾੜਿਆਂ ਉੱਤੋਂ ਲਗਾਮ ਖੋਲ੍ਹਦਾ ਹੈ, ਮੈਂ ਉਹਨਾਂ ਦੀ ਵੱਲ ਝੁੱਕ ਕੇ ਖੁਆਇਆ।
[IRV | PA | OT | Hosea | Chapter 11 | Verse 5] ਉਹ ਮਿਸਰ ਦੇਸ ਵਿੱਚ ਨਾ ਮੁੜਨਗੇ, ਪਰ ਅੱਸ਼ੂਰ ਉਹਨਾਂ ਦਾ ਰਾਜਾ ਹੋਵੇਗਾ, ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਨੇ ਮੁੜਨ ਦਾ ਇਨਕਾਰ ਕੀਤਾ।
[IRV | PA | OT | Hosea | Chapter 11 | Verse 6] ਤਲਵਾਰ ਉਹਨਾਂ ਦੇ ਸ਼ਹਿਰਾਂ ਉੱਤੇ ਆ ਪਵੇਗੀ, ਅਤੇ ਉਹਨਾਂ ਦੇ ਅਰਲਾਂ ਨੂੰ ਮੁਕਾ ਦੇਵੇਗੀ, ਅਤੇ ਉਹਨਾਂ ਦੀਆਂ ਯੋਜਨਾਵਾਂ ਦੇ ਕਾਰਨ ਉਹਨਾਂ ਨੂੰ ਖਾ ਲਵੇਗੀ।
[IRV | PA | OT | Hosea | Chapter 11 | Verse 7] ਮੇਰੇ ਲੋਕ ਮੇਰੇ ਤੋਂ ਫਿਰ ਜਾਣ ਲਈ ਦ੍ਰਿੜ੍ਹ ਹਨ, ਉਹ ਅੱਤ ਮਹਾਨ ਨੂੰ ਪੁਕਾਰਦੇ ਹਨ, ਪਰ ਉਹ ਮਿਲ ਕੇ ਉਹ ਨੂੰ ਨਾ ਵਡਿਆਉਣਗੇ।
[IRV | PA | OT | Hosea | Chapter 11 | Verse 8] ਹੇ ਇਫ਼ਰਾਈਮ, ਮੈਂ ਤੈਨੂੰ ਕਿਵੇਂ ਛੱਡਾਂ? ਹੇ ਇਸਰਾਏਲ, ਮੈਂ ਤੈਨੂੰ ਕਿਵੇਂ ਤਿਆਗ ਦਿਆਂ? ਮੈਂ ਤੈਨੂੰ ਕਿਵੇਂ ਅਦਮਾਹ ਵਾਂਗੂੰ ਕਰਾਂ? ਮੈਂ ਤੇਰੇ ਨਾਲ ਕਿਵੇਂ ਸਬੋਈਮ ਵਾਂਗੂੰ ਵਰਤਾਓ ਕਰਾਂ? ਮੇਰਾ ਦਿਲ ਮੇਰੇ ਅੰਦਰ ਬਦਲ ਗਿਆ, ਮੇਰਾ ਤਰਸ ਪੂਰੀ ਤਰ੍ਹਾਂ ਗਰਮ ਅਤੇ ਨਰਮ ਹੋ ਗਿਆ।
[IRV | PA | OT | Hosea | Chapter 11 | Verse 9] ਮੈਂ ਆਪਣੇ ਤੇਜ਼ ਕ੍ਰੋਧ ਅਨੁਸਾਰ ਵਿਹਾਰ ਨਹੀਂ ਕਰਾਂਗਾ, ਮੈਂ ਇਫ਼ਰਾਈਮ ਦੇ ਨਾਸ ਕਰਨ ਲਈ ਨਹੀਂ ਮੁੜਾਂਗਾ। ਮੈਂ ਪਰਮੇਸ਼ੁਰ ਹਾਂ, ਇਨਸਾਨ ਨਹੀਂ, ਮੈਂ ਤੇਰੇ ਵਿਚਕਾਰ ਪਵਿੱਤਰ ਪੁਰਖ ਹਾਂ, ਮੈਂ ਕ੍ਰੋਧ ਨਾਲ ਨਹੀਂ ਆਵਾਂਗਾ।
[IRV | PA | OT | Hosea | Chapter 11 | Verse 10] ਉਹ ਯਹੋਵਾਹ ਦੇ ਪਿੱਛੇ ਚੱਲਣਗੇ, ਉਹ ਬੱਬਰ ਸ਼ੇਰ ਵਾਂਗੂੰ ਗੱਜੇਗਾ, ਜਦ ਉਹ ਗੱਜੇਗਾ, ਉਹ ਦੇ ਪੁੱਤਰ ਕੰਬਦੇ ਹੋਏ ਪੱਛਮ ਵੱਲੋਂ ਆਉਣਗੇ।
[IRV | PA | OT | Hosea | Chapter 11 | Verse 11] ਉਹ ਮਿਸਰ ਵਿੱਚੋਂ ਪੰਛੀ ਵਾਂਗੂੰ, ਅਤੇ ਅੱਸ਼ੂਰ ਦੇ ਦੇਸ ਵਿੱਚੋਂ ਘੁੱਗੀ ਵਾਂਗੂੰ ਕੰਬਦੇ ਹੋਏ ਆਉਣਗੇ, ਅਤੇ ਮੈਂ ਉਹਨਾਂ ਨੂੰ ਉਹਨਾਂ ਦੇ ਘਰਾਂ ਵਿੱਚ ਵਸਾਵਾਂਗਾ, ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ।
