[IRV | PA | OT | Hosea | Chapter 6 | Verse 1] ਆਓ, ਅਸੀਂ ਯਹੋਵਾਹ ਵੱਲ ਮੁੜੀਏ, ਉਹ ਨੇ ਤਾਂ ਪਾੜਿਆ, ਉਹ ਸਾਨੂੰ ਚੰਗਾ ਕਰੇਗਾ, ਉਹ ਨੇ ਮਾਰਿਆ, ਉਹ ਪੱਟੀ ਬੰਨ੍ਹੇਗਾ।
[IRV | PA | OT | Hosea | Chapter 6 | Verse 2] ਦੋ ਦਿਨਾਂ ਦੇ ਮਗਰੋਂ ਉਹ ਸਾਨੂੰ ਜਿਵਾਵੇਗਾ, ਤੀਜੇ ਦਿਨ ਉਹ ਸਾਨੂੰ ਉਠਾਵੇਗਾ, ਅਤੇ ਅਸੀਂ ਉਹ ਦੇ ਹਜ਼ੂਰ ਜੀਵਾਂਗੇ!
[IRV | PA | OT | Hosea | Chapter 6 | Verse 3] ਅਸੀਂ ਜਾਣੀਏ, ਅਸੀਂ ਯਹੋਵਾਹ ਨੂੰ ਜਾਣਨ ਲਈ ਪਿੱਛੇ ਲੱਗੀਏ, ਉਹ ਦਾ ਨਿੱਕਲਣਾ ਸਵੇਰ ਦੇ ਚਾਨਣ ਵਾਂਗੂੰ ਪੱਕਾ ਹੈ, ਉਹ ਸਾਡੇ ਕੋਲ ਵਰਖਾ ਵਾਂਗੂੰ ਆਵੇਗਾ, ਆਖਰੀ ਵਰਖਾ ਵਾਂਗੂੰ ਜਿਹੜੀ ਭੂਮੀ ਨੂੰ ਸਿੰਜਦੀ ਹੈ।
[IRV | PA | OT | Hosea | Chapter 6 | Verse 4] ਹੇ ਇਫ਼ਰਾਈਮ, ਮੈਂ ਤੇਰੇ ਨਾਲ ਕੀ ਕਰਾਂ? ਹੇ ਯਹੂਦਾਹ, ਮੈਂ ਤੇਰੇ ਨਾਲ ਕੀ ਕਰਾਂ? ਤੁਹਾਡੀ ਦਯਾ ਸਵੇਰ ਦੇ ਬੱਦਲ ਵਾਂਗੂੰ ਹੈ, ਅਤੇ ਤ੍ਰੇਲ ਵਾਂਗੂੰ ਜਿਹੜੀ ਸਵੇਰੇ ਹੀ ਉੱਡ ਜਾਂਦੀ ਹੈ।
[IRV | PA | OT | Hosea | Chapter 6 | Verse 5] ਇਸ ਲਈ ਮੈਂ ਆਪਣਿਆਂ ਨਬੀਆਂ ਦੇ ਰਾਹੀਂ ਵੱਢ ਸੁੱਟਿਆ, ਮੈਂ ਆਪਣੇ ਮੂੰਹ ਦੇ ਬਚਨਾਂ ਦੇ ਰਾਹੀਂ ਉਹਨਾਂ ਨੂੰ ਕਤਲ ਕੀਤਾ, ਅਤੇ ਮੇਰੇ ਨਿਆਂ ਚਾਨਣ ਵਾਂਗੂੰ ਨਿੱਕਲਦੇ ਹਨ।
[IRV | PA | OT | Hosea | Chapter 6 | Verse 6] ਮੈਂ ਬਲੀਦਾਨ ਨਹੀਂ ਸਗੋਂ ਦਯਾ ਚਾਹੁੰਦਾ ਹਾਂ, ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਗਿਆਨ ਹੋਮ ਬਲੀਆਂ ਨਾਲੋਂ ਵਧ ਕੇ।
[IRV | PA | OT | Hosea | Chapter 6 | Verse 7] ਉਹਨਾਂ ਨੇ ਆਦਮ ਵਾਂਗੂੰ ਨੇਮ ਦੀ ਉਲੰਘਣਾ ਕੀਤੀ, ਉੱਥੇ ਉਹਨਾਂ ਨੇ ਮੇਰੇ ਨਾਲ ਧੋਖਾ ਕੀਤਾ।
[IRV | PA | OT | Hosea | Chapter 6 | Verse 8] ਗਿਲਆਦ ਕੁਕਰਮੀਆਂ ਦੀ ਨਗਰੀ ਹੈ, ਉਹ ਖੂਨ ਨਾਲ ਲਿੱਬੜੀ ਹੋਈ ਹੈ।
[IRV | PA | OT | Hosea | Chapter 6 | Verse 9] ਜਿਵੇਂ ਡਾਕੂਆਂ ਦੇ ਜੱਥੇ ਕਿਸੇ ਮਨੁੱਖ ਦੀ ਘਾਤ ਵਿੱਚ ਬਹਿੰਦੇ ਹਨ, ਤਿਵੇਂ ਜਾਜਕ ਇਕੱਠੇ ਹੁੰਦੇ ਹਨ, ਉਹ ਸ਼ਕਮ ਦੇ ਰਾਹ ਵਿੱਚ ਕਤਲ ਕਰਦੇ ਹਨ, ਹਾਂ, ਉਹ ਬਦਕਾਰੀ ਕਰਦੇ ਹਨ!
[IRV | PA | OT | Hosea | Chapter 6 | Verse 10] ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ ਵਿੱਚ ਮੈਂ ਇੱਕ ਭਿਆਨਕ ਚੀਜ਼ ਵੇਖੀ, ਉੱਥੇ ਇਫ਼ਰਾਈਮ ਦਾ ਵਿਭਚਾਰ ਸੀ, ਇਸਰਾਏਲ ਪਲੀਤ ਹੋ ਗਿਆ ਹੈ।
[IRV | PA | OT | Hosea | Chapter 6 | Verse 11] ਨਾਲੇ, ਹੇ ਯਹੂਦਾਹ, ਤੇਰੇ ਲਈ ਵਾਢੀ ਠਹਿਰਾਈ ਹੋਈ ਹੈ, ਜਦ ਮੈਂ ਆਪਣੀ ਪਰਜਾ ਗੁਲਾਮੀ ਤੋਂ ਮੋੜ ਲਿਆਵਾਂਗਾ।
