[IRV | PA | OT | Hosea | Chapter 5 | Verse 1] ਹੇ ਜਾਜਕੋ, ਇਹ ਨਾ ਸੁਣੋ! ਹੇ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ ਵਾਲਿਓ, ਧਿਆਨ ਦਿਓ! ਹੇ ਰਾਜਾ ਦੇ ਘਰਾਣੇ ਵਾਲਿਓ, ਕੰਨ ਲਾਓ! ਕਿਉਂ ਜੋ ਤੁਹਾਡਾ ਨਿਆਂ ਆ ਗਿਆ ਹੈ, ਤੂੰ ਮਿਸਪਾਹ ਲਈ ਫੰਦਾ ਹੋਇਆ ਹੈਂ, ਅਤੇ ਤਾਬੋਰ ਉੱਤੇ ਇੱਕ ਵਿਛਾਇਆ ਹੋਇਆ ਜਾਲ਼।
[IRV | PA | OT | Hosea | Chapter 5 | Verse 2] ਬਾਗੀ ਵੱਢਣ ਟੁੱਕਣ ਵਿੱਚ ਨਾਸ ਹੋ ਰਹੇ ਹਨ, ਪਰ ਮੈਂ ਉਹਨਾਂ ਸਾਰਿਆਂ ਨੂੰ ਸੁਧਾਰਨ ਵਾਲਾ ਹਾਂ।
[IRV | PA | OT | Hosea | Chapter 5 | Verse 3] ਮੈਂ ਇਫ਼ਰਾਈਮ ਨੂੰ ਜਾਣਦਾ ਹਾਂ, ਅਤੇ ਇਸਰਾਏਲ ਮੇਰੇ ਤੋਂ ਲੁਕਿਆ ਹੋਇਆ ਨਹੀਂ, ਹੇ ਇਫ਼ਰਾਈਮ, ਤੂੰ ਹੁਣ ਵਿਭਚਾਰ ਕੀਤਾ, ਇਸਰਾਏਲ ਪਲੀਤ ਹੋ ਗਈ।
[IRV | PA | OT | Hosea | Chapter 5 | Verse 4] ਉਹਨਾਂ ਦੀਆਂ ਕਰਤੂਤਾਂ ਉਹਨਾਂ ਨੂੰ ਉਹਨਾਂ ਦੇ ਪਰਮੇਸ਼ੁਰ ਵੱਲ ਮੁੜਨ ਨਹੀਂ ਦਿੰਦੀਆਂ, ਕਿਉਂ ਜੋ ਵਿਭਚਾਰ ਦੀ ਰੂਹ ਉਹਨਾਂ ਦੇ ਅੰਦਰ ਹੈ, ਅਤੇ ਉਹ ਯਹੋਵਾਹ ਨੂੰ ਨਹੀਂ ਜਾਣਦੇ।
[IRV | PA | OT | Hosea | Chapter 5 | Verse 5] ਇਸਰਾਏਲ ਦਾ ਹੰਕਾਰ ਉਹ ਦੇ ਮੂੰਹ ਉੱਤੇ ਗਵਾਹੀ ਦਿੰਦਾ ਹੈ, ਇਸਰਾਏਲ ਅਤੇ ਇਫ਼ਰਾਈਮ ਆਪਣੀ ਬਦੀ ਦੇ ਕਾਰਨ ਠੋਕਰ ਖਾਣਗੇ, ਯਹੂਦਾਹ ਵੀ ਉਹਨਾਂ ਦੇ ਨਾਲ ਠੋਕਰ ਖਾਵੇਗਾ।
[IRV | PA | OT | Hosea | Chapter 5 | Verse 6] ਉਹ ਆਪਣੇ ਇੱਜੜਾਂ ਅਤੇ ਵੱਗਾਂ ਨਾਲ ਯਹੋਵਾਹ ਨੂੰ ਭਾਲਣ ਲਈ ਨਿੱਕਲਣਗੇ, ਪਰ ਉਹ ਉਹਨਾਂ ਨੂੰ ਨਾ ਲੱਭਣਗੇ, ਉਹ ਉਹਨਾਂ ਤੋਂ ਦੂਰ ਹੋ ਗਿਆ ਹੈ।
[IRV | PA | OT | Hosea | Chapter 5 | Verse 7] ਉਹਨਾਂ ਨੇ ਯਹੋਵਾਹ ਨਾਲ ਧੋਖਾ ਕੀਤਾ ਹੈ, ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਤੋਂ ਨਜ਼ਾਇਜ ਬੱਚੇ ਜੰਮੇ, ਹੁਣ ਨਵਾਂ ਚੰਦ ਉਹਨਾਂ ਨੂੰ ਉਹਨਾਂ ਦੇ ਖੇਤਾਂ ਦੇ ਨਾਲ ਖਾ ਜਾਵੇਗਾ।
[IRV | PA | OT | Hosea | Chapter 5 | Verse 8] ਗਿਬਆਹ ਵਿੱਚ ਨਰਸਿੰਗਾ ਫੂਕੋ! ਰਾਮਾਹ ਵਿੱਚ ਤੁਰ੍ਹੀ! ਬੈਤ-ਆਵਨ ਵਿੱਚ ਢੋਲ ਵਜਾਓ, - ਹੇ ਬਿਨਯਾਮੀਨ, ਪਿੱਛੇ ਵੇਖ!
[IRV | PA | OT | Hosea | Chapter 5 | Verse 9] ਝਿੜਕ ਦੇ ਦਿਨ ਇਫ਼ਰਾਈਮ ਵਿਰਾਨ ਹੋ ਜਾਵੇਗਾ, ਇਸਰਾਏਲ ਦੇ ਗੋਤਾਂ ਵਿੱਚ ਮੈਂ ਓਹੀ ਦੱਸਦਾ ਹਾਂ ਜੋ ਪੱਕਾ ਹੈ।
[IRV | PA | OT | Hosea | Chapter 5 | Verse 10] ਯਹੂਦਾਹ ਦੇ ਹਾਕਮ ਬਾੜਿਆਂ ਦੇ ਭੰਨਣ ਵਾਲਿਆਂ ਵਰਗੇ ਹੋ ਗਏ ਹਨ, ਮੈਂ ਆਪਣਾ ਕਹਿਰ ਪਾਣੀ ਵਾਂਗੂੰ ਉਨ੍ਹਾਂ ਦੇ ਉੱਤੇ ਵਹਾਵਾਂਗਾ!
[IRV | PA | OT | Hosea | Chapter 5 | Verse 11] ਇਫ਼ਰਾਈਮ ਦਬਾਇਆ ਗਿਆ ਹੈ, ਉਹ ਨਿਆਂ ਨਾਲ ਚਿੱਥਿਆ ਗਿਆ ਹੈ, ਕਿਉਂ ਜੋ ਉਹ ਜ਼ਿੱਦ ਨਾਲ ਵਿਅਰਥ ਬਿਧੀਆਂ ਦੇ ਪਿੱਛੇ ਲੱਗਾ ਰਿਹਾ।
