[DRA | EN | NT | James | Chapter 3 | Verse 1] Be ye not many masters, my brethren, knowing that you receive the greater judgment.
[DRA | EN | NT | James | Chapter 3 | Verse 2] For in many things we all offend. If any man offend not in word, the same is a perfect man. He is able also with a bridle to lead about the whole body.
[DRA | EN | NT | James | Chapter 3 | Verse 3] For if we put bits into the mouths of horses, that they may obey us, and we turn about their whole body.
[DRA | EN | NT | James | Chapter 3 | Verse 4] Behold also ships, whereas they are great, and are driven by strong winds, yet are they turned about with a small helm, whithersoever the force of the governor willeth.
[DRA | EN | NT | James | Chapter 3 | Verse 5] Even so the tongue is indeed a little member, and boasteth great things. Behold how small a fire kindleth a great wood.
[DRA | EN | NT | James | Chapter 3 | Verse 6] And the tongue is a fire, a world of iniquity. The tongue is placed among our members, which defileth the whole body, and inflameth the wheel of our nativity, being set on fire by hell.
[DRA | EN | NT | James | Chapter 3 | Verse 7] For every nature of beasts, and of birds, and of serpents, and of the rest, is tamed, and hath been tamed, by the nature of man:
[DRA | EN | NT | James | Chapter 3 | Verse 8] But the tongue no man can tame, an unquiet evil, full of deadly poison.
[DRA | EN | NT | James | Chapter 3 | Verse 9] By it we bless God and the Father: and by it we curse men, who are made after the likeness of God.
[DRA | EN | NT | James | Chapter 3 | Verse 10] Out of the same mouth proceedeth blessing and cursing. My brethren, these things ought not so to be.
[DRA | EN | NT | James | Chapter 3 | Verse 11] Doth a fountain send forth, out of the same hole, sweet and bitter water?
[DRA | EN | NT | James | Chapter 3 | Verse 12] Can the fig tree, my brethren, bear grapes; or the vine, figs? So neither can the salt water yield sweet.
[DRA | EN | NT | James | Chapter 3 | Verse 13] Who is a wise man, and endued with knowledge among you? Let him shew, by a good conversation, his work in the meekness of wisdom.
[DRA | EN | NT | James | Chapter 3 | Verse 14] But if you have bitter zeal, and there be contentions in your hearts; glory not, and be not liars against the truth.
[DRA | EN | NT | James | Chapter 3 | Verse 15] For this is not wisdom, descending from above: but earthly, sensual, devilish.
[DRA | EN | NT | James | Chapter 3 | Verse 16] For where envying and contention is, there is inconstancy, and every evil work.
[DRA | EN | NT | James | Chapter 3 | Verse 17] But the wisdom, that is from above, first indeed is chaste, then peaceable, modest, easy to be persuaded, consenting to the good, full of mercy and good fruits, without judging, without dissimulation.
[DRA | EN | NT | James | Chapter 3 | Verse 18] And the fruit of justice is sown in peace, to them that make peace.
