[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 1] নারীদের মধ্যে সর্বশ্রেষ্ঠ সুন্দরী, তোমার প্রিয়তম কোথায় গিয়েছেন? তোমার প্রিয় কোনদিকের পথে গিয়েছেন? বল, যাতে আমরা তোমার সঙ্গে তাঁর খোঁজ করতে পারি।
[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 2] আমার প্রিয়তম তাঁর সুগন্ধি বাগানে গিয়েছেন, গিয়েছেন পশুপাল চরানোর জন্য আর লিলি ফুল জড়ো করবার জন্য।
[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 3] আমি আমার প্রিয়তমেরই এবং তিনি আমারই, তিনি আনন্দের সঙ্গে লিলি ফুলের বনে পশুপাল চরান।
[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 4] প্রিয় আমার, তুমি তির্সার মত সুন্দরী, যিরূশালেমের মত চমৎকার এবং সম্পূর্ণভাবে আমাকে মুগ্ধ করেছ।
[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 5] আমার দিক থেকে তোমার চোখ ফিরিয়ে নাও; কারণ তারা আমাকে ব্যাকুল করে তুলেছে। তোমার চুলগুলি গিলিয়দ পাহাড় থেকে নেমে আসা ছাগলের পালের মত।
[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 6] তোমার দাঁতগুলি স্নান করে আসা ভেড়ীর পালের মত; তাদের প্রত্যেকেরই জোড়া আছে, কোনটাই হারিয়ে যায়নি।
[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 7] তোমার ঘোমটার মধ্যে গাল দুটি যেন আধখানা করা ডালিম।
[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 8] সেখানে ষাটজন রাণী, আশিজন উপপত্নী এবং অসংখ্য কুমারী মেয়ে থাকতে পারে,
[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 9] আমার ঘুঘু, আমার অকলঙ্কিত সুন্দরী হলো শুধুমাত্র একজনই। সে হলো তার মায়ের একমাত্র মেয়ে, যিনি তাকে গর্ভে ধরেছিলেন তাঁর আদরের মেয়ে। আমার দেশের লোকের মেয়েরা তাকে দেখল এবং তাকে ধন্যা বলল, রাণীরা ও উপপত্নীরাও তার প্রশংসা করলেন।
[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 10] তাঁরা বললেন, “কে সে, যে ভোরের মত দেখা দেয়, চাঁদের মত সুন্দরী, সূর্য্যের মত উজ্জ্বল এবং সম্পূর্ণভাবে মুগ্ধ করে?”
[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 11] আমি গিয়েছিলাম উপত্যকার নতুন চারাগুলো দেখতে, আঙ্গুর লতায় কুঁড়ি ধরেছে কিনা তা দেখতে, আর ডালিম গাছে ফুল ফুটেছে কিনা তা দেখতে আমি বাদাম গাছের বনে গিয়েছিলাম।
[IRV | BN | OT | Song of Solomon | Chapter 6 | Verse 12] আমি খুব আনন্দিত ছিলাম যে, যদি আমাকে আমার জাতির রাজার রথগুলোর একটার মধ্যে বসিয়ে দিত।
