[BBE | EN | OT | Numbers | Chapter 21 | Verse 1] And it came to the ears of the Canaanite, the king of Arad, living in the South, that Israel was coming by the way of Atharim, and he came out against them and took some of them prisoners.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 2] Then Israel made an oath to the Lord, and said, If you will give up this people into my hands, then I will send complete destruction on all their towns.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 3] And the Lord, in answer to the voice of Israel, gave the Canaanites up to them; and they put them and their towns completely to destruction: and that place was named Hormah.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 4] Then they went on from Mount Hor by the way to the Red Sea, going round the land of Edom: and the spirit of the people was overcome with weariness on the way.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 5] And crying out against God and against Moses, they said, Why have you taken us out of Egypt to come to our death in the waste land? For there is no bread and no water, and this poor bread is disgusting to us.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 6] Then the Lord sent poison-snakes among the people; and their bites were a cause of death to numbers of the people of Israel.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 7] Then the people came to Moses and said, We have done wrong in crying out against the Lord and against you: make prayer to the Lord to take away the snakes from us. So Moses made prayer for the people.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 8] And the Lord said to Moses, Make an image of a snake and put it on a rod, and anyone who has been wounded by the snakes, looking on it will be made well.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 9] So Moses made a snake of brass and put it on a rod; and anyone who had a snakebite, after looking on the snake of brass, was made well.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 10] Then the children of Israel went on and put up their tents in Oboth.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 11] And journeying on again from Oboth, they put up their tents in Iye-abarim, in the waste land before Moab looking east.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 12] And moving on from there, they put up their tents in the valley of Zered.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 13] From there they went on and put up their tents on the other side of the Arnon, which is on the waste land at the edge of the land of the Amorites; for the Arnon is the line of division between Moab and the Amorites:
[BBE | EN | OT | Numbers | Chapter 21 | Verse 14] As it says in the book of the Wars of the Lord, Vaheb in Suphah, and the valley of the Amon;
[BBE | EN | OT | Numbers | Chapter 21 | Verse 15] The slope of the valleys going down to the tents of Ar and touching the edge of Moab.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 16] From there they went on to Beer, the water-spring of which the Lord said to Moses, Make the people come together and I will give them water.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 17] Then Israel gave voice to this song: Come up, O water-spring, let us make a song to it:
[BBE | EN | OT | Numbers | Chapter 21 | Verse 18] The fountain made by the chiefs, made deep by the great ones of the people, with the law-givers' rod, and with their sticks. Then from the waste land they went on to Mattanah:
[BBE | EN | OT | Numbers | Chapter 21 | Verse 19] And from Mattanah to Nahaliel: and from Nahaliel to Bamoth:
[BBE | EN | OT | Numbers | Chapter 21 | Verse 20] And from Bamoth to the valley in the open country of Moab, and to the top of Pisgah looking over Jeshimon.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 21] And Israel sent men to Sihon, king of the Amorites, saying,
[BBE | EN | OT | Numbers | Chapter 21 | Verse 22] Let me go through your land: we will not go into field or vine-garden, or take the water of the springs; we will go by the highway till we have gone past the limits of your land.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 23] And Sihon would not let Israel go through his land; but got all his people together and went out against Israel into the waste land, as far as Jahaz, to make war on Israel.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 24] But Israel overcame him, and took all his land from the Arnon to the Jabbok, as far as the country of the children of Ammon, for the country of the children of Ammon was strongly armed.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 25] And Israel took all their towns, living in Heshbon and all the towns and small places of the Amorites.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 26] For Heshbon was the town of Sihon, king of the Amorites, who had made war against an earlier king of Moab and taken from him all his land as far as the Arnon.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 27] So the makers of wise sayings say, Come to Heshbon, building up the town of Sihon and making it strong:
[BBE | EN | OT | Numbers | Chapter 21 | Verse 28] For a fire has gone out of Heshbon, a flame from the town of Sihon: for the destruction of Ar in Moab, and the lords of the high places of the Arnon.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 29] Sorrow is yours, O Moab! Destruction is your fate, O people of Chemosh: his sons have gone in flight, and his daughters are prisoners, in the hands of Sihon, king of the Amorites.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 30] They are wounded with our arrows; destruction has come on Heshbon, even to Dibon; and we have made the land waste as far as Nophah, stretching out to Medeba.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 31] So Israel put up their tents in the land of the Amorites.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 32] And Moses sent men secretly to Jazer, and they took its towns, driving out the Amorites who were living there.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 33] Then turning they went up by the way of Bashan; and Og, king of Bashan, went out against them with all his people, to the fight at Edrei.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 34] And the Lord said to Moses, Have no fear of him: for I have given him up into your hands, with all his people and his land; do to him as you did to Sihon, king of the Amorites, at Heshbon.
[BBE | EN | OT | Numbers | Chapter 21 | Verse 35] So they overcame him and his sons and his people, driving them all out: and they took his land for their heritage.
