[BBE | EN | OT | Numbers | Chapter 33 | Verse 1] These are the journeys of the children of Israel, when they went out of the land of Egypt in their armies, under the direction of Moses and Aaron.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 2] And the stages of their journey on their way out were put down in writing by Moses at the order of the Lord: these are the stages of their journey and the way they went.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 3] On the fifteenth day of the first month they went out from Rameses; on the day after the Passover the children of Israel went out by the power of the Lord before the eyes of all the Egyptians,
[BBE | EN | OT | Numbers | Chapter 33 | Verse 4] While the Egyptians were placing in the earth the bodies of their sons on whom the Lord had sent destruction: and their gods had been judged by him.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 5] So the children of Israel went from Rameses and put up their tents in Succoth.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 6] And they went on from Succoth and put up their tents in Etham on the edge of the waste land.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 7] And from Etham, turning back to Pi-hahiroth which is before Baal-zephon, they put up their tents before Migdol.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 8] And journeying on from before Hahiroth, they went through the sea into the waste land: they went three days' journey through the waste land of Etham and put up their tents in Marah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 9] And from Marah they went on to Elim: and in Elim there were twelve water-springs and seventy palm-trees; and they put up their tents there.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 10] And they went on from Elim and put up their tents by the Red Sea.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 11] Then from the Red Sea they went on and put up their tents in the waste land of Sin.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 12] And they went on from the waste land of Sin, and put up their tents in Dophkah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 13] And they went on from Dophkah, and put up their tents in Alush.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 14] And they went on from Alush, and put up their tents in Rephidim, where there was no drinking-water for the people.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 15] And they went on from Rephidim, and put up their tents in the waste land of Sinai.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 16] And they went on from the waste land of Sinai and put up their tents in Kibroth-hattaavah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 17] And they went on from Kibroth-hattaavah, and put up their tents in Hazeroth.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 18] And they went on from Hazeroth, and put up their tents in Rithmah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 19] And they went on from Rithmah, and put up their tents in Rimmon-perez.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 20] And they went on from Rimmon-perez, and put up their tents in Libnah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 21] And they went on from Libnah, and put up their tents in Rissah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 22] And they went on from Rissah, and put up their tents in Kehelathah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 23] And they went on from Kehelathah, and put up their tents in Mount Shepher.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 24] And they went on from Mount Shepher, and put up their tents in Haradah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 25] And they went on from Haradah, and put up their tents in Makheloth.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 26] And they went on from Makheloth, and put up their tents in Tahath.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 27] And they went on from Tahath, and put up their tents in Terah.
[BBE | EN | OT | Numbers | Chapter 33 | Verse 28] And they went on from Terah, and put up their tents in Mithkah.
