[BBE | EN | OT | Numbers | Chapter 7 | Verse 1] And when Moses had put up the House completely, and had put oil on it and made it holy, with all the things in it, and had made the altar and all its vessels holy with oil;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 2] Then the chiefs of Israel, the heads of their fathers' houses, made offerings; these were the chiefs of the tribes, who were over those who were numbered.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 3] And they came with their offerings before the Lord, six covered carts and twelve oxen; a cart for every two of the chiefs, and for every one an ox.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 4] And the Lord said to Moses,
[BBE | EN | OT | Numbers | Chapter 7 | Verse 5] Take the things from them, to be used for the work of the Tent of meeting; and give them to the Levites, to every man what is needed for his work.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 6] So Moses took the carts and the oxen and gave them to the Levites.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 7] Two carts and four oxen he gave to the sons of Gershon for their work;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 8] And four carts and eight oxen he gave to the sons of Merari for their work, under the direction of Ithamar, the son of Aaron the priest.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 9] But to the sons of Kohath he gave nothing; because they had the care of the holy place, taking it about on their backs.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 10] And the chiefs gave an offering for the altar on the day when the holy oil was put on it; they made their offering before the altar.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 11] And the Lord said to Moses, Let every chief on his day give his offering to make the altar holy.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 12] And he who made his offering on the first day was Nahshon, the son of Amminadab, of the tribe of Judah:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 13] And his offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 14] One gold spoon of ten shekels, full of spice for burning;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 15] One young ox, one male sheep, one he-lamb of the first year, for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 16] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 17] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Nahshon, the son of Amminadab.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 18] On the second day Nethanel, the son of Zuar, chief of Issachar, made his offering:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 19] He gave one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 20] One gold spoon of ten shekels, full of spice;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 21] One young ox, one male sheep, one he-lamb of the first year, for a burned offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 22] One male of the goats for a sin-offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 23] And for the peace-offerings, two oxen, five male sheep, five he-goats, five he-lambs of the first year: this was the offering of Nethanel, the son of Zuar.
[BBE | EN | OT | Numbers | Chapter 7 | Verse 24] On the third day Eliab, the son of Helon, chief of the children of Zebulun:
[BBE | EN | OT | Numbers | Chapter 7 | Verse 25] His offering was one silver plate, a hundred and thirty shekels in weight, one silver basin of seventy shekels, by the scale of the holy place; the two of them full of the best meal mixed with oil for a meal offering;
[BBE | EN | OT | Numbers | Chapter 7 | Verse 26] One gold spoon of ten shekels, full of spice;
