[BBE | EN | OT | Numbers | Chapter 29 | Verse 1] In the seventh month, on the first day of the month, let there be a holy meeting; on it you may do no field-work; let the day be marked by the blowing of horns;
[BBE | EN | OT | Numbers | Chapter 29 | Verse 2] And give to the Lord a burned offering for a sweet smell; one ox, one male sheep, seven he-lambs of the first year, without any mark on them:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 3] And their meal offering, the best meal mixed with oil, three tenth parts for an ox, two tenth parts for a male sheep,
[BBE | EN | OT | Numbers | Chapter 29 | Verse 4] And a separate tenth part for every one of the seven lambs;
[BBE | EN | OT | Numbers | Chapter 29 | Verse 5] And one he-goat for a sin-offering, to take away your sin:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 6] In addition to the burned offering of the new moon, and its meal offering, and the regular burned offering and its meal offering, and their drink offerings, as they are ordered, for a sweet smell, an offering made by fire to the Lord.
[BBE | EN | OT | Numbers | Chapter 29 | Verse 7] And on the tenth day of this seventh month there will be a holy meeting; keep yourselves from pleasure, and do no sort of work;
[BBE | EN | OT | Numbers | Chapter 29 | Verse 8] And give to the Lord a burned offering for a sweet smell; one ox, one male sheep, seven he-lambs of the first year: only those without any mark on them may be used:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 9] And their meal offering, the best meal mixed with oil, three tenth parts for an ox, two tenth parts for a male sheep,
[BBE | EN | OT | Numbers | Chapter 29 | Verse 10] A separate tenth part for every one of the seven lambs;
[BBE | EN | OT | Numbers | Chapter 29 | Verse 11] One he-goat for a sin-offering; in addition to the offering for taking away your sin, and the regular burned offering and its meal offering, and their drink offerings.
[BBE | EN | OT | Numbers | Chapter 29 | Verse 12] And on the fifteenth day of the seventh month let there be a holy meeting; do no field-work, and keep a feast to the Lord for seven days;
[BBE | EN | OT | Numbers | Chapter 29 | Verse 13] And give a burned offering, an offering made by fire of a sweet smell to the Lord, thirteen oxen, two male sheep, fourteen he-lambs of the first year, all without any mark on them;
[BBE | EN | OT | Numbers | Chapter 29 | Verse 14] And their meal offering, the best meal mixed with oil, three tenth parts for every one of the thirteen oxen, two tenth parts for every male sheep,
[BBE | EN | OT | Numbers | Chapter 29 | Verse 15] And a separate tenth part for every one of the fourteen lambs;
[BBE | EN | OT | Numbers | Chapter 29 | Verse 16] And one he-goat for a sin-offering; in addition to the regular burned offering, and its meal offering, and its drink offering.
[BBE | EN | OT | Numbers | Chapter 29 | Verse 17] On the second day of the feast give an offering of twelve oxen, two male sheep, fourteen he-lambs of the first year, without any mark on them;
[BBE | EN | OT | Numbers | Chapter 29 | Verse 18] And their meal offering and their drink offerings for the oxen and the sheep and the lambs, in relation to their number, as it is ordered:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 19] And one he-goat for a sin-offering in addition to the regular burned offering, and its meal offering, and their drink offerings.
[BBE | EN | OT | Numbers | Chapter 29 | Verse 20] And on the third day eleven oxen, two male sheep, fourteen he-lambs of the first year, without any mark;
[BBE | EN | OT | Numbers | Chapter 29 | Verse 21] And their meal offering and drink offerings for the oxen, for the male sheep, and for the lambs, in relation to their number, as it is ordered:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 22] And one he-goat for a sin-offering; in addition to the regular burned offering, and its meal offering, and its drink offering.
[BBE | EN | OT | Numbers | Chapter 29 | Verse 23] And on the fourth day ten oxen, two male sheep, fourteen he-lambs of the first year, without any mark:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 24] And their meal offering and their drink offerings for the oxen, for the male sheep, and for the lambs, in relation to their number, as it is ordered.
[BBE | EN | OT | Numbers | Chapter 29 | Verse 25] And one he-goat for a sin-offering; in addition to the regular burned offering, and its meal offering, and its drink offering.
[BBE | EN | OT | Numbers | Chapter 29 | Verse 26] And on the fifth day nine oxen, two male sheep, fourteen he-lambs of the first year, without any mark:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 27] And their meal offering and their drink offerings for the oxen, for the male sheep, and for the lambs, in relation to their number, as it is ordered:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 28] And one he-goat for a sin-offering; in addition to the regular burned offering, and its meal offering, and its drink offering.
[BBE | EN | OT | Numbers | Chapter 29 | Verse 29] And on the sixth day eight oxen, two male sheep, fourteen he-lambs of the first year, without any mark:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 30] And their meal offering and their drink offerings for the oxen, for the male sheep, and for the lambs, in relation to their number, as it is ordered:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 31] And one he-goat for a sin-offering; in addition to the regular burned offering, its meal offering, and its drink offerings.
[BBE | EN | OT | Numbers | Chapter 29 | Verse 32] And on the seventh day seven oxen, two male sheep, fourteen he-lambs of the first year, without any mark:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 33] And their meal offering and their drink offerings for the oxen, for the male sheep, and for the lambs, in relation to their number, as it is ordered:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 34] And one he-goat for a sin-offering; in addition to the regular burned offering, its meal offering, and its drink offering.
[BBE | EN | OT | Numbers | Chapter 29 | Verse 35] On the eighth day let there be a holy meeting: you may do no field-work;
[BBE | EN | OT | Numbers | Chapter 29 | Verse 36] And give a burned offering, an offering made by fire of a sweet smell to the Lord: one ox, one male sheep, seven he-lambs of the first year, without any mark:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 37] With the meal offering and the drink offerings for the ox, the male sheep, and the lambs, in relation to their number, as it is ordered:
[BBE | EN | OT | Numbers | Chapter 29 | Verse 38] And one he-goat for a sin-offering; in addition to the regular burned offering, and its meal offering, and its drink offering.
[BBE | EN | OT | Numbers | Chapter 29 | Verse 39] These are the offerings which you are to give to the Lord at your regular feasts, in addition to the offerings for an oath, and the free offerings you give, for your burned offerings and your drink offerings and your peace-offerings.
