[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 1] त्या मोहरबंद करारातील नावे पुढीलप्रमाणेः प्रांताधिपती हखल्याचा पुत्र नहेम्या आणि याजक सिदकीया यांनी सही केली,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 2] सराया, अजऱ्या, यिर्मया,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 3] पशहूर, अमऱ्या, मल्खीया.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 4] हत्तूश, शबन्या, मल्लूख,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 5] हारीम, मरेमोथ, ओबद्या,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 6] दानीएल, गिन्नथोन, बारुख,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 7] मशुल्लाम, अबीया, मियामीन,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 8] माज्या, बिल्गई, आणि शमाया. ज्यांनी त्या करारावर आपल्या नावाची मुद्रा उठवली त्यापैकी ही याजकांची नावे झाली.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 9] आणि लेवी: अजन्याचा पुत्र येशूवा, हेनादादच्या घराण्यातला बिन्नुई, कदमीएल,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 10] आणि त्यांचे भाऊ:शबन्या, होदीया, कलीता, पलाया, हानान,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 11] मीखा, रहोब, हशब्या,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 12] जक्कूर, शेरेब्या, शबन्या,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 13] होदीया, बानी, बनीनू.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 14] लोकांचे नेते: परोश, पहथ-मवाब, एलाम, जात्तू, बानी.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 15] बुन्नी, अजगाद, बेबाई,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 16] अदोनीया, बिग्वई, आदीन,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 17] आटेर, हिज्कीया, अज्जूर,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 18] होदीया, हाशूम, बेसाई,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 19] हारिफ, अनाथोथ, नोबाई,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 20] मप्पीयाश, मशुल्लाम, हेजीर,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 21] मशेजबेल, सादोक, यद्दूवा.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 22] पलट्या, हानान, अनया,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 23] होशेया, हनन्या, हश्शूब.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 24] हल्लोहेश, पिल्हा, शोबेक,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 25] रहूम, हश्बना, मासेया,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 26] अहीया, हानान, अनान,
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 27] मल्लूख, हारीम आणि बाना.
[IRV | MR | OT | Nehemiah | Chapter 10 | Verse 28] उरलेल्या लोकांनी जे याजक, लेवी द्वारपाळ गायक व मंदिरात काम करणारे लोक आणि देवाचे नियमशास्त्र पाळायची शपथ घेऊन देशोदेशीच्या लोकांतून जे वेगळे झाले होते त्या सर्वांना, ज्यास बुद्धी व समजूत होती अशा स्त्रीयां, पुत्र व कन्या यासह वेगळे झाले.
